順位,標準地番号,都道府県,標準地の所在地,平成31年,令和2年,変動率
1,倶知安－３,北海道,虻田郡倶知安町字山田８３番２９,"75,000","108,000",44
2,倶知安－２,北海道,虻田郡倶知安町南３条東１丁目１６番９外,"36,000","47,000",30.6
3,糸満－５,沖縄県,糸満市西崎２丁目３５２番,"76,200","99,300",30.3
4,宮古島－６,沖縄県,宮古島市上野字野原東方原１１０４番,"4,560","5,810",27.4
5,博多－１６,福岡県,福岡市博多区博多駅南５丁目５２番２,"200,000","248,000",24
6,名古屋中－４,愛知県,名古屋市中区丸の内３丁目８０１番,"800,000","990,000",23.8
7,名古屋中－３,愛知県,名古屋市中区上前津２丁目１２０８番,"522,000","640,000",22.6
8,糸満－１,沖縄県,糸満市西川町２０４４番３,"65,600","80,400",22.6
9,福岡中央－２１,福岡県,福岡市中央区港２丁目１０番８,"276,000","338,000",22.5
10,読谷－２,沖縄県,中頭郡読谷村字喜名中原２８７番１,"48,800","59,300",21.5
