区名,100m2未満(千m2),200m2未満(千m2),300m2未満(千m2),500m2未満(千m2),1000m2未満(千m2),2000m2未満(千m2),5000m2未満(千m2),10000m2未満(千m2),10000m2以上(千m2),計(千m2),増減率(%)
千代田区,11,29,20,35,37,60,-29,9,294,466,22.2
中央区,6,19,9,7,-20,-14,-76,10,-174,-233,-8.9
港区,23,73,53,64,63,-13,-8,146,458,859,18.8
新宿区,44,102,86,106,70,37,-6,-69,319,688,24.1
文京区,14,41,24,35,15,-12,-10,-81,145,171,11.2
台東区,33,73,55,45,71,23,-27,-17,52,308,22.2
墨田区,28,58,35,51,45,-21,47,-3,-36,204,10.4
江東区,27,67,43,34,8,59,-90,-3,-959,-814,-8.7
品川区,23,54,36,51,32,-22,-190,-100,-707,-823,-16.9
目黒区,20,65,60,63,52,-10,-58,-37,23,178,9.6
大田区,40,99,85,125,185,75,90,-8,-500,191,2.8
世田谷区,36,136,114,172,131,70,-36,-78,-228,316,5.5
渋谷区,41,98,78,117,118,66,64,22,144,749,34.4
中野区,34,80,55,60,22,49,-33,-45,26,249,17.2
杉並区,22,73,48,72,66,33,-22,-136,-262,-106,-3.6
豊島区,34,90,59,53,89,12,-46,-12,69,348,23.1
北区,31,57,33,44,45,12,-30,35,-324,-96,-3.4
荒川区,27,45,34,29,54,10,-26,0,-127,46,3.6
板橋区,35,86,61,80,81,72,79,-61,-367,66,1.5
練馬区,17,60,42,59,81,41,108,49,-283,174,5.6
足立区,34,114,69,115,219,207,219,95,-715,355,6.9
葛飾区,35,82,41,48,69,37,67,-4,-430,-54,-1.9
江戸川区,30,76,74,95,166,153,112,32,484,1222,34.1
区部計,646,1676,1213,1559,1700,925,100,-256,-3099,4463,5.8
