区分,個人／所有者数(人),個人／構成比(%),個人／面積(千m2),個人／構成比(%),法人／所有者数(人),法人／構成比(%),法人／面積(千m2),法人／構成比(%),合計／所有者数(人),合計／構成比(%),合計／面積(千m2),合計／構成比(%)
千代田区／50m2未満,1146,24,42,8,274,8,9,0,1420,17,51,1
千代田区／100m2未満,1853,39,134,24,682,20,51,2,2535,31,185,5
千代田区／150m2未満,765,16,93,17,531,16,65,2,1296,16,158,4
千代田区／200m2未満,358,8,62,11,368,11,64,2,726,9,126,4
千代田区／300m2未満,293,6,71,13,410,12,101,3,703,9,172,5
千代田区／500m2未満,197,4,74,13,418,12,161,5,615,8,235,7
千代田区／1000m2未満,91,2,60,11,318,9,222,7,409,5,282,8
千代田区／2000m2未満,9,0,12,2,199,6,285,10,208,3,297,8
千代田区／5000m2未満,1,0,5,1,120,4,356,12,121,1,361,10
千代田区／10000m2未満,0,0,0,0,45,1,312,11,45,1,312,9
千代田区／10000m2以上,0,0,0,0,40,1,1339,45,40,0,1339,38
千代田区／計,4713,100,553,100,3405,100,2966,100,8118,100,3519,100
中央区／50m2未満,2963,40,105,16,450,10,15,1,3413,29,120,4
中央区／100m2未満,2725,37,193,29,968,22,72,3,3693,31,265,9
中央区／150m2未満,888,12,107,16,703,16,85,4,1591,13,192,6
中央区／200m2未満,343,5,59,9,441,10,76,3,784,7,135,4
中央区／300m2未満,295,4,70,10,563,13,137,6,858,7,208,7
中央区／500m2未満,124,2,46,7,523,12,198,8,647,5,244,8
中央区／1000m2未満,59,1,38,6,392,9,275,12,451,4,313,10
中央区／2000m2未満,11,0,14,2,196,4,267,11,207,2,281,9
中央区／5000m2未満,2,0,6,1,99,2,295,12,101,1,301,10
中央区／10000m2未満,0,0,0,0,35,1,240,10,35,0,240,8
中央区／10000m2以上,3,0,33,5,29,1,722,30,32,0,755,25
中央区／計,7413,100,672,100,4399,100,2384,100,11812,100,3056,100
港区／50m2未満,1945,15,71,4,386,7,11,0,2331,13,82,1
港区／100m2未満,4536,36,330,18,866,16,66,1,5402,30,396,5
港区／150m2未満,2520,20,307,17,768,14,95,2,3288,18,402,5
港区／200m2未満,1388,11,239,13,594,11,104,2,1982,11,343,4
港区／300m2未満,1176,9,284,15,712,13,176,3,1888,10,459,6
港区／500m2未満,755,6,285,15,741,14,286,5,1496,8,571,7
港区／1000m2未満,249,2,166,9,641,12,451,7,890,5,617,8
港区／2000m2未満,71,1,93,5,335,6,464,8,406,2,557,7
港区／5000m2未満,10,0,31,2,221,4,670,11,231,1,701,9
港区／10000m2未満,2,0,16,1,102,2,724,12,104,1,740,9
港区／10000m2以上,1,0,23,1,79,1,3035,50,80,0,3059,39
港区／計,12653,100,1846,100,5445,100,6081,100,18098,100,7927,100
