摘要,全地目／所有者数（人）,全地目／構成比(%),全地目／面積(千m2),全地目／構成比(%),宅地／所有者数（人）,宅地／構成比(%),宅地／面積(千m2),宅地／構成比(%)
区部／2000m2未満,1179970,99.3,171202,82.1,1180227,99.3,171468,84.3
区部／2000m2以上,8582,0.7,37355,17.9,7970,0.7,31874,15.7
区部／計,1188552,100.0,208557,100.0,1188197,100.0,203341,100.0
市部／2000m2未満,882246,97.8,178591,54.8,846748,99.0,163028,81.9
市部／2000m2以上,19592,2.2,147488,45.2,8710,1.0,36003,18.1
市部／計,901838,100.0,326079,100.0,855458,100.0,199031,100.0
区市計／2000m2未満,2062216,98.7,349793,65.4,2026975,99.2,334496,83.1
区市計／2000m2以上,28174,1.3,184843,34.6,16680,0.8,67876,16.9
区市計／計,2090390,100.0,534636,100.0,2043655,100.0,402372,100.0
