区市町村名,住宅地：変動率,住宅地：継続地点数,商業地：変動率,商業地：継続地点数,工業地：変動率,工業地：継続地点数,全用途平均：変動率,全用途平均：継続地点数
千代田区,2.7,4,7.8,26,　　― ,　　― ,7.1,30
中央区,3.8,3,9.9,25,　　― ,　　― ,9.2,28
港区,4.9,9,8,26,4,1,7.1,36
新宿区,5.3,12,6.5,28,　　― ,　　― ,6.2,40
文京区,6.9,6,7.5,10,　　― ,　　― ,7.2,16
台東区,6.5,2,9,22,　　― ,　　― ,8.8,24
墨田区,5.7,5,6.8,13,　　― ,　　― ,6.5,18
江東区,5.3,14,7,11,5.8,2,6,27
品川区,5.7,11,6.5,11,　　― ,　　― ,6.1,22
目黒区,3.7,9,4.7,7,　　― ,　　― ,4.2,16
大田区,3.1,24,3.8,17,5,1,3.5,42
世田谷区,3.8,44,6.4,16,　　― ,　　― ,4.5,60
渋谷区,3.9,10,9.1,16,　　― ,　　― ,7.1,26
中野区,4.1,11,7,10,　　― ,　　― ,5.5,21
杉並区,3.8,25,8.3,14,　　― ,　　― ,5.4,39
豊島区,6.6,8,7.7,13,　　― ,　　― ,7.3,21
北区,7.2,12,9.2,10,4.3,1,8,23
荒川区,8.7,5,8.8,8,　　― ,　　― ,8.7,13
板橋区,5.5,17,6.7,13,　　― ,　　― ,6,30
練馬区,2.8,35,4.7,11,　　― ,　　― ,3.2,46
足立区,4.7,28,6.1,19,2.9,1,5.2,48
葛飾区,2.4,20,5.6,8,2.4,1,3.3,29
江戸川区,4.3,28,5.4,11,　　― ,　　― ,4.6,39
区部,4.3,342,7.2,345,4.3,7,5.8,694
八王子市,0.2,72,0.8,14,1.3,1,0.3,89
立川市,2.4,15,4.6,6,　　― ,　　― ,3.1,21
武蔵野市,3.4,8,6,7,　　― ,　　― ,4.6,15
三鷹市,2.5,12,4.6,3,　　― ,　　― ,2.9,15
青梅市,-1.2,16,0,4,5.8,2,-0.3,22
府中市,1,19,2.8,7,　　― ,　　― ,1.5,26
昭島市,0.7,9,1.7,3,1.4,1,1,13
調布市,1.4,16,3.2,5,　　― ,　　― ,1.8,21
町田市,0.1,41,1.1,11,　　― ,　　― ,0.3,54
小金井市,2.8,8,3.8,2,　　― ,　　― ,3,10
小平市,1,15,1.3,3,　　― ,　　― ,1.1,18
日野市,1,16,2.1,3,　　― ,　　― ,1.2,19
東村山市,0.8,12,0.9,3,　　― ,　　― ,0.8,15
国分寺市,1.3,8,4.3,2,　　― ,　　― ,1.9,10
国立市,1.7,6,1.1,1,　　― ,　　― ,1.6,7
福生市,0.5,5,0.6,3,　　― ,　　― ,0.5,8
狛江市,1.3,5,0.2,1,　　― ,　　― ,1.1,6
東大和市,0.3,10,0.6,2,　　― ,　　― ,0.4,12
清瀬市,0.7,10,1.1,2,　　― ,　　― ,0.8,12
東久留米市,1.1,11,1.1,2,　　― ,　　― ,1.1,13
武蔵村山市,0.2,9,0.4,2,　　― ,　　― ,0.3,11
多摩市,-0.1,14,0.4,6,　　― ,　　― ,0,20
稲城市,2.1,12,2.3,3,　　― ,　　― ,2.1,15
羽村市,0.1,5,0.7,2,2.8,1,0.6,8
あきる野市,-0.1,11,0,2,　　― ,　　― ,-0.1,13
西東京市,1.9,14,4.3,4,　　― ,　　― ,2.4,18
市部,0.8,382,2.1,99,3.4,5,1.1,491
瑞穂町,0.1,6,0.8,1,2.5,1,0.5,8
日の出町,-0.2,4,　　― ,　　― ,　　― ,　　― ,-0.2,4
檜原村,-1.1,2,-0.8,1,　　― ,　　― ,-1,3
奥多摩町,-1.1,2,-0.7,2,　　― ,　　― ,-0.9,4
西多摩郡,-0.3,14,-0.4,4,2.5,1,-0.2,19
大島町,0,3,0,2,　　― ,　　― ,0,5
新島村,0,2,0,1,　　― ,　　― ,0,3
神津島村,0,2,0,1,　　― ,　　― ,0,3
三宅村,0,2,0,1,　　― ,　　― ,0,3
八丈町,0,2,0,2,　　― ,　　― ,0,4
小笠原村,0,5,0,1,　　― ,　　― ,0,8
島しょ,0,16,0,8,　　― ,　　― ,0,26
東　京　都,2.4,746,5.9,460,3.8,14,3.7,1230
