区分,区部（千m2),区部／指数,市部（千m2),市部／指数,計（千m2),計／指数
昭和50年,347750,100,444947,100,792697,100
昭和51年,347301,100,451002,101,798303,101
昭和52年,346655,100,451623,102,798278,101
昭和53年,345464,99,448272,101,793736,100
昭和54年,344923,99,445217,100,790140,100
昭和55年,344779,99,443797,100,788576,99
昭和56年,344075,99,437226,98,781301,99
昭和57年,343640,99,435884,98,779524,98
昭和58年,342738,99,433971,98,776709,98
昭和59年,342139,98,432150,97,774289,98
昭和60年,338768,97,429113,96,767881,97
昭和61年,339711,98,427737,96,767448,97
昭和62年,329100,95,426709,96,755809,95
昭和63年,328482,94,425283,96,753765,95
昭和64年,334495,96,426100,96,760595,96
平成2年,333449,96,424354,95,757803,96
平成3年,331877,95,429092,96,760969,96
平成4年,330504,95,427182,96,757686,96
平成5年,329476,95,424292,95,753768,95
平成6年,328139,94,422605,95,750744,95
平成7年,326493,94,420806,95,747299,94
平成8年,324679,93,444760,100,769439,97
平成9年,322187,93,443540,100,765727,97
平成10年,320856,92,441638,99,762494,96
平成11年,319232,92,440889,99,760121,96
平成12年,318420,92,438960,99,757380,96
平成13年,316407,91,438806,99,755213,95
平成14年,315064,91,438087,98,753151,95
平成15年,313621,90,437088,98,750708,95
平成16年,312480,90,436367,98,748847,94
平成17年,311332,90,435155,98,746486,94
平成18年,310132,89,434974,98,745106,94
平成19年,308865,89,433379,97,742244,94
平成20年,307184,88,431765,97,738949,93
平成21年,306247,88,430936,97,737183,93
平成22年,305198,88,430553,97,735751,93
平成23年,304273,87,430338,97,734612,93
平成24年,303665,87,429653,97,733318,93
平成25年,302837,87,429997,97,732834,92
平成26年,302172,87,429481,97,731653,92
平成27年,301201,87,429066,96,730268,92
平成28年,300313,86,428455,96,728768,92
平成29年,299570,86,428224,95,727794,91
