区市名,宅地所有者（人）,宅地面積（千m2）,一人当たり面積（m2）
区部／千代田区,5045,599,119
区部／中央区,8026,713,89
区部／港区,13223,1915,145
区部／新宿区,32954,4818,146
区部／文京区,25783,3292,128
区部／台東区,22509,2431,108
区部／墨田区,29558,3919,133
区部／江東区,30030,3908,130
区部／品川区,41634,5811,140
区部／目黒区,36464,6141,168
区部／大田区,90117,15756,175
区部／世田谷区,131155,25383,194
区部／渋谷区,24093,3888,161
区部／中野区,47931,7545,157
区部／杉並区,93822,17314,185
区部／豊島区,35413,5270,149
区部／北区,40207,5994,149
区部／荒川区,24207,3480,144
区部／板橋区,64107,11585,181
区部／練馬区,121440,23455,193
区部／足立区,102404,20380,199
区部／葛飾区,71956,12678,176
区部／江戸川区,96119,17066,178
区部／区部計,1188197,203341,171
市部／八王子市,113656,30778,271
市部／立川市,30357,7829,258
市部／武蔵野市,21761,5120,235
市部／三鷹市,31464,7257,231
市部／青梅市,33322,10451,314
市部／府中市,42110,9824,233
市部／昭島市,20439,5198,254
市部／調布市,36273,8399,232
市部／町田市,92486,24012,260
市部／小金井市,23075,5093,221
市部／小平市,46149,8516,185
市部／日野市,37644,8767,233
市部／東村山市,31738,6780,214
市部／国分寺市,26154,5267,201
市部／国立市,13148,3385,257
市部／福生市,10487,3117,297
市部／狛江市,17364,3075,177
市部／東大和市,17406,4454,256
市部／清瀬市,13898,3033,218
市部／東久留米市,35701,5548,155
市部／武蔵村山市,18361,4547,248
市部／多摩市,39235,5963,152
市部／稲城市,12475,3875,311
市部／羽村市,12530,3614,288
市部／あきる野市,24703,7431,301
市部／西東京市,53522,7694,144
市部／市部計,855458,199031,233
区部・市部計,2043655,402372,197
