順位,標準地番号,都道府県,標準地の所在地,価　　格,変動率
1,中央－5－22,東京都,銀座４丁目２番４,"53,000,000",-1.1
2,中央－5－41,東京都,銀座５丁目１０３番１６,"45,500,000",-1.3
3,中央－5－29,東京都,銀座２丁目２番１９外,"39,100,000",-2
4,中央－5－23,東京都,銀座７丁目１番２外,"38,200,000",-2.8
5,千代田－5－2,東京都,丸の内２丁目２番１外,"36,700,000",-1.3
6,新宿－5－35,東京都,新宿３丁目８０７番１外,"36,300,000",-0.5
7,新宿－5－24,東京都,新宿３丁目３０番１３外,"34,500,000",-0.3
8,千代田－5－21,東京都,大手町２丁目４番２外,"28,800,000",-0.7
9,中央－5－2,東京都,銀座６丁目４番１３外,"28,200,000",-3.8
10,中央－5－18,東京都,銀座４丁目１０３番１外,"28,200,000",-1.7
