区分,1m2当たり平均単価（万円）,75m2当たり価格（万円）,年収倍率
区部,113.7,8528,11.2
多摩部,74.5,5588,7.4
東京都,105.7,7928,10.4
神奈川県,76.9,5768,7.6
埼玉県,61.9,4643,6.1
千葉県,58.5,4388,5.8
