年（昭和・平成）,区部（千m2）,区部／指数,市部（千m2）,市部／指数,計（千m2）,計／指数
50,347750,100,444947,100,792697,100
51,347301,100,451002,101,798303,101
52,346655,100,451623,102,798278,101
53,345464,99,448272,101,793736,100
54,344923,99,445217,100,790140,100
55,344779,99,443797,100,788576,99
56,344075,99,437226,98,781301,99
57,343640,99,435884,98,779524,98
58,342738,99,433971,98,776709,98
59,342139,98,432150,97,774289,98
60,338768,97,429113,96,767881,97
61,339711,98,427737,96,767448,97
62,329100,95,426709,96,755809,95
63,328482,94,425283,96,753765,95
64,334495,96,426100,96,760595,96
2,333449,96,424354,95,757803,96
3,331877,95,429092,96,760969,96
4,330504,95,427182,96,757686,96
5,329476,95,424292,95,753768,95
6,328139,94,422605,95,750744,95
7,326493,94,420806,95,747299,94
8,324679,93,444760,100,769439,97
9,322187,93,443540,100,765727,97
10,320856,92,441638,99,762494,96
11,319232,92,440889,99,760121,96
12,318420,92,438960,99,757380,96
13,316407,91,438806,99,755213,95
14,315064,91,438087,98,753151,95
15,313621,90,437088,98,750709,95
16,312480,90,436367,98,748847,94
17,311332,90,435155,98,746486,94
18,310132,89,434974,98,745106,94
19,308865,89,433379,97,742244,94
20,307184,88,431765,97,738949,93
21,306247,88,430936,97,737183,93
22,305198,88,430553,97,735751,93
23,304273,87,430338,97,734611,93
24,303665,87,429653,97,733318,93
25,302837,87,429997,97,732834,92
26,302172,87,429481,97,731653,92
27,301201,87,429066,96,730267,92
28,300313,86,428455,96,728768,92
29,299570,86,428224,96,727794,92
30,298921,86,427978,96,726899,92
