区分,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年,平成30年,平成31年,令和2年
50m2未満／件数(件),1046,2029,2152,2084,2030,1849,1846,1834,1807,1629
50m2未満／面積(m2),22401,30261,38027,35315,31590,30210,31052,27651,29304,27128
50m2以上100m2未満／件数(件),837,750,802,753,648,613,586,537,530,438
50m2以上100m2未満／面積(m2),58541,51158,54856,51875,44976,42706,40538,37020,36771,30082
100m2以上150m2未満／件数(件),262,211,254,244,211,218,201,164,171,135
100m2以上150m2未満／面積(m2),31594,25704,30627,28955,25491,26327,24138,19878,20562,16232
150m2以上200m2未満／件数(件),148,76,102,105,86,103,92,94,61,73
150m2以上200m2未満／面積(m2),25584,13090,17448,18017,14819,17562,15827,16384,10282,12505
200m2以上300m2未満／件数(件),120,58,104,69,58,82,52,53,43,40
200m2以上300m2未満／面積(m2),29593,13855,24104,16437,13968,19877,12197,12602,10490,9240
300m2以上500m2未満／件数(件),81,26,36,24,32,44,35,26,15,20
300m2以上500m2未満／面積(m2),30928,9728,13116,8921,11907,16001,12808,9639,5615,7419
500m2以上1000m2未満／件数(件),21,7,3,5,9,11,8,4,9,2
500m2以上1000m2未満／面積(m2),15264,4283,1908,3547,5752,7905,4817,2748,5058,1123
1000m2以上2000m2未満／件数(件),5,0,3,0,2,1,1,1,0,0
1000m2以上2000m2未満／面積(m2),5984,0,4242,0,2700,1162,1046,1003,0,0
2000m2以上5000m2未満／件数(件),10,0,0,0,1,0,0,0,0,0
2000m2以上5000m2未満／面積(m2),34908,0,0,0,2612,0,0,0,0,0
5000m2以上10000m2未満／件数(件),5,0,0,0,0,0,0,0,0,0
5000m2以上10000m2未満／面積(m2),36423,0,0,0,0,0,0,0,0,0
10000m2以上／件数(件),6,0,0,0,0,0,0,0,0,0
10000m2以上／面積(m2),117822,0,0,0,0,0,0,0,0,0
合計／件数(件),2541,3157,3456,3284,3077,2921,2821,2713,2636,2337
合計／面積(m2),409041,148080,184328,163067,153815,161750,142423,126925,118082,103729
