区市町村名,合計面積（千m2）,住宅・アパート／面積（千m2）,住宅・アパート／構成比（％）,事務所・店舗等／面積（千m2）,事務所・店舗等／構成比（％）,事務所・店舗等／事務所・銀行／面積（千m2）,事務所・店舗等／事務所・銀行／構成比（％）,工場・倉庫／面積（千m2）,工場・倉庫／構成比（％）,その他／面積（千m2）,その他／構成比（％）
区部／千代田区,23806,4031,16.9,18056,75.8,17125,71.9,224,0.9,1495,6.3
区部／中央区,22579,7381,32.7,13830,61.3,12278,54.4,480,2.1,888,3.9
区部／港区,37596,15305,40.7,19601,52.1,18231,48.5,776,2.1,1913,5.1
区部／新宿区,25795,14698,57.0,9502,36.8,7430,28.8,421,1.6,1174,4.6
区部／文京区,12616,9378,74.3,2637,20.9,2248,17.8,261,2.1,339,2.7
区部／台東区,13677,9149,66.9,3347,24.5,2621,19.2,390,2.8,791,5.8
区部／墨田区,13767,10455,75.9,2083,15.1,1335,9.7,948,6.9,281,2.0
区部／江東区,30696,17849,58.1,6442,21.0,5181,16.9,5674,18.5,730,2.4
区部／品川区,22878,14483,63.3,6023,26.3,5349,23.4,1755,7.7,617,2.7
区部／目黒区,13425,11375,84.7,1688,12.6,1329,9.9,161,1.2,201,1.5
区部／大田区,35870,25777,71.9,4125,11.5,3174,8.8,4780,13.3,1187,3.3
区部／世田谷区,38095,34572,90.8,2636,6.9,1516,4.0,496,1.3,390,1.0
区部／渋谷区,20287,11865,58.5,7651,37.7,6014,29.6,192,0.9,579,2.9
区部／中野区,13506,11901,88.1,1347,10.0,1044,7.7,105,0.8,153,1.1
区部／杉並区,22799,20788,91.2,1426,6.3,886,3.9,304,1.3,280,1.2
区部／豊島区,16023,11288,70.5,3935,24.6,2546,15.9,204,1.3,596,3.7
区部／北区,14129,11725,83.0,1298,9.2,829,5.9,804,5.7,301,2.1
区部／荒川区,9151,7710,84.3,684,7.5,517,5.7,497,5.4,260,2.8
区部／板橋区,23147,19263,83.2,1650,7.1,950,4.1,1792,7.7,442,1.9
区部／練馬区,27398,24945,91.0,1552,5.7,724,2.6,524,1.9,377,1.4
区部／足立区,27282,22302,81.7,2026,7.4,796,2.9,2239,8.2,714,2.6
区部／葛飾区,17751,15378,86.6,1224,6.9,533,3.0,852,4.8,297,1.7
区部／江戸川区,26304,22279,84.7,1872,7.1,1003,3.8,1728,6.6,426,1.6
区部／区部計,508577,353897,69.6,114635,22.5,93659,18.4,25607,5.0,14431,2.8
市部／八王子市,27395,20962,76.5,3142,11.5,1580,5.8,2618,9.6,673,2.5
市部／立川市,8904,5940,66.7,1863,20.9,977,11.0,786,8.8,315,3.5
市部／武蔵野市,7139,5495,77.0,1386,19.4,666,9.3,134,1.9,124,1.7
市部／三鷹市,7413,6232,84.1,672,9.1,388,5.2,356,4.8,154,2.1
市部／青梅市,6823,5073,74.4,592,8.7,246,3.6,795,11.7,363,5.3
市部／府中市,11723,8479,72.3,1609,13.7,1011,8.6,1018,8.7,617,5.3
市部／昭島市,5415,3705,68.4,634,11.7,285,5.3,899,16.6,177,3.3
市部／調布市,9440,7695,81.5,1014,10.7,560,5.9,388,4.1,342,3.6
市部／町田市,18840,15379,81.6,1901,10.1,773,4.1,812,4.3,749,4.0
市部／小金井市,4700,4187,89.1,336,7.1,121,2.6,30,0.6,147,3.1
市部／小平市,7491,6381,85.2,682,9.1,378,5.0,365,4.9,64,0.9
市部／日野市,8417,6519,77.5,749,8.9,464,5.5,948,11.3,201,2.4
市部／東村山市,5779,4904,84.9,387,6.7,185,3.2,321,5.5,167,2.9
市部／国分寺市,5118,4353,85.1,506,9.9,227,4.4,162,3.2,97,1.9
市部／国立市,3355,2707,80.7,331,9.9,177,5.3,175,5.2,142,4.2
市部／福生市,2474,2023,81.8,249,10.1,82,3.3,145,5.9,56,2.3
市部／狛江市,3077,2778,90.3,200,6.5,98,3.2,43,1.4,56,1.8
市部／東大和市,3458,2824,81.7,325,9.4,118,3.4,224,6.5,85,2.5
市部／清瀬市,2675,2353,88.0,177,6.6,41,1.5,61,2.3,84,3.1
市部／東久留米市,4654,3758,80.7,465,10.0,131,2.8,187,4.0,244,5.2
市部／武蔵村山市,3276,2260,69.0,372,11.3,85,2.6,547,16.7,97,3.0
市部／多摩市,7222,5142,71.2,1440,19.9,798,11.0,241,3.3,399,5.5
市部／稲城市,3655,2987,81.7,325,8.9,122,3.3,269,7.4,74,2.0
市部／羽村市,3148,1980,62.9,316,10.0,168,5.3,795,25.3,56,1.8
市部／あきる野市,3824,3046,79.7,291,7.6,112,2.9,226,5.9,260,6.8
市部／西東京市,7646,6633,86.8,635,8.3,270,3.5,182,2.4,196,2.6
市部／市部計,183061,143795,78.6,20599,11.3,10063,5.5,12727,7.0,5939,3.2
西多摩郡／瑞穂町,2404,1146,47.7,301,12.5,,,835,34.7,122,5.1
西多摩郡／日の出町,1008,621,61.6,152,15.1,,,146,14.5,89,8.9
西多摩郡／檜原村,194,144,73.9,7,3.5,,,14,7.1,30,15.6
西多摩郡／奥多摩町,395,301,76.2,17,4.3,,,28,7.1,49,12.4
西多摩郡／西多摩郡計,4001,2212,55.3,477,11.9,,,1023,25.6,290,7.3
多摩地域計,187062,146007,78.1,21076,11.3,10063,5.4,13750,7.3,6229,3.3
島しょ／大島町,566,424,74.9,44,7.7,,,26,4.6,72,12.8
島しょ／利島村,22,14,62.3,1,6.3,,,5,22.3,2,9.1
島しょ／新島村,275,201,73.2,27,9.8,,,26,9.4,21,7.5
島しょ／神津島村,150,101,67.5,7,4.6,,,19,12.9,23,15.0
島しょ／三宅村,198,144,73.0,13,6.8,,,15,7.5,25,12.8
島しょ／御蔵島村,12,9,72.0,0,3.8,,,2,16.0,1,8.2
島しょ／八丈町,555,393,70.8,49,8.8,,,55,9.9,59,10.6
島しょ／青ヶ島村,11,6,57.6,2,15.5,,,3,25.1,0,1.8
島しょ／小笠原村,75,40,53.6,14,19.2,,,8,10.7,12,16.5
島しょ／島しょ計,1864,1332,71.5,157,8.5,,,159,8.5,215,11.5
合計,697503,501236,71.9,135868,19.5,103722,14.9,39516,5.7,20875,3.0
