区分,平成22年,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年,平成30年,平成31年
50m2未満／件数(件),1177,1046,2029,2152,2084,2030,1849,1846,1834,1807
50m2未満／面積(m2),24075,22401,30261,38027,35315,31590,30210,31052,27651,29304
50m2以上100m2未満／件数(件),909,837,750,802,753,648,613,586,537,530
50m2以上100m2未満／面積(m2),63518,58541,51158,54856,51875,44976,42706,40538,37020,36771
100m2以上150m2未満／件数(件),316,262,211,254,244,211,218,201,164,171
100m2以上150m2未満／面積(m2),38402,31594,25704,30627,28955,25491,26327,24138,19878,20562
150m2以上200m2未満／件数(件),141,148,76,102,105,86,103,92,94,61
150m2以上200m2未満／面積(m2),24271,25584,13090,17448,18017,14819,17562,15827,16384,10282
200m2以上300m2未満／件数(件),117,120,58,104,69,58,82,52,53,43
200m2以上300m2未満／面積(m2),28206,29593,13855,24104,16437,13968,19877,12197,12602,10490
300m2以上500m2未満／件数(件),80,81,26,36,24,32,44,35,26,15
300m2以上500m2未満／面積(m2),29296,30928,9728,13116,8921,11907,16001,12808,9639,5615
500m2以上1000m2未満／件数(件),26,21,7,3,5,9,11,8,4,9
500m2以上1000m2未満／面積(m2),17102,15264,4283,1908,3547,5752,7905,4817,2748,5058
1000m2以上2000m2未満／件数(件),10,5,0,3,0,2,1,1,1,0
1000m2以上2000m2未満／面積(m2),11166,5984,0,4242,0,2700,1162,1046,1003,0
2000m2以上5000m2未満／件数(件),1,10,0,0,0,1,0,0,0,0
2000m2以上5000m2未満／面積(m2),3199,34908,0,0,0,2612,0,0,0,0
5000m2以上10000m2未満／件数(件),8,5,0,0,0,0,0,0,0,0
5000m2以上10000m2未満／面積(m2),60023,36423,0,0,0,0,0,0,0,0
10000m2以上／件数(件),0,6,0,0,0,0,0,0,0,0
10000m2以上／面積(m2),0,117822,0,0,0,0,0,0,0,0
合計／件数(件),2785,2541,3157,3456,3284,3077,2921,2821,2713,2636
合計／面積(m2),299256,409041,148079,184328,163067,153815,161750,142423,126925,118082
