順位,標準地番号,都道府県,標準地の所在地,令和３年,令和４年,変動率
1,糸満－9－1,沖縄県,西崎町５丁目８番７外,"61,300","78,700",28.4
2,豊見城－9－1,沖縄県,字豊崎３番６２,"102,000","129,000",26.5
3,市川－9－1,千葉県,塩浜３丁目１７番１２,"175,000","210,000",20.0
4,市川－9－4,千葉県,二俣７１７番７３,"159,000","190,000",19.5
5,市川－9－2,千葉県,二俣新町１７番９外,"139,000","166,000",19.4
6,船橋－9－2,千葉県,日の出２丁目１１番,"88,000","105,000",19.3
7,福岡東－9－1,福岡県,箱崎ふ頭５丁目２番５,"114,000","136,000",19.3
8,市川－9－3,千葉県,高浜町３番３,"115,000","137,000",19.1
9,枚方－9－1,大阪府,招提田近１丁目１２番２,"81,000","95,000",17.3
10,志免－9－1,福岡県,別府西１丁目９８４番６,"50,000","58,500",17.0
