順位,標準地番号,都道府県,標準地の所在地,平成29年,平成30年,変動率
1,豊見城－９－１,沖縄県,字豊崎３番６２,36500,46500,27.4
2,糸満－９－１,沖縄県,西崎町５丁目８番７外,27000,30000,11.1
3,五霞－９－１,茨城県,大字元栗橋字観音下４０３番８外,30000,33300,11
4,那覇－９－１,沖縄県,港町３丁目７番１０,91900,101000,9.9
5,浦添－９－２,沖縄県,西洲２丁目４番４,77600,85200,9.8
6,川口－９－３,埼玉県,領家５丁目３９１４番,135000,148000,9.6
7,松戸－９－１,千葉県,松飛台字中原３３６番１７,92000,100000,8.7
8,久御山－９－１,京都府,佐山新開地１９８番,69000,75000,8.7
9,久御山－９－３,京都府,市田石橋２番外,65800,71500,8.7
10,若林－９－１,宮城県,卸町東４丁目１番１４,49000,53000,8.2
