区名,増加量（万m2）,増加率（％）
千代田区,1029.5,157.2
中央区,640.6,108.9
港区,1432.5,389.9
新宿区,604.5,427.8
文京区,176,351.2
台東区,188.6,255.9
墨田区,103.4,334.5
江東区,474.4,1011.6
品川区,474,739.5
目黒区,99.8,297.1
大田区,232,270.7
世田谷区,119.2,352.6
渋谷区,476.5,419.4
中野区,86.8,490.2
杉並区,63.8,248.2
豊島区,213,503.5
北区,60.3,268.2
荒川区,38.5,294.2
板橋区,68.4,250.7
練馬区,50.8,230
足立区,56.4,249.3
葛飾区,30.9,139.7
江戸川区,81.3,434.6
区部計,6801.1,270.1
