区市名,宅地所有者(人),宅地面積(千m2),一人当たり面積(m2)
区部／千代田区,4713,553,117
区部／中央区,7413,672,91
区部／港区,12651,1845,146
区部／新宿区,32620,4658,143
区部／文京区,25909,3233,125
区部／台東区,22051,2328,106
区部／墨田区,29639,3802,128
区部／江東区,30145,3799,126
区部／品川区,41886,5674,135
区部／目黒区,36859,6020,163
区部／大田区,92097,15523,169
区部／世田谷区,133895,25180,188
区部／渋谷区,23810,3758,158
区部／中野区,48065,7415,154
区部／杉並区,95791,17158,179
区部／豊島区,35401,5140,145
区部／北区,40667,5869,144
区部／荒川区,24792,3396,137
区部／板橋区,64936,11397,176
区部／練馬区,123752,23330,189
区部／足立区,104855,20132,192
区部／葛飾区,73911,12522,169
区部／江戸川区,97713,16869,173
区部／区部計,1203571,200272,166
市部／八王子市,116095,31035,267
市部／立川市,31403,7875,251
市部／武蔵野市,22058,5110,232
市部／三鷹市,32340,7307,226
市部／青梅市,34032,10482,308
市部／府中市,43324,9874,228
市部／昭島市,21039,5210,248
市部／調布市,37628,8491,226
市部／町田市,94901,24236,255
市部／小金井市,24042,5122,213
市部／小平市,47677,8604,180
市部／日野市,39399,8875,225
市部／東村山市,32826,6847,209
市部／国分寺市,27096,5322,196
市部／国立市,13453,3386,252
市部／福生市,10654,3103,291
市部／狛江市,17814,3103,174
市部／東大和市,17919,4490,251
市部／清瀬市,14486,3107,214
市部／東久留米市,36775,5619,153
市部／武蔵村山市,19016,4601,242
市部／多摩市,40065,6003,150
市部／稲城市,13391,4007,299
市部／羽村市,12767,3609,283
市部／あきる野市,25368,7504,296
市部／西東京市,55056,7803,142
市部／市部計,880624,200724,228
区部・市部計,2084195,400996,192
