区分,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
千代田区／件数(件),160,404,394,246,202,172,235,204,194,144,140,215,2710
千代田区／面積(千m2),5,10,13,9,5,8,4,6,13,7,6,9,95
中央区／件数(件),359,378,702,586,396,510,928,522,701,737,356,479,6654
中央区／面積(千m2),7,13,18,12,8,9,18,11,15,11,6,11,139
港区／件数(件),430,512,867,680,476,692,620,486,721,557,479,598,7118
港区／面積(千m2),13,20,34,24,15,17,21,20,21,17,13,21,236
新宿区／件数(件),611,547,1001,631,734,736,755,723,855,618,651,778,8640
新宿区／面積(千m2),23,19,47,23,21,24,28,23,34,18,25,24,309
文京区／件数(件),331,377,556,433,319,356,371,394,478,425,347,483,4870
文京区／面積(千m2),11,12,20,14,11,14,13,14,19,14,14,15,171
台東区／件数(件),365,554,530,509,441,628,643,433,523,385,392,627,6030
台東区／面積(千m2),11,13,18,13,15,16,14,14,17,11,11,22,175
墨田区／件数(件),382,457,815,547,486,467,528,504,671,468,472,584,6381
墨田区／面積(千m2),13,16,30,22,19,17,18,16,26,14,16,23,230
江東区／件数(件),611,689,1301,981,771,773,820,732,820,626,629,795,9548
江東区／面積(千m2),23,21,44,28,27,42,29,22,85,24,24,24,393
品川区／件数(件),536,615,1002,1085,855,785,719,603,735,514,489,666,8604
品川区／面積(千m2),16,25,42,32,27,27,31,22,33,18,22,28,323
目黒区／件数(件),289,328,440,333,316,358,440,409,492,255,276,379,4315
目黒区／面積(千m2),14,21,37,16,26,23,24,31,28,15,19,25,279
大田区／件数(件),869,943,1248,941,983,1017,1024,1039,1234,979,872,1061,12210
大田区／面積(千m2),38,48,86,44,54,54,56,53,78,51,52,58,672
世田谷区／件数(件),851,1040,1576,1083,997,1029,967,948,1208,899,954,1111,12663
世田谷区／面積(千m2),66,83,129,87,74,89,86,77,103,62,90,78,1024
渋谷区／件数(件),344,448,708,510,559,410,440,327,504,371,364,484,5469
渋谷区／面積(千m2),25,14,31,27,16,19,22,19,34,16,18,27,268
中野区／件数(件),343,490,600,407,414,485,470,460,480,359,369,521,5398
中野区／面積(千m2),18,32,31,23,17,24,30,29,33,18,23,29,307
杉並区／件数(件),549,707,852,621,640,642,687,623,691,613,675,679,7979
杉並区／面積(千m2),42,63,77,49,42,50,52,56,57,54,44,50,636
豊島区／件数(件),375,405,625,543,433,478,544,477,615,447,477,643,6062
豊島区／面積(千m2),15,15,27,21,18,15,18,19,22,16,19,24,229
北区／件数(件),338,347,596,580,318,413,365,329,498,366,379,405,4934
北区／面積(千m2),21,25,29,41,26,24,18,15,31,19,23,22,294
荒川区／件数(件),240,227,315,364,268,272,264,280,256,180,266,317,3249
荒川区／面積(千m2),11,11,17,14,14,16,10,12,19,13,11,16,164
板橋区／件数(件),494,738,932,685,617,727,674,669,769,617,585,713,8220
板橋区／面積(千m2),28,30,52,31,33,34,37,37,40,41,38,45,446
練馬区／件数(件),724,877,1324,880,762,836,848,860,1001,839,777,901,10629
練馬区／面積(千m2),58,70,87,57,54,78,56,62,79,55,57,66,779
足立区／件数(件),495,710,991,680,727,660,697,768,822,656,566,753,8525
足立区／面積(千m2),42,46,89,49,47,54,51,60,69,52,52,51,662
葛飾区／件数(件),383,436,599,434,439,430,446,482,551,481,467,464,5612
葛飾区／面積(千m2),27,33,48,37,33,28,36,36,42,30,31,38,419
江戸川区／件数(件),368,420,807,508,501,525,537,534,586,808,463,452,6509
江戸川区／面積(千m2),35,44,57,36,44,41,40,44,45,51,34,46,517
