区分,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
昭和58年_地区,千代田,中央,港,新宿,渋谷,大田,台東,,,,,,,,,
昭和58年_面積（万m2）,892,730,564,320,200,118,109,,,,,,,,,
昭和59年_地区,千代田,中央,港,新宿,渋谷,大田,台東,,,,,,,,,
昭和59年_面積（万m2）,925,746,587,323,206,122,111,,,,,,,,,
昭和60年_地区,千代田,中央,港,新宿,渋谷,大田,台東,品川,,,,,,,,
昭和60年_面積（万m2）,954,762,607,345,214,126,113,105,,,,,,,,
昭和61年_地区,千代田,中央,港,新宿,渋谷,大田,台東,品川,,,,,,,,
昭和61年_面積（万m2）,975,768,644,353,220,129,114,108,,,,,,,,
昭和62年_地区,千代田,中央,港,新宿,渋谷,大田,台東,品川,豊島,,,,,,,
昭和62年_面積（万m2）,1006,795,698,379,233,142,128,117,100,,,,,,,
昭和63年_地区,千代田,中央,港,新宿,渋谷,大田,台東,品川,豊島,,,,,,,
昭和63年_面積（万m2）,1047,822,772,397,243,150,142,122,107,,,,,,,
昭和64年_地区,千代田,中央,港,新宿,渋谷,大田,台東,品川,豊島,文京,,,,,,
昭和64年_面積（万m2）,1109,851,822,415,269,157,153,139,120,105,,,,,,
平成2年_地区,千代田,中央,港,新宿,渋谷,大田,台東,品川,豊島,江東,文京,,,,,
平成2年_面積（万m2）,1161,887,871,438,290,161,159,145,134,119,115,,,,,
平成3年_地区,千代田,中央,港,新宿,渋谷,豊島,台東,大田,品川,江東,文京,,,,,
平成3年_面積（万m2）,1198,944,904,460,304,182,171,168,164,141,122,,,,,
平成4年_地区,千代田,港,中央,新宿,渋谷,品川,豊島,台東,大田,江東,文京,,,,,
平成4年_面積（万m2）,1242,985,968,482,317,195,194,181,179,157,134,,,,,
平成5年_地区,千代田,港,中央,新宿,渋谷,品川,豊島,台東,大田,江東,文京,,,,,
平成5年_面積（万m2）,1268,1025 ,1001 ,531,339,234,210,201,201,181,143,,,,,
