買主／区名,平成25年／件数(件),平成25年／面積(m2),平成26年／件数(件),平成26年／面積(m2),平成27年／件数(件),平成27年／面積(m2),平成28年／件数(件),平成28年／面積(m2),平成29年／件数(件),平成29年／面積(m2),平成30年／件数(件),平成30年／面積(m2),平成31年／件数(件),平成31年／面積(m2),令和2年／件数(件),令和2年／面積(m2),令和3年／件数(件),令和3年／面積(m2),令和4年／件数(件),令和4年／面積(m2)
個人／千代田区,171,10174,162,9127,146,7936,126,6972,166,8505,83,4639,129,5914,71,3359,57,2595,96,4209
個人／中央区,292,12167,227,10006,433,10974,225,9061,276,9865,244,8881,155,6798,178,7753,181,5556,160,4575
個人／港区,627,39604,510,27211,517,30389,476,25800,420,26335,504,23312,416,20540,364,17788,360,13547,425,20671
個人／新宿区,1168,60561,1398,65182,1106,54487,1180,64596,1009,47595,1031,48373,1101,47086,1019,41134,1076,41732,1000,42933
個人／文京区,1044,45637,909,39253,935,40030,818,35864,837,37381,819,35684,837,35039,862,34524,663,31089,831,31519
個人／台東区,648,31262,534,27713,580,27309,536,28667,554,24369,514,25607,514,23436,445,20528,397,17173,408,20303
個人／墨田区,1065,59539,1015,49263,1033,49268,934,43728,992,41625,829,38755,958,38491,988,42232,861,36580,929,36356
個人／江東区,1037,48000,1037,48852,1089,48576,979,44969,977,46853,1139,51323,1139,46929,978,35159,971,36580,1020,41950
個人／品川区,1672,70095,1724,74400,1404,57360,1481,56339,1631,59748,1582,59074,1601,59320,1635,57976,1362,51369,1191,45127
個人／目黒区,1539,86156,1241,70271,1364,73831,1354,72258,1339,68582,1271,60970,1354,70960,1222,63315,1345,67764,1105,57188
個人／大田区,3272,180468,3328,191322,3481,194871,3497,181073,3488,198563,3308,168825,3640,169786,3270,155284,3476,161698,2853,151331
個人／世田谷区,5479,320996,4984,300165,4985,306538,4831,293327,4872,286810,4637,270984,4970,293838,4708,272532,4692,280593,4278,244051
個人／渋谷区,1198,61822,987,51541,875,50029,914,55321,950,50123,851,41720,835,37744,705,33695,780,34932,788,36447
個人／中野区,1731,91241,1754,93415,1915,101905,1554,80636,1625,84313,1303,65018,1709,82734,1718,75049,1633,74108,1447,68276
個人／杉並区,3807,226597,3443,207422,3775,210246,3458,198149,3400,186007,3296,173052,3639,184947,3534,187305,3446,174483,2974,144389
個人／豊島区,1453,68357,1501,66854,1319,62793,1322,61273,1417,62446,1215,51831,1378,51810,1184,46832,1156,50769,1073,41310
個人／北区,1385,64945,1263,58033,1471,62892,1592,73498,1414,61679,1384,56432,1435,56867,1469,57117,1365,55153,1418,55913
個人／荒川区,1082,51077,867,44248,875,39051,991,41820,886,38571,1045,40621,1056,39868,996,36418,1030,39100,838,35720
個人／板橋区,2565,145537,2366,118537,2604,126442,2355,123497,2203,112275,2216,105792,2335,109997,2263,112807,2213,103165,2275,101554
個人／練馬区,4489,262679,4251,248028,4541,258737,4530,265783,4169,235045,4111,232304,4408,236006,4379,241164,4572,244533,3843,195959
個人／足立区,4365,260246,4064,253453,4276,262147,3705,215766,4038,230337,3642,195273,3975,203337,4057,214710,3832,184844,3697,169517
個人／葛飾区,2762,149726,2494,131138,2704,149737,2428,132704,2573,139479,2573,128986,2605,126523,2497,122307,2515,120772,2452,114221
個人／江戸川区,3500,182118,2996,166808,3156,168807,2890,151083,2961,164233,2918,156790,2953,143307,2987,141294,2924,147466,2678,132849
個人／合計,46351,2529004,43055,2352242,44584,2394355,42176,2262184,42197,2220739,40515,2044246,43142,2091277,41529,2020282,40907,1975601,37779,1796368
法人／千代田区,556,64257,601,68563,595,73114,681,63525,683,65356,709,79626,599,68156,559,48593,494,53254,448,51169
法人／中央区,769,88567,756,82241,991,102580,1074,94319,928,75419,1041,78082,904,85048,957,64624,869,65992,812,59373
法人／港区,1177,232110,1416,235261,1424,215238,1327,255487,1277,210558,1069,196032,1148,147243,910,140571,884,151651,1008,140587
法人／新宿区,1295,163794,1359,164797,1375,185841,1533,183081,1664,189952,1732,192934,1688,176253,1316,161052,1529,161503,1774,175237
法人／文京区,892,90046,834,91054,868,88797,896,96085,1009,104998,865,87939,865,80323,791,74231,708,78257,960,95359
法人／台東区,783,76294,849,74977,986,91787,1078,94791,1238,108866,1473,121117,1390,116236,1216,101801,1261,101323,1447,120659
法人／墨田区,959,102935,1104,123853,1173,107084,1089,110074,1194,124085,1150,120018,1390,126538,1239,135401,1230,124173,1485,150596
法人／江東区,1041,265679,953,200417,1144,225759,1121,340120,1282,175330,1491,206711,1411,244759,1188,209438,1227,174802,1368,254955
法人／品川区,1124,164708,1127,146922,1138,140425,1277,164232,1387,172695,1357,162688,1375,168235,1271,158101,1351,152314,1423,154633
法人／目黒区,880,125201,842,138086,888,120691,1021,142624,976,137281,1080,146733,1055,151364,958,113194,1027,138403,1123,170027
法人／大田区,2054,309371,2080,347494,2559,379230,2635,400527,2623,350790,2675,360638,2723,357185,2407,312446,2646,342253,2522,388714
法人／世田谷区,3323,486994,3095,509064,3316,462631,3425,459416,3461,481824,3428,458976,3439,462951,2907,422302,3265,474215,3334,467514
法人／渋谷区,1417,163168,1276,156148,1151,160398,1155,148179,1513,189237,1266,151592,1402,159319,1009,121226,1097,133202,1164,133568
法人／中野区,1161,133162,1214,120724,1378,163736,1229,127943,1445,171052,1427,158424,1470,159817,1348,141621,1353,150659,1676,181132
