年（昭和・平成）,合計,宅地（ha）,宅地／構成比（％）,農地（ha）,農地／構成比（％）,山林（ha）,山林／構成比（％）,その他（ha）,その他／構成比（％）
30,104094,30054,28.9,37690,36.2,34622,33.3,1728,1.7
35,104898,33614,32.0,34873,33.2,34572,33.0,1839,1.8
40,104215,37926,36.4,28901,27.7,34403,33.0,2986,2.9
45,103263,42083,40.8,22193,21.5,31397,30.4,7590,7.4
50,100318,47505,47.4,15929,15.9,29876,29.8,7008,7.0
55,97625,49685,50.9,13511,13.8,28013,28.7,6417,6.6
60,95230,50917,53.5,12250,12.9,26314,27.6,5749,6.0
61,95230,51399,54.0,11989,12.6,26188,27.5,5654,5.9
62,94793,51577,54.4,11744,12.4,25888,27.3,5583,5.9
63,94552,51878,54.9,11443,12.1,25670,27.1,5560,5.9
64,95191,52118,54.8,11193,11.8,25386,26.7,6495,6.8
2,94958,52343,55.1,10934,11.5,25236,26.6,6445,6.8
3,94670,52621,55.6,10524,11.1,24311,25.7,7214,7.6
4,94319,52817,56.0,10197,10.8,24162,25.6,7143,7.6
5,93946,53244,56.7,10028,10.7,25490,27.1,5183,5.5
6,93651,53492,57.1,9657,10.3,25361,27.1,5141,5.5
7,93207,53648,57.6,9357,10.0,25129,27.0,5073,5.4
8,92954,53773,57.8,9124,9.8,25025,26.9,5032,5.4
9,92603,53822,58.1,8896,9.6,24831,26.8,5054,5.5
10,92355,54001,58.5,8738,9.5,24657,26.7,4959,5.4
11,92182,54116,58.7,8571,9.3,24586,26.7,4908,5.3
12,91997,54338,59.1,8385,9.1,24432,26.6,4842,5.3
13,91851,54461,59.3,8195,8.9,24391,26.6,4804,5.2
14,91664,54658,59.6,7992,8.7,24231,26.4,4783,5.2
15,91462,54771,59.9,7830,8.6,24014,26.3,4847,5.3
16,91276,55059,60.3,7685,8.4,23736,26.0,4795,5.3
17,91126,55294,60.7,7558,8.3,23581,25.9,4693,5.2
18,91005,55529,61.0,7404,8.1,21988,24.2,6084,6.7
19,90858,55709,61.3,7249,8.0,21902,24.1,5998,6.6
20,90513,55809,61.7,7131,7.9,21612,23.9,5962,6.6
21,90352,55927,61.9,7021,7.8,20998,23.2,6406,7.1
22,90264,56020,62.1,6933,7.7,20949,23.2,6363,7.0
23,90181,56125,62.2,6814,7.6,20916,23.2,6326,7.0
24,90089,56228,62.4,6714,7.5,20836,23.1,6311,7.0
25,90018,56336,62.6,6620,7.4,20827,23.1,6235,6.9
26,89982,56451,62.7,6518,7.2,20776,23.1,6237,6.9
27,89873,56557,62.9,6419,7.1,20682,23.0,6215,6.9
28,89696,56678,63.2,6320,7.0,20547,22.9,6151,6.9
29,89595,56779,63.4,6231,7.0,20457,22.8,6128,6.8
30,89315,56903,63.7,6099,6.8,20189,22.6,6124,6.9
