摘要,全地目／所有者数(人),全地目／構成比(%),全地目／面積(千m2),全地目／構成比(%),宅地／所有者数(人),宅地／構成比(%),宅地／面積(千m2),宅地／構成比(%)
区部／2000m2未満,1300572,98.9,202929,68.5,1297870,99,201291,71.7
区部／2000m2以上,13938,1.1,93424,31.5,13082,1,79365,28.3
区部／計,1314510,100,296353,100,1310952,100,280656,100
市部／2000m2未満,938866,97.6,194489,45.7,907385,98.8,178041,71.9
市部／2000m2以上,22775,2.4,231279,54.3,11284,1.2,69633,28.1
市部／計,961641,100,425768,100,918669,100,247674,100
区市計／2000m2未満,2239438,98.4,397418,55,2205255,98.9,379332,71.8
区市計／2000m2以上,36713,1.6,324702,45,24366,1.1,148998,28.2
区市計／計,2276151,100,722121,100,2229621,100,528330,100
