区市町村名,全建物(%),住宅・アパート(%),事務所・店舗等(%),工場・倉庫(%),その他(%)
区部／千代田区,99.5,97.9,99.8,97.5,99.7
区部／中央区,98.6,96.4,99.8,98.8,98.7
区部／港区,97.9,95.1,99.8,99.1,99.5
区部／新宿区,89.9,82.9,99.6,97.1,98.7
区部／文京区,84.3,79.5,99.4,95.6,96.7
区部／台東区,89.5,85.4,98.9,90.7,96.1
区部／墨田区,84,80.2,98.7,91.1,94.6
区部／江東区,92.6,87.9,99.4,99.3,98.5
区部／品川区,83.6,74.8,99.5,98.4,98
区部／目黒区,71.5,67,97.9,91.7,96.8
区部／大田区,73.7,63.8,98.4,98.3,98
区部／世田谷区,62.8,59.4,96.9,94.8,91.7
区部／渋谷区,90.8,84.7,99.6,97.3,99.1
区部／中野区,66.3,62.2,97.6,89.6,94.2
区部／杉並区,55.8,52,95.4,94.7,92.4
区部／豊島区,80.3,72.6,99.4,92,98
区部／北区,71.4,66.3,97.6,96,95.4
区部／荒川区,73.4,69.9,96.2,89.2,91.6
区部／板橋区,73,68.3,97.1,96.4,94.6
区部／練馬区,55.8,52.1,95.4,91.3,87.1
区部／足立区,63.6,56.9,95.4,93.4,92.5
区部／葛飾区,59.2,54.3,94.6,89.4,88.6
区部／江戸川区,64.8,59.4,96.3,1,91.5
区部／区部,77.7,68.6,99.1,96.5,96.9
市部／八王子市,56.9,45.4,96.3,95.6,80.2
市部／立川市,66.5,51.9,97.9,96.3,91.1
市部／武蔵野市,67.5,58.5,98.7,97.1,90.8
市部／三鷹市,54.6,46.8,96.5,94.3,91.2
市部／青梅市,44.7,29.9,95,95.6,54.1
市部／府中市,64.8,52.5,98.2,98.7,91.8
市部／昭島市,62.1,46.4,96.8,98.7,87.4
市部／調布市,61.2,54.1,96.7,96.4,90.1
市部／町田市,47.9,38.3,95.3,97.3,75.3
市部／小金井市,47.8,42.2,95.6,85.9,89.2
市部／小平市,48.3,40.6,94.5,95.9,64.9
市部／日野市,55.6,44.3,97,98.7,82.1
市部／東村山市,47.1,39.3,93.9,95.6,75.1
市部／国分寺市,51.1,43.3,97.3,94.8,84.8
市部／国立市,61,52.7,96.8,97.1,93.6
市部／福生市,52.9,44.8,93,90.5,75.6
市部／狛江市,49,45,95,88.4,52.4
市部／東大和市,48.9,39.8,94.1,97.5,62.8
市部／清瀬市,44.9,38.7,95.2,81.5,82.9
市部／東久留米市,47.5,37,93.6,91.7,86.9
市部／武蔵村山市,43.6,22.1,94.6,98.1,58.6
市部／多摩市,77.4,68.7,99.3,98.8,96.6
市部／稲城市,62.7,56.2,95.2,95.5,69.7
市部／羽村市,60.2,38.8,95.7,99.5,56.5
市部／あきる野市,27,15.9,89,85.8,44.6
市部／西東京市,52.9,46.6,97,92.3,90.9
市部／市部,55.4,44.9,96.6,96.5,80.1
西多摩郡／瑞穂町,57.7,16.7,96.2,98.9,71.1
西多摩郡／日の出町,40.5,12.6,96.4,91.1,57.5
西多摩郡／檜原村,9.1,2.4,25.1,64.6,11.2
西多摩郡／奥多摩町,18.2,7.4,63,78.5,34.4
西多摩郡／西多摩郡,47.2,13.4,94.1,96.8,54.4
多摩地域,55.2,44.4,96.5,96.5,78.9
区部・多摩計,71.5,61.5,98.7,96.5,91.6
島しょ／大島町,24.5,14.3,71.9,62.2,39.7
島しょ／利島村,40,20.4,83.6,66,80.7
島しょ／新島村,55.1,46.5,82.2,84.8,68.1
島しょ／神津島村,30,14.1,46.4,57.5,73.5
島しょ／三宅村,17.6,6.4,74.8,48,17.4
島しょ／御蔵島村,15.3,4.2,69.3,60.1,0
島しょ／八丈町,37.8,23.8,79.3,69.8,66.9
島しょ／青ヶ島村,59.5,34.7,96.6,96.4,42.3
島しょ／小笠原村,74.2,69.8,82.5,96.9,64.4
島しょ／島しょ計,34.9,22.8,76.3,67.6,52
合計,71.4,61.4,98.7,96.4,91.2
