区名,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計
千代田区／件数(件),194,66,17,9,8,4,1,0,0,0,0,299
千代田区／面積(m2),4377,4532,1990,1530,1891,1397,662,0,0,0,0,16379
中央区／件数(件),322,104,14,5,3,1,1,0,0,0,0,450
中央区／面積(m2),6998,7154,1680,781,750,349,598,0,0,0,0,18310
港区／件数(件),403,179,78,34,21,12,4,0,0,0,0,731
港区／面積(m2),7879,12688,9435,5745,4884,4520,2460,0,0,0,0,47611
新宿区／件数(件),951,474,233,122,73,37,15,5,0,0,0,1910
新宿区／面積(m2),17790,33777,27877,20902,17280,12861,9830,8098,0,0,0,148415
文京区／件数(件),816,378,176,76,61,22,11,4,2,0,0,1546
文京区／面積(m2),16506,26576,21214,13061,14402,8017,6896,4514,4322,0,0,115508
台東区／件数(件),708,327,111,39,21,9,3,0,0,0,0,1218
台東区／面積(m2),16268,22926,13390,6640,5081,3295,1814,0,0,0,0,69414
墨田区／件数(件),992,433,159,69,38,30,6,1,1,0,0,1729
墨田区／面積(m2),21101,30736,19030,11971,9107,10831,3622,1193,2123,0,0,109714
江東区／件数(件),945,447,156,62,48,25,9,3,0,0,0,1695
江東区／面積(m2),19895,31138,18725,10603,11565,9601,5538,4123,0,0,0,111188
品川区／件数(件),1108,668,243,124,91,30,13,1,0,0,0,2278
品川区／面積(m2),21536,47594,29518,21534,21773,11114,8235,1705,0,0,0,163009
目黒区／件数(件),749,483,240,153,121,50,16,0,0,0,0,1812
目黒区／面積(m2),13706,35317,29704,26365,29319,19552,10333,0,0,0,0,164296
大田区／件数(件),2007,1218,663,363,286,189,56,12,0,0,0,4794
大田区／面積(m2),39489,88236,80031,62580,68889,70431,37961,16309,0,0,0,463926
世田谷区／件数(件),2842,1579,988,618,484,288,131,29,3,0,0,6962
世田谷区／面積(m2),50369,114794,120274,105990,116548,107757,90109,37600,7512,0,0,750953
渋谷区／件数(件),687,354,191,122,64,26,12,5,0,0,0,1461
渋谷区／面積(m2),13344,25159,23177,21123,15233,9886,8167,6178,0,0,0,122267
中野区／件数(件),1422,670,334,195,136,74,22,5,0,0,0,2858
中野区／面積(m2),22822,48726,40813,33517,32645,28367,14291,6039,0,0,0,227220
杉並区／件数(件),2438,1217,764,493,384,179,49,26,1,0,0,5551
杉並区／面積(m2),39848,88690,92838,85040,91964,65597,32559,33007,3557,0,0,533100
豊島区／件数(件),956,552,252,143,92,46,18,5,2,1,0,2067
豊島区／面積(m2),19318,39983,30694,24397,22218,16864,12276,6268,6856,6611,0,185485
北区／件数(件),1238,641,328,150,100,69,25,4,0,0,0,2555
北区／面積(m2),24555,45573,39392,25662,23654,25605,16998,5443,0,0,0,206882
荒川区／件数(件),712,329,148,63,70,33,13,3,1,0,0,1372
荒川区／面積(m2),14202,23316,18115,10742,17045,12284,8680,4299,2321,0,0,111004
板橋区／件数(件),1787,1060,519,240,240,164,95,17,2,0,0,4124
板橋区／面積(m2),31671,76328,62776,41024,57662,62190,65365,21742,5612,0,0,424370
練馬区／件数(件),3126,1587,1024,489,382,219,159,55,12,1,0,7054
練馬区／面積(m2),52010,115059,122565,83895,91267,81919,108907,75265,28009,8079,0,766975
足立区／件数(件),2774,1411,686,333,293,251,121,26,1,0,0,5896
足立区／面積(m2),49955,101479,83101,57278,70372,97342,82646,33182,3287,0,0,578642
葛飾区／件数(件),1990,1011,447,254,249,174,104,15,2,0,0,4246
葛飾区／面積(m2),37506,72268,53916,43575,59840,66736,69100,18136,4670,0,0,425747
江戸川区／件数(件),2490,1287,508,282,253,252,115,15,3,0,0,5205
江戸川区／面積(m2),49981,91415,61408,48932,61595,97327,79450,19332,8226,0,0,517666
合計／件数(件),31657,16475,8279,4438,3518,2184,999,231,30,2,0,67813
合計／面積(m2),591126,1183464,1001663,762887,844984,823842,676497,302433,76495,14690,0,6278081
