区分,個人／所有者数(人),個人／構成比(%),個人／面積(千m2),個人／構成比(%),法人／所有者数(人),法人／構成比(%),法人／面積(千m2),法人／構成比(%),合計／所有者数(人),合計／構成比(%),合計／面積(千m2),合計／構成比(%)
八王子市／100m2未満,10776,9,772,3,295,9,14,0,11071,9,787,2
八王子市／200m2未満,65097,57,9637,31,550,17,84,1,65647,56,9721,25
八王子市／300m2未満,22467,20,5223,17,390,12,95,1,22857,19,5317,14
八王子市／500m2未満,7781,7,2911,9,538,16,208,3,8319,7,3120,8
"八王子市／1,000m2未満",4677,4,3225,10,609,19,435,6,5286,4,3661,10
"八王子市／2,000m2未満",2344,2,3150,10,394,12,554,7,2738,2,3704,10
"八王子市／5,000m2未満",1127,1,3272,11,271,8,842,11,1398,1,4114,11
"八王子市／10,000m2未満",142,0,891,3,122,4,847,11,264,0,1738,5
"八王子市／10,000m2以上",91,0,1768,6,117,4,4484,59,208,0,6252,16
八王子市／計,114502,100,30850,100,3286,100,7563,100,117788,100,38413,100
立川市／100m2未満,6555,21,484,6,161,13,10,0,6716,21,494,5
立川市／200m2未満,17482,57,2275,29,307,24,45,1,17789,56,2319,21
立川市／300m2未満,2777,9,668,9,170,13,42,1,2947,9,710,7
立川市／500m2未満,1775,6,662,8,187,15,72,2,1962,6,734,7
"立川市／1,000m2未満",976,3,682,9,200,16,143,5,1176,4,826,8
"立川市／2,000m2未満",618,2,877,11,114,9,159,5,732,2,1035,10
"立川市／5,000m2未満",411,1,1262,16,81,6,232,8,492,2,1495,14
"立川市／10,000m2未満",81,0,532,7,25,2,182,6,106,0,714,7
"立川市／10,000m2以上",18,0,397,5,26,2,2110,70,44,0,2506,23
立川市／計,30693,100,7838,100,1271,100,2995,100,31964,100,10833,100
武蔵野市／100m2未満,5036,23,349,7,147,14,10,1,5183,23,359,6
武蔵野市／200m2未満,10382,48,1451,28,267,26,39,3,10649,47,1490,24
武蔵野市／300m2未満,3128,14,756,15,160,15,39,3,3288,14,795,13
武蔵野市／500m2未満,1959,9,734,14,190,18,73,6,2149,9,808,13
"武蔵野市／1,000m2未満",806,4,548,11,128,12,87,7,934,4,635,10
"武蔵野市／2,000m2未満",310,1,432,8,79,8,112,9,389,2,543,9
"武蔵野市／5,000m2未満",145,1,421,8,40,4,116,10,185,1,538,9
"武蔵野市／10,000m2未満",32,0,233,5,18,2,126,10,50,0,359,6
"武蔵野市／10,000m2以上",13,0,188,4,15,1,604,50,28,0,792,13
武蔵野市／計,21811,100,5112,100,1044,100,1206,100,22855,100,6318,100
三鷹市／100m2未満,7813,25,564,8,131,12,8,1,7944,24,572,7
三鷹市／200m2未満,17317,55,2244,31,289,27,42,3,17606,54,2286,26
三鷹市／300m2未満,3024,10,725,10,133,13,33,2,3157,10,758,9
三鷹市／500m2未満,1701,5,643,9,149,14,59,4,1850,6,702,8
"三鷹市／1,000m2未満",967,3,680,9,162,15,114,8,1129,3,795,9
"三鷹市／2,000m2未満",470,1,656,9,79,7,110,8,549,2,766,9
"三鷹市／5,000m2未満",332,1,999,14,78,7,256,18,410,1,1254,14
"三鷹市／10,000m2未満",82,0,531,7,22,2,147,10,104,0,678,8
"三鷹市／10,000m2以上",14,0,219,3,18,2,641,45,32,0,860,10
三鷹市／計,31720,100,7262,100,1061,100,1410,100,32781,100,8672,100
青梅市／100m2未満,3665,11,262,3,75,8,4,0,3740,11,266,2
青梅市／200m2未満,17237,51,2414,23,176,18,26,1,17413,50,2440,19
青梅市／300m2未満,4573,14,1109,11,80,8,20,1,4653,13,1129,9
青梅市／500m2未満,3626,11,1381,13,147,15,57,3,3773,11,1438,11
"青梅市／1,000m2未満",2678,8,1858,18,184,19,128,6,2862,8,1985,16
"青梅市／2,000m2未満",1198,4,1646,16,138,14,196,9,1336,4,1842,15
"青梅市／5,000m2未満",459,1,1316,13,91,9,310,14,550,2,1625,13
"青梅市／10,000m2未満",64,0,421,4,56,6,393,18,120,0,814,6
"青梅市／10,000m2以上",3,0,38,0,36,4,1051,48,39,0,1089,9
青梅市／計,33503,100,10445,100,983,100,2185,100,34486,100,12629,100
