区市町村名,最大値,令和4年,上昇率,下落率(%)
千代田区,403.8,125.0,303.8,-69.0
中央区,199.1,58.6,99.1,-70.6
港区,363.9,127.3,263.9,-65.0
新宿区,349.2,140.7,249.2,-59.7
文京区,288.9,168.3,188.9,-41.7
台東区,256.5,135.2,156.5,-47.3
墨田区,230.2,139.9,130.2,-39.2
江東区,246.3,137.5,146.3,-44.2
品川区,256.0,142.5,156.0,-44.3
目黒区,318.8,151.1,218.8,-52.6
大田区,339.8,130.1,239.8,-61.7
世田谷区,336.0,158.5,236.0,-52.8
渋谷区,355.0,148.7,255.0,-58.1
中野区,297.5,138.8,197.5,-53.4
杉並区,332.8,154.9,232.8,-53.5
豊島区,243.0,121.5,143.0,-50.0
北区,241.5,133.7,141.5,-44.6
荒川区,222.2,143.2,122.2,-35.5
板橋区,261.2,138.4,161.2,-47.0
練馬区,316.3,146.7,216.3,-53.6
足立区,241.3,136.0,141.3,-43.7
葛飾区,245.4,127.3,145.4,-48.1
江戸川区,316.8,152.7,216.8,-51.8
区部,300.5,150.6,200.5,-49.9
八王子市,223.3,72.5,123.3,-67.5
立川市,259.8,127.9,159.8,-50.8
武蔵野市,344.2,169.6,244.2,-50.7
三鷹市,302.5,140.4,202.5,-53.6
青梅市,219.6,73.1,119.6,-66.7
府中市,267.4,136.0,167.4,-49.2
昭島市,232.5,109.3,132.5,-53.0
調布市,322.9,140.5,222.9,-56.5
町田市,267.3,89.5,167.3,-66.5
小金井市,257.4,128.3,157.4,-50.2
小平市,277.1,107.3,177.1,-61.3
日野市,250.8,98.4,150.8,-60.8
東村山市,272.7,104.4,172.7,-61.7
国分寺市,280.0,130.0,180.0,-53.6
国立市,339.3,138.7,239.3,-59.1
福生市,218.5,108.1,118.5,-50.5
狛江市,321.3,125.6,221.3,-60.9
東大和市,221.8,97.6,121.8,-56.0
清瀬市,255.4,99.5,155.4,-61.1
東久留米市,260.4,99.7,160.4,-61.7
武蔵村山市,194.7,86.1,94.7,-55.7
多摩市,322.4,89.9,222.4,-72.1
稲城市,238.4,125.4,138.4,-47.4
羽村市,216.3,105.5,116.3,-51.2
あきる野市,182.0,83.7,82.0,-54.0
西東京市,285.3,122.7,185.3,-57.0
瑞穂町,185.8,87.0,85.8,-53.1
日の出町,166.4,61.9,66.4,-62.8
檜原村,,,,
奥多摩町,,,,
多摩地域,261.9,105.0,161.9,-59.9
大島町,,,,
新島村,,,,
神津島村,,,,
三宅村,,,,
八丈町,,,,
小笠原村,,,,
島しょ,,,,
東京都,283.2,128.1,183.2,-54.7
