区市町村名　/　昭和・平成　年,58年,59年,60年,61年,62年,63年,64年,2年,3年,4年,5年,6年,7年,8年,9年,10年,11年,12年,13年,14年,15年,16年,17年,19年,20年,21年,22年,23年,24年,25年,26年,27年,28年,29年,30年,31年
千代田区,2467,3243,4334,9205,14759,16993,16974,17512,17527,16703,12743,8797,6336,4716,3943,3924,3754,3622,3485,4108,4085,4099,3943,5085,6175,6034,5224,4867,4726,4700,5557,5901,5940,6175,6449,6802.9
中央区,3246,4087,5605,10514,16010,18480,18555,19135,19258,18246,14293,8937,6301,4663,3907,3822,3622,3410,3239,3499,3475,3516,3688,5239,6526,6519,5251,5492,5351,5504,6307,6922,7294,8291,9010,9534.5
港区,2382,2939,5433,10209,16474,17762,17532,18059,18290,16433,10735,6958,4689,3545,3044,2898,2692,2522,2435,2565,2534,2496,2523,3762,4689,4163,3535,3326,3195,3101,3307,3521,3682,3942,4201,4554
新宿区,2809,3442,5031,7889,13215,15281,15437,16085,16346,15054,10903,7015,5172,3881,3383,3284,3118,3007,3007,2562,2502,2462,2460,3106,3998,3845,3306,3280,3220,3191,3368,3542,3885,4033,4404,4750.9
文京区,1082,1203,1314,1746,4977,6023,5823,5898,5894,5299,4002,3178,2734,2042,1600,1391,1247,1153,1064,892,858,846,838,1016,1268,1201,1072,1032,1009,1013,1058,1102,1149,1218,1296,1405.1
台東区,1416,1543,1846,2401,4820,5819,5808,6237,6234,5760,4470,3529,2891,2141,1721,1465,1341,1227,1132,1076,1011,962,946,1138,1400,1283,1167,1055,1022,1020,1244,1278,1121,1197,1291,1440.3
墨田区,654,675,711,827,1857,3215,3358,3474,3543,3068,2267,1715,1291,969,788,722,650,591,538,498,480,479,477,558,666,621,577,570,564,571,585,597,614,637,672,736.6
江東区,636,671,708,815,1848,2706,2826,2956,2939,2632,1940,1616,1267,952,792,725,653,587,534,490,479,479,479,588,675,643,600,596,588,586,602,617,634,698,742,823.5
品川区,1202,1355,1679,2573,6011,6421,6374,6487,6487,6109,4044,3027,2194,1758,1446,1292,1201,1119,1074,969,946,930,926,1193,1440,1263,1184,1125,1104,1123,1239,1296,1311,1373,1470,1584.4
目黒区,1293,1448,1667,2437,5256,5769,5638,5624,5704,4981,3368,2758,2282,1793,1489,1342,1241,1153,1088,1065,1041,1025,1023,1344,1622,1592,1456,1320,1286,1232,1425,1467,1397,1500,1585,1696.9
大田区,897,966,1092,1388,2836,3600,3541,3664,3941,3589,2316,1619,1278,1101,891,803,753,686,647,599,586,583,583,666,761,718,678,663,654,659,723,740,733,778,807,850
世田谷区,818,862,978,1230,2390,3399,3426,3485,3473,2976,1983,1463,1214,1021,898,840,763,706,681,659,646,636,642,759,884,824,764,739,726,725,737,751,777,816,874,951.4
渋谷区,2603,3047,4897,9353,13419,15930,15933,16652,16796,15042,12447,7516,5263,3845,3390,3325,3056,2927,2883,2636,2652,2682,2809,4169,5129,4908,4182,3976,3814,3785,3771,3986,4610,5308,5944,6599.7
