区名,増加量（万m2）,増加率（%）
千代田区,1057.7,161.5
中央区,639.5,108.7
港区,1455.7,396.2
新宿区,601.7,425.8
文京区,174.7,348.8
台東区,188.4,255.7
墨田区,102.6,332.0
江東区,471.2,1004.8
品川区,470.8,734.5
目黒区,99.3,295.5
大田区,231.7,270.3
世田谷区,117.8,348.5
渋谷区,487.8,429.4
中野区,86.7,490.0
杉並区,62.9,244.8
豊島区,212.3,502.0
北区,60.4,268.6
荒川区,38.6,294.9
板橋区,67.7,248.0
練馬区,50.3,227.6
足立区,57.0,252.2
葛飾区,31.2,141.0
江戸川区,81.6,436.6
区部計,6847.7,271.9
