区分,平成25年,平成26年,平成27年,平成28年,平成29年,平成30年,平成31年,令和2年,令和3年,令和4年
50m2未満／件数(件),4433,4311,4079,4205,4303,4395,4264,3858,3766,3956
50m2未満／面積(m2),78344,78265,74113,78330,82373,84721,79492,73343,68016,69105
50m2以上100m2未満／件数(件),2066,2159,2143,2182,2183,2071,2063,1648,1805,1891
50m2以上100m2未満／面積(m2),145687,153498,151729,156404,155681,147412,146377,117371,129130,136075
100m2以上150m2未満／件数(件),852,1006,1031,979,1015,964,933,766,798,792
100m2以上150m2未満／面積(m2),103660,121338,124394,118246,123955,117102,112686,93132,96709,94939
150m2以上200m2未満／件数(件),504,508,543,577,597,541,524,439,397,473
150m2以上200m2未満／面積(m2),86967,87281,93558,99049,103026,92692,90100,75209,68265,80616
200m2以上300m2未満／件数(件),456,421,443,469,513,409,394,323,371,374
200m2以上300m2未満／面積(m2),109710,101929,107209,113650,122745,97540,95079,77762,88658,90002
300m2以上500m2未満／件数(件),287,251,314,311,317,278,233,211,213,206
300m2以上500m2未満／面積(m2),107273,95460,119154,116494,118674,103619,87042,77761,79525,77418
500m2以上1000m2未満／件数(件),136,140,120,122,121,99,106,98,88,77
500m2以上1000m2未満／面積(m2),91404,96952,83245,84612,82467,66551,71094,68161,58892,52593
1000m2以上2000m2未満／件数(件),50,37,41,38,40,21,30,20,25,23
1000m2以上2000m2未満／面積(m2),68769,51077,55596,55215,52592,28250,40250,29392,35002,32222
2000m2以上5000m2未満／件数(件),18,16,17,16,14,11,9,4,6,4
2000m2以上5000m2未満／面積(m2),51154,40421,53881,43509,37060,31758,26389,10723,18628,10238
5000m2以上10000m2未満／件数(件),5,3,3,5,1,2,2,1,1,3
5000m2以上10000m2未満／面積(m2),34538,20855,20048,38239,5713,12262,12228,7246,5413,19558
10000m2以上／件数(件),4,3,2,2,1,4,1,2,2,3
10000m2以上／面積(m2),52387,42366,30210,33691,14988,83981,14988,29437,27612,45852
合計／件数(件),8811,8855,8736,8906,9105,8795,8559,7370,7472,7802
合計／面積(m2),929893,889442,913137,937439,899274,865888,775725,659537,675850,708618
