順位,標準地番号,都道府県,標準地の所在地,平成29年,平成30年,変動率
1,米子－５－１,鳥取県,角盤町１丁目２７番８,87500,78000,-10.9
2,美唄－５－１,北海道,大通西１条南１丁目１番１,20200,18700,-7.4
3,島根川本－５－１,島根県,大字川本５３７番９,21000,19500,-7.1
4,古平－５－１,北海道,大字浜町７１番１内,9150,8500,-7.1
5,田原－５－２,愛知県,福江町浜田１番１,28800,26800,-6.9
6,夕張－５－１,北海道,本町２丁目２１７番,5800,5400,-6.9
7,上郡－５－１,兵庫県,竹万字京免２１５６番２,43000,40100,-6.7
8,当別－５－１,北海道,弥生５２番１０内,17800,16600,-6.7
9,深川－５－１,北海道,４条４番５外,18000,16800,-6.7
10,三浦－５－２,神奈川県,三崎４丁目３８番１３,92500,86500,-6.5
