区分,木造(防火木造を除く。)／空き家数(戸数),木造(防火木造を除く。)／木造住宅総数(戸数),木造(防火木造を除く。)／空き家率(%),防火木造／空き家数(戸数),防火木造／防火木造住宅総数(戸数),防火木造／空き家率(%),鉄筋鉄骨コンクリート造／空き家数(戸数),鉄筋鉄骨コンクリート造／鉄筋鉄骨Co住宅総数(戸数),鉄筋鉄骨コンクリート造／空き家率(%),鉄骨造／空き家数(戸数),鉄骨造／鉄骨造住宅総数(戸数),鉄骨造／空き家率(%)
東京都全体,72600,434000,16.7,156900,1944700,8.1,480400,3651900,13.2,96500,767200,12.6
区部,48300,293300,16.5,95500,1153500,8.3,360700,2851200,12.7,65800,598300,11
多摩部・島しょ部,24300,140700,17.3,61400,791200,7.8,119700,800700,14.9,30700,168900,18.2
