区分,区部（千m2),区部／指数,市部（千m2),市部／指数,計（千m2),計／指数
昭和50年,433,100,1229,100,680,100
昭和51年,422,97,1167,95,660,97
昭和52年,409,94,1111,90,636,94
昭和53年,397,92,1057,86,613,90
昭和54年,386,89,934,76,577,85
昭和55年,378,87,902,73,561,82
昭和56年,371,86,870,71,546,80
昭和57年,365,84,920,75,551,81
昭和58年,359,83,896,73,540,79
昭和59年,354,82,888,72,532,78
昭和60年,352,81,863,70,526,77
昭和61年,350,81,841,68,519,76
昭和62年,340,79,824,67,509,75
昭和63年,337,78,808,66,502,74
昭和64年,341,79,800,65,503,74
平成2年,338,78,786,64,496,73
平成3年,334,77,744,61,485,71
平成4年,329,76,763,62,484,71
平成5年,326,75,734,60,474,70
平成6年,324,75,728,59,471,69
平成7年,320,74,712,58,464,68
平成8年,320,74,732,60,474,70
平成9年,314,73,696,57,461,68
平成10年,310,71,673,55,450,66
平成11年,305,70,662,54,443,65
平成12年,300,69,650,53,436,64
平成13年,295,68,638,52,429,63
平成14年,290,67,624,51,421,62
平成15年,285,66,613,50,414,61
平成16年,281,65,601,49,407,60
平成17年,276,64,588,48,400,59
平成18年,271,62,573,47,391,57
平成19年,267,62,562,46,385,57
平成20年,264,61,550,45,379,56
平成21年,261,60,540,44,374,55
平成22年,257,59,532,43,369,54
平成23年,250,58,514,42,358,53
平成24年,247,57,510,41,354,52
平成25年,245,56,500,41,349,51
平成26年,242,56,485,39,343,50
平成27年,239,55,478,39,339,50
平成28年,237,55,472,38,335,49
平成29年,235,56,465,40,331,50
