年度（平成）,区部都心部(件),区部南西部(件),区部北東部(件),多摩地域(件),合計(件)
11,5,2,2,0,9
12,17,6,4,3,30
13,28,7,13,4,52
14,29,16,4,8,57
15,40,18,22,12,92
16,53,30,12,15,110
17,58,21,24,18,121
18,66,22,14,14,116
19,53,22,24,20,119
20,31,14,17,11,73
21,17,5,6,4,32
22,22,3,10,3,38
23,25,11,13,8,57
24,28,11,10,18,67
25,36,23,8,16,83
26,38,20,15,14,87
27,36,23,13,13,85
28,32,13,21,4,70
29,32,18,21,16,87
30,22,13,27,9,71
31,32,23,30,24,109
