区分,宅地面積A（千m2）,建物延床面積B（千m2）,概算容積率C＝B/A×100（％）,指定平均容積率D（％）,充足率E＝C/D×100（％）
区部＿千代田区,3648 ,23526 ,644.9,561.8,114.8
区部＿中央区,3963 ,22244 ,561.3,571.0,98.3
区部＿港区,9264 ,37219 ,401.8,408.5,98.4
区部＿新宿区,9742 ,25557 ,262.3,386.8,67.8
区部＿文京区,5883 ,12572 ,213.7,338.0,63.2
区部＿台東区,4537 ,13620 ,300.2,484.8,61.9
区部＿墨田区,6855 ,13666 ,199.4,325.7,61.2
区部＿江東区,14876 ,30185 ,202.9,288.3,70.4
区部＿品川区,11528 ,22840 ,198.1,278.4,71.2
区部＿目黒区,9111 ,13297 ,146.0,207.4,70.4
区部＿大田区,25027 ,35395 ,141.4,216.8,65.2
区部＿世田谷区,34823 ,37813 ,108.6,169.0,64.3
区部＿渋谷区,8107 ,20083 ,247.7,327.7,75.6
区部＿中野区,10065 ,13401 ,133.1,216.4,61.5
区部＿杉並区,21608 ,22654 ,104.8,155.8,67.3
区部＿豊島区,7824 ,16003 ,204.6,354.6,57.7
区部＿北区,9574 ,14017 ,146.4,253.0,57.9
区部＿荒川区,5403 ,9096 ,168.4,325.8,51.7
区部＿板橋区,18047 ,23000 ,127.4,235.6,54.1
区部＿練馬区,28417 ,27166 ,95.6,164.1,58.3
区部＿足立区,27487 ,27043 ,98.4,242.6,40.6
区部＿葛飾区,16580 ,17626 ,106.3,212.6,50.0
区部＿江戸川区,23339 ,26111 ,111.9,233.6,47.9
区部＿区部計,315705 ,504134 ,159.7,257.0,62.1
市部＿八王子市,37923 ,27196 ,71.7,126.1,56.9
市部＿立川市,10793 ,8809 ,81.6,164.8,49.5
市部＿武蔵野市,6301 ,7122 ,113.0,165.1,68.4
市部＿三鷹市,8614 ,7385 ,85.7,127.7,67.1
市部＿青梅市,12555 ,6877 ,54.8,147.6,37.1
市部＿府中市,12927 ,11608 ,89.8,158.8,56.5
市部＿昭島市,7573 ,5374 ,71.0,156.8,45.2
市部＿調布市,10182 ,9368 ,92.0,137.3,67.0
市部＿町田市,28124 ,18724 ,66.6,116.7,57.0
市部＿小金井市,5711 ,4667 ,81.7,126.0,64.9
市部＿小平市,10237 ,7538 ,73.6,131.0,56.2
市部＿日野市,11167 ,8351 ,74.8,132.9,56.3
市部＿東村山市,7666 ,5687 ,74.2,127.1,58.4
市部＿国分寺市,6348 ,5080 ,80.0,128.2,62.4
市部＿国立市,4125 ,3319 ,80.5,158.0,50.9
市部＿福生市,3614 ,2462 ,68.1,164.8,41.3
市部＿狛江市,3410 ,3020 ,88.6,126.9,69.8
市部＿東大和市,5145 ,3431 ,66.7,105.9,63.0
市部＿清瀬市,3576 ,2644 ,73.9,144.4,51.2
市部＿東久留米市,6653 ,4606 ,69.2,128.5,53.9
市部＿武蔵村山市,5416 ,3236 ,59.7,113.4,52.7
市部＿多摩市,8106 ,7167 ,88.4,172.3,51.3
市部＿稲城市,4814 ,3594 ,74.7,116.1,64.3
市部＿羽村市,5432 ,3133 ,57.7,172.2,33.5
市部＿あきる野市,8267 ,3828 ,46.3,113.9,40.7
市部＿西東京市,8804 ,7581 ,86.1,140.9,61.1
市部＿市部計,243484 ,181807 ,74.7,134.9,55.3
西多摩郡＿瑞穂町,4906 ,2387 ,48.7,113.2,43.0
西多摩郡＿日の出町,2432 ,1001 ,41.2,117.9,34.9
西多摩郡＿檜原村,427 ,195 ,45.6,・・・,・・・
西多摩郡＿奥多摩町,860 ,398 ,46.3,・・・,・・・
西多摩郡＿西多摩郡計,8625 ,3981 ,46.2,114.3,40.4
多摩地域計,252108 ,185788 ,73.7,134.4,54.8
区部・多摩計,567813 ,689922 ,121.5,198.5,61.2

