区市町村名,宅地面積A（千m2）,建物延床面積B（千m2）,概算容積率C＝B/A×100（％）,指定平均容積率D（％）,充足率E＝C/D×100（％）
区部／千代田区,3661,23806,650.3,561.8,115.8
区部／中央区,3929,22579,574.7,571.0,100.6
区部／港区,9301,37596,404.2,408.5,98.9
区部／新宿区,9886,25795,260.9,386.8,67.5
区部／文京区,5882,12616,214.5,338.0,63.5
区部／台東区,4535,13677,301.5,484.8,62.2
区部／墨田区,6851,13767,201.0,325.7,61.7
区部／江東区,14956,30696,205.2,288.3,71.2
区部／品川区,11537,22878,198.3,278.4,71.2
区部／目黒区,9108,13425,147.4,207.4,71.1
区部／大田区,25036,35870,143.3,216.8,66.1
区部／世田谷区,34820,38095,109.4,169.1,64.7
区部／渋谷区,8118,20287,249.9,327.8,76.2
区部／中野区,10074,13506,134.1,216.6,61.9
区部／杉並区,21618,22799,105.5,155.8,67.7
区部／豊島区,7808,16023,205.2,354.6,57.9
区部／北区,9570,14129,147.6,253.0,58.3
区部／荒川区,5398,9151,169.5,325.8,52.0
区部／板橋区,18079,23147,128.0,235.6,54.3
区部／練馬区,28444,27398,96.3,164.1,58.7
区部／足立区,27313,27282,99.9,242.6,41.2
区部／葛飾区,16584,17751,107.0,212.6,50.3
区部／江戸川区,23337,26304,112.7,233.6,48.2
区部／区部計,315845,508577,161.0,257.0,62.6
市部／八王子市,38114,27395,71.9,126.0,57.1
市部／立川市,10802,8904,82.4,165.3,49.8
市部／武蔵野市,6313,7139,113.1,165.1,68.5
市部／三鷹市,8645,7413,85.7,127.7,67.1
市部／青梅市,12597,6823,54.2,147.6,36.7
市部／府中市,12951,11723,90.5,158.8,57.0
市部／昭島市,7577,5415,71.5,156.8,45.6
市部／調布市,10218,9440,92.4,137.3,67.3
市部／町田市,28272,18840,66.6,116.7,57.1
市部／小金井市,5731,4700,82.0,126.0,65.1
市部／小平市,10257,7491,73.0,131.3,55.6
市部／日野市,11241,8417,74.9,132.9,56.4
市部／東村山市,7689,5779,75.1,127.4,58.9
市部／国分寺市,6381,5118,80.2,128.2,62.6
市部／国立市,4136,3355,81.1,158.0,51.3
市部／福生市,3619,2474,68.3,164.8,41.4
市部／狛江市,3419,3077,90.0,126.9,70.9
市部／東大和市,5162,3458,67.0,105.9,63.3
市部／清瀬市,3618,2675,74.0,144.8,51.1
市部／東久留米市,6687,4654,69.6,128.5,54.2
市部／武蔵村山市,5418,3276,60.5,113.5,53.3
市部／多摩市,8117,7222,89.0,172.3,51.7
市部／稲城市,4880,3655,74.9,118.6,63.2
市部／羽村市,5440,3148,57.9,172.2,33.6
市部／あきる野市,8309,3824,46.0,113.9,40.4
市部／西東京市,8838,7646,86.5,140.9,61.4
市部／市部計,244431,183061,74.9,135.0,55.5
西多摩郡／瑞穂町,4944,2404,48.6,113.2,42.9
西多摩郡／日の出町,2461,1008,40.9,117.9,34.7
西多摩郡／檜原村,428,194,45.5,,・・・
西多摩郡／奥多摩町,861,395,45.9,,・・・
西多摩郡／西多摩郡計,8694,4001,46.0,114.3,40.2
多摩地域計,253125,187062,73.9,134.4,55.0
区部・多摩計,568970,695639,122.3,198.5,61.6
