区分,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年,平成30年,平成31年,令和2年
50m2未満／件数(件),105,170,80,84,60,111,104,214,133,206
50m2未満／面積(m2),1865,2716,1480,1490,1196,2024,1835,5688,2467,5753
50m2以上100m2未満／件数(件),31,61,25,38,24,54,33,25,30,40
50m2以上100m2未満／面積(m2),2189,4196,1746,2735,1624,4628,2590,1664,2040,2832
100m2以上150m2未満／件数(件),11,23,16,19,10,25,24,7,7,17
100m2以上150m2未満／面積(m2),1386,2744,1915,2250,1224,2840,3043,879,813,1945
150m2以上200m2未満／件数(件),4,8,3,3,8,5,7,3,5,5
150m2以上200m2未満／面積(m2),745,1403,543,523,1411,869,1180,488,836,839
200m2以上300m2未満／件数(件),5,9,6,7,7,5,40,5,0,5
200m2以上300m2未満／面積(m2),1124,2109,1412,1623,1724,1331,8916,1199,0,1119
300m2以上500m2未満／件数(件),3,11,3,2,9,5,7,4,2,4
300m2以上500m2未満／面積(m2),1008,4170,1046,692,3717,1746,2514,1644,784,1714
500m2以上1000m2未満／件数(件),1,5,3,6,0,5,1,4,2,3
500m2以上1000m2未満／面積(m2),674,3180,2205,4165,0,3759,668,2513,1362,1784
1000m2以上2000m2未満／件数(件),4,6,2,3,2,2,2,1,0,1
1000m2以上2000m2未満／面積(m2),5221,8904,3113,3587,2834,3567,2372,1348,0,1626
2000m2以上5000m2未満／件数(件),2,0,2,1,3,2,1,1,2,1
2000m2以上5000m2未満／面積(m2),9176,0,6529,2300,8421,4903,3211,4182,6382,2130
5000m2以上10000m2未満／件数(件),0,0,0,0,0,1,0,0,1,0
5000m2以上10000m2未満／面積(m2),0,0,0,0,0,5431,0,0,6940,0
10000m2以上／件数(件),0,0,1,0,0,0,0,1,0,0
10000m2以上／面積(m2),0,0,13680,0,0,0,0,21092,0,0
合計／件数(件),166,293,141,163,123,215,219,265,182,282
合計／面積(m2),23389,29422,33669,19365,22151,31098,26329,40697,21624,19742
