区分,個人／所有者数(人),個人／構成比(%),個人／面積(千m2),個人／構成比(%),法人／所有者数(人),法人／構成比(%),法人／面積(千m2),法人／構成比(%),合計／所有者数(人),合計／構成比(%),合計／面積(千m2),合計／構成比(%)
千代田区／50m2未満,1213,25,44,8,276,8,9,0,1489,18,53,2
千代田区／100m2未満,1925,39,139,24,672,20,50,2,2597,31,189,6
千代田区／150m2未満,810,16,98,17,528,16,65,3,1338,16,163,5
千代田区／200m2未満,380,8,66,11,363,11,63,2,743,9,129,4
千代田区／300m2未満,294,6,72,12,416,12,102,4,710,9,174,6
千代田区／500m2未満,211,4,79,14,416,12,160,6,627,8,239,8
"千代田区／1,000m2未満",94,2,62,11,330,10,230,9,424,5,292,9
"千代田区／2,000m2未満",11,0,14,2,199,6,284,11,210,3,298,10
"千代田区／5,000m2未満",2,0,7,1,118,3,349,14,120,1,356,11
"千代田区／10,000m2未満",0,0,0,0,43,1,306,12,43,1,306,10
"千代田区／10,000m2以上",0,0,0,0,37,1,924,36,37,0,924,30
千代田区／計,4940,100,581,100,3398,100,2543,100,8338,100,3124,100
中央区／50m2未満,3130,40,111,16,431,10,14,1,3561,29,126,4
中央区／100m2未満,2867,37,203,29,989,22,74,3,3856,31,277,9
中央区／150m2未満,933,12,113,16,698,16,85,4,1631,13,198,6
中央区／200m2未満,353,5,61,9,464,10,80,3,817,7,141,5
中央区／300m2未満,308,4,74,10,570,13,139,6,878,7,212,7
中央区／500m2未満,138,2,52,7,543,12,206,9,681,6,258,8
"中央区／1,000m2未満",61,1,39,5,407,9,288,12,468,4,326,10
"中央区／2,000m2未満",10,0,13,2,197,4,269,11,207,2,282,9
"中央区／5,000m2未満",3,0,8,1,100,2,299,12,103,1,307,10
"中央区／10,000m2未満",0,0,0,0,36,1,249,10,36,0,249,8
"中央区／10,000m2以上",3,0,34,5,30,1,699,29,33,0,733,24
中央区／計,7806,100,707,100,4465,100,2402,100,12271,100,3108,100
港区／50m2未満,2027,15,74,4,370,7,11,0,2397,13,85,1
港区／100m2未満,4705,36,343,18,842,16,64,1,5547,30,407,6
港区／150m2未満,2592,20,316,17,760,14,94,2,3352,18,410,6
港区／200m2未満,1436,11,247,13,595,11,104,2,2031,11,351,5
港区／300m2未満,1223,9,295,16,696,13,172,3,1919,10,467,6
港区／500m2未満,779,6,294,16,760,14,294,5,1539,8,588,8
"港区／1,000m2未満",274,2,184,10,638,12,450,8,912,5,634,9
"港区／2,000m2未満",68,1,89,5,337,6,469,9,405,2,557,8
"港区／5,000m2未満",11,0,34,2,223,4,681,13,234,1,716,10
"港区／10,000m2未満",0,0,0,0,99,2,695,13,99,1,695,10
"港区／10,000m2以上",0,0,0,0,79,1,2401,44,79,0,2401,33
港区／計,13115,100,1875,100,5399,100,5434,100,18514,100,7309,100
新宿区／50m2未満,4782,15,172,4,500,9,14,0,5282,14,186,2
新宿区／100m2未満,12217,37,890,19,969,17,74,2,13186,34,964,12
新宿区／150m2未満,6367,19,775,16,866,15,107,3,7233,19,882,11
新宿区／200m2未満,3695,11,637,13,619,11,107,3,4314,11,745,9
新宿区／300m2未満,3096,9,749,16,792,14,193,6,3888,10,942,11
新宿区／500m2未満,1933,6,722,15,801,14,307,9,2734,7,1029,13
"新宿区／1,000m2未満",680,2,448,9,600,11,417,12,1280,3,865,11
"新宿区／2,000m2未満",133,0,176,4,298,5,410,12,431,1,586,7
"新宿区／5,000m2未満",38,0,114,2,166,3,495,14,204,1,609,7
"新宿区／10,000m2未満",9,0,62,1,44,1,302,9,53,0,364,4
"新宿区／10,000m2以上",1,0,11,0,39,1,1048,30,40,0,1059,13
新宿区／計,32951,100,4756,100,5694,100,3474,100,38645,100,8230,100
文京区／50m2未満,4665,18,171,5,289,10,9,1,4954,17,180,4
文京区／100m2未満,10196,39,735,22,491,17,37,2,10687,37,773,16
文京区／150m2未満,4872,19,592,18,443,15,54,3,5315,18,646,13
文京区／200m2未満,2480,10,428,13,361,12,63,4,2841,10,491,10
文京区／300m2未満,2023,8,488,15,399,14,98,6,2422,8,586,12
文京区／500m2未満,1238,5,464,14,398,14,153,9,1636,6,617,12
"文京区／1,000m2未満",409,2,265,8,273,9,186,11,682,2,451,9
"文京区／2,000m2未満",61,0,80,2,151,5,209,12,212,1,289,6
"文京区／5,000m2未満",10,0,27,1,85,3,264,16,95,0,292,6
"文京区／10,000m2未満",3,0,18,1,23,1,151,9,26,0,169,3
