市区町村名,合計面積（千m2）,住宅地区／面積（千m2）,住宅地区／構成比（％）,商業地区／面積（千m2）,商業地区／構成比（％）,工業地区／面積（千m2）,工業地区／構成比（％）,その他／面積（千m2）,その他／構成比（％）,
区部／千代田区,3648 ,477 ,13.1,3171 ,86.9,0 ,0.0,0 ,0.0,
区部／中央区,3963 ,1338 ,33.8,2505 ,63.2,120 ,2.9,0 ,0.0,
区部／港区,9264 ,6098 ,65.8,2952 ,31.9,214 ,2.3,0 ,0.0,
区部／新宿区,9742 ,8411 ,86.3,1180 ,12.1,151 ,1.4,0 ,0.0,
区部／文京区,5883 ,4877 ,82.9,813 ,13.8,194 ,3.3,0 ,0.0,
区部／台東区,4537 ,2037 ,44.9,2500 ,55.1,0 ,0.0,0 ,0.0,
区部／墨田区,6855 ,5208 ,76.0,458 ,6.7,1188 ,17.3,0 ,0.0,
区部／江東区,14876 ,10009 ,67.3,678 ,4.6,4189 ,28.2,0 ,0.0,
区部／品川区,11528 ,9279 ,80.5,802 ,7.0,1447 ,12.5,0 ,0.0,
区部／目黒区,9111 ,8780 ,96.4,330 ,3.6,1 ,0.0,0 ,0.0,
区部／大田区,25027 ,22306 ,89.1,321 ,1.3,2399 ,9.6,0 ,0.0,
区部／世田谷区,34823 ,34637 ,99.5,186 ,0.5,0 ,0.0,0 ,0.0,
区部／渋谷区,8107 ,6860 ,84.6,1246 ,15.4,0 ,0.0,0 ,0.0,
区部／中野区,10065 ,9916 ,98.5,148 ,1.5,0 ,0.0,0 ,0.0,
区部／杉並区,21608 ,21426 ,99.2,183 ,0.8,0 ,0.0,0 ,0.0,
区部／豊島区,7824 ,6879 ,87.9,944 ,12.1,0 ,0.0,0 ,0.0,
区部／北区,9574 ,8700 ,90.9,213 ,2.2,661 ,7.0,0 ,0.0,
区部／荒川区,5403 ,4529 ,83.8,150 ,2.9,723 ,13.4,0 ,0.0,
区部／板橋区,18047 ,16569 ,91.8,158 ,0.9,1320 ,7.3,0 ,0.0,
区部／練馬区,28417 ,28351 ,99.8,66 ,0.2,0 ,0.0,0 ,0.0,
区部／足立区,27487 ,25017 ,91.0,359 ,1.3,2112 ,7.7,0 ,0.0,
区部／葛飾区,16580 ,15579 ,94.0,449 ,2.7,551 ,3.3,0 ,0.0,
区部／江戸川区,23339 ,21814 ,93.5,346 ,1.5,1179 ,4.9,0 ,0.0,
区部計,315705 ,279098 ,88.4,20159 ,6.4,16448 ,5.2,0 ,0.0,
市部／八王子市,37923 ,31452 ,82.9,600 ,1.6,1504 ,4.0,4367 ,11.5,
市部／立川市,10793 ,8946 ,82.9,502 ,4.6,1345 ,12.5,0 ,0.0,
市部／武蔵野市,6301 ,5489 ,87.2,622 ,9.9,190 ,3.0,0 ,0.0,
市部／三鷹市,8614 ,7991 ,92.8,308 ,3.6,310 ,3.6,5 ,0.1,
市部／青梅市,12555 ,10090 ,80.4,154 ,1.2,1232 ,9.8,1078 ,8.6,
市部／府中市,12927 ,10564 ,81.7,298 ,2.3,2066 ,16.1,0 ,0.0,
市部／昭島市,7573 ,5830 ,77.0,465 ,6.1,1277 ,16.9,1 ,0.0,
市部／調布市,10182 ,9641 ,94.7,282 ,2.8,259 ,2.5,0 ,0.0,
市部／町田市,28124 ,26080 ,92.7,694 ,2.5,651 ,2.3,698 ,2.5,
市部／小金井市,5711 ,5532 ,96.9,173 ,3.0,6 ,0.1,0 ,0.0,
市部／小平市,10237 ,9287 ,90.7,254 ,2.5,696 ,6.8,0 ,0.0,
市部／日野市,11167 ,9251 ,82.8,109 ,1.0,1807 ,16.2,0 ,0.0,
市部／東村山市,7666 ,7020 ,91.6,192 ,2.6,454 ,5.9,0 ,0.0,
市部／国分寺市,6348 ,5987 ,94.3,120 ,1.9,241 ,3.7,0 ,0.0,
市部／国立市,4125 ,3756 ,91.0,171 ,4.2,197 ,4.8,1 ,0.0,
市部／福生市,3614 ,3314 ,91.7,185 ,5.1,115 ,3.2,0 ,0.0,
市部／狛江市,3410 ,3134 ,91.9,161 ,4.7,114 ,3.4,0 ,0.0,
市部／東大和市,5145 ,4787 ,93.0,147 ,2.9,211 ,4.1,0 ,0.0,
市部／清瀬市,3576 ,3366 ,94.1,122 ,3.4,89 ,2.5,0 ,0.0,
市部／東久留米市,6653 ,6104 ,91.7,259 ,3.9,235 ,3.5,55 ,0.9,
市部／武蔵村山市,5416 ,4299 ,79.4,333 ,6.2,783 ,14.5,0 ,0.0,
市部／多摩市,8106 ,6927 ,85.5,1179 ,14.5,0 ,0.0,0 ,0.0,
市部／稲城市,4814 ,4542 ,94.4,119 ,2.5,136 ,2.8,17 ,0.3,
市部／羽村市,5432 ,3537 ,65.1,189 ,3.5,1699 ,31.3,8 ,0.2,
市部／あきる野市,8267 ,7002 ,84.7,108 ,1.3,272 ,3.3,885 ,10.7,
市部／西東京市,8804 ,8380 ,95.2,259 ,2.9,165 ,1.9,0 ,0.0,
市部計,243484 ,212308 ,87.2,8004 ,3.3,16056 ,6.6,7115 ,2.9,
西多摩郡／瑞穂町,4906 ,2377 ,48.4,126 ,2.6,1837 ,37.4,567 ,11.5,
西多摩郡／日の出町,2432 ,1339 ,55.1,110 ,4.5,182 ,7.5,800 ,32.9,
西多摩郡／檜原村,427 ,0 ,0.0,0 ,0.0,0 ,0.0,427 ,100.0,
西多摩郡／奥多摩町,860 ,132 ,15.3,0 ,0.0,0 ,0.0,728 ,84.7,
西多摩郡計,8625 ,3847 ,44.6,236 ,2.7,2019 ,23.4,2522 ,29.3,
