区分,個人／所有者数(人),個人／構成比(%),個人／面積(千m2),個人／構成比(%),法人／所有者数(人),法人／構成比(%),法人／面積(千m2),法人／構成比(%),合計／所有者数(人),合計／構成比(%),合計／面積(千m2),合計／構成比(%)
千代田区／50m2未満,1132,24,41,8,263,8,9,0,1395,17,50,1
千代田区／100m2未満,1806,39,131,24,697,21,52,2,2503,31,183,5
千代田区／150m2未満,748,16,91,17,521,15,64,2,1269,16,155,4
千代田区／200m2未満,353,8,61,11,356,11,62,2,709,9,123,3
千代田区／300m2未満,291,6,71,13,406,12,100,3,697,9,171,5
千代田区／500m2未満,196,4,74,14,409,12,158,5,605,8,231,7
千代田区／1000m2未満,90,2,60,11,317,9,219,7,407,5,279,8
千代田区／2000m2未満,8,0,11,2,206,6,294,10,214,3,305,9
千代田区／5000m2未満,1,0,5,1,115,3,343,12,116,1,348,10
千代田区／10000m2未満,0,0,0,0,46,1,312,11,46,1,312,9
千代田区／10000m2以上,0,0,0,0,41,1,1358,46,41,1,1358,39
千代田区／計,4625,100,543,100,3377,100,2971,100,8002,100,3514,100
中央区／50m2未満,2892,40,103,16,452,10,15,1,3344,29,118,4
中央区／100m2未満,2685,37,190,29,969,22,72,3,3654,31,262,9
中央区／150m2未満,887,12,107,16,700,16,85,4,1587,14,192,6
中央区／200m2未満,341,5,59,9,441,10,76,3,782,7,135,4
中央区／300m2未満,290,4,69,10,565,13,138,6,855,7,207,7
中央区／500m2未満,122,2,45,7,524,12,198,8,646,6,244,8
中央区／1000m2未満,58,1,37,6,386,9,271,11,444,4,308,10
中央区／2000m2未満,10,0,13,2,191,4,260,11,201,2,273,9
中央区／5000m2未満,2,0,6,1,96,2,289,12,98,1,295,10
中央区／10000m2未満,0,0,0,0,36,1,244,10,36,0,244,8
中央区／10000m2以上,3,0,33,5,30,1,748,31,33,0,781,26
中央区／計,7290,100,663,100,4390,100,2396,100,11680,100,3059,100
港区／50m2未満,1919,15,70,4,397,7,12,0,2316,13,81,1
港区／100m2未満,4509,36,328,18,862,16,66,1,5371,30,394,5
港区／150m2未満,2497,20,304,17,783,14,97,2,3280,18,401,5
港区／200m2未満,1364,11,235,13,613,11,107,2,1977,11,342,4
港区／300m2未満,1168,9,282,16,708,13,175,3,1876,10,457,6
港区／500m2未満,741,6,280,15,749,14,289,5,1490,8,569,7
港区／1000m2未満,242,2,162,9,645,12,455,8,887,5,617,8
港区／2000m2未満,68,1,89,5,327,6,453,7,395,2,542,7
港区／5000m2未満,8,0,25,1,221,4,672,11,229,1,697,9
港区／10000m2未満,2,0,16,1,100,2,718,12,102,1,733,9
港区／10000m2以上,1,0,23,1,80,1,3014,50,81,0,3037,39
港区／計,12519,100,1814,100,5485,100,6056,100,18004,100,7871,100
新宿区／50m2未満,4740,15,171,4,537,9,15,0,5277,14,186,2
新宿区／100m2未満,12290,38,893,19,1047,17,80,2,13337,35,973,12
新宿区／150m2未満,6239,19,759,16,931,16,115,3,7170,19,873,10
新宿区／200m2未満,3567,11,615,13,651,11,113,3,4218,11,728,9
新宿区／300m2未満,2987,9,723,16,849,14,207,5,3836,10,930,11
新宿区／500m2未満,1854,6,691,15,819,14,315,8,2673,7,1006,12
新宿区／1000m2未満,611,2,404,9,621,10,428,11,1232,3,832,10
新宿区／2000m2未満,138,0,178,4,282,5,392,10,420,1,571,7
