区分,平成９年中,平成10年中,平成11年中,平成12年中,平成13年中,平成14年中,平成15年中,平成16年中,平成17年中,平成18年中,平成19年中,平成20年中,平成21年中,平成22年中,平成23年中,平成24年中,平成25年中,平成26年中,平成27年中,平成28年中,昭和58年1.1～平成29年1.1
100m2未満（千m2）,478,510,555,554,568,589,642,603,828,468,391,458,623,2412,587,643,627,56,467,379,14480
200m2未満（千m2）,540,649,694,709,642,717,727,601,709,413,238,415,526,446,299,270,356,274,225,116,13919
300m2未満（千m2）,83,132,156,127,120,80,93,58,85,-22,-76,47,88,-795,11,-86,-79,290,-89,-143,1704
500m2未満（千m2）,-34,-30,-29,-63,-18,-66,-38,-140,-21,-159,-216,-32,-9,-1026,-113,-181,-158,604,-231,-216,-3024
1000m2未満（千m2）,-196,-162,-153,-172,-153,-99,-191,-193,45,-210,-204,-60,-104,-897,-131,-206,-232,1019,-239,-252,-6285
2000m2未満（千m2）,-209,-201,-192,-181,-173,-141,-114,-195,323,-218,-116,-90,-63,-982,-201,-133,-164,1142,-176,-253,-6368
5000m2未満（千m2）,-597,-255,-271,-376,-207,-427,-290,-401,-607,-452,-238,-174,-178,94,-287,-320,-333,-1087,-475,-273,-13257
10000m2未満（千m2）,-562,-357,-376,-319,-264,-358,-573,-495,-1216,-296,-490,-398,-274,669,-305,-384,-352,-1573,-218,-213,-14007
10000m2以上（千m2）,-221,-478,-565,-315,-384,-500,-349,-410,-1061,-275,-305,-187,-310,262,-256,-296,-179,-1688,-111,-153,-16177
計（千m2）,-719,-192,-181,-36,131,-204,-93,-572,-916,-751,-1017,-20,297,184,-395,-692,-515,-964,-846,-1009,-28006
