区市町村名,合計／平成29年（千m2）,合計／平成28年（千m2）,合計／平成29-28年（千m2）,住宅地区／平成29年（千m2）,住宅地区／平成28年（千m2）,住宅地区／平成29-28年（千m2）,商業地区／平成29年（千m2）,商業地区／平成28年（千m2）,商業地区／平成29-28年（千m2）,工業地区／平成29年（千m2）,工業地区／平成28年（千m2）,工業地区／平成29-28年（千m2）,その他／平成29年（千m2）,その他／平成28年（千m2）,その他／平成29-28年（千m2）
区部／千代田区,3648,3640,8,477,478,-1,3171,3162,8,0,0,0,0,0,0
区部／中央区,3963,3991,-28,1338,1332,5,2505,2539,-33,120,120,0,0,0,0
区部／港区,9264,9198,66,6098,6095,3,2952,2889,63,214,214,0,0,0,0
区部／新宿区,9742,9745,-3,8411,8421,-10,1180,1173,7,151,151,0,0,0,0
区部／文京区,5883,5886,-3,4877,4880,-3,813,811,1,194,195,-1,0,0,0
区部／台東区,4537,4537,-1,2037,2038,-1,2500,2500,0,0,0,0,0,0,0
区部／墨田区,6855,6856,-2,5208,5209,-1,458,457,0,1188,1190,-1,0,0,0
区部／江東区,14876,15016,-140,10009,10007,2,678,635,43,4189,4375,-186,0,0,0
区部／品川区,11528,11351,177,9279,9291,-12,802,796,7,1447,1265,183,0,0,0
区部／目黒区,9111,9111,0,8780,8779,1,330,331,-1,1,1,0,0,0,0
区部／大田区,25027,25036,-9,22306,22311,-4,321,322,0,2399,2403,-4,0,0,0
区部／世田谷区,34823,34795,28,34637,34608,29,186,187,-1,0,0,0,0,0,0
区部／渋谷区,8107,8090,16,6860,6847,14,1246,1243,3,0,0,0,0,0,0
区部／中野区,10065,10066,-2,9916,9918,-2,148,149,0,0,0,0,0,0,0
区部／杉並区,21608,21621,-12,21426,21438,-12,183,183,0,0,0,0,0,0,0
区部／豊島区,7824,7838,-14,6879,6894,-14,944,944,0,0,0,0,0,0,0
区部／北区,9574,9578,-4,8700,8704,-4,213,213,0,661,661,0,0,0,0
区部／荒川区,5403,5418,-15,4529,4544,-15,150,150,0,723,723,0,0,0,0
区部／板橋区,18047,18029,18,16569,16553,16,158,158,1,1320,1319,1,0,0,0
区部／練馬区,28417,28393,24,28351,28327,24,66,66,0,0,0,0,0,0,0
