区分,平成20年,平成21年,平成22年,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年
50m2未満／件数（件）,"1,664","1,122","1,554","1,278","1,541","2,201","2,143","1,989","2,245","2,353"
50m2未満／面積（m2）,"39,746","24,547","32,894","28,897","28,581","38,837","41,460","41,327","46,096","49,486"
50m2以上100m2未満／件数（件）,"1,330",753,"1,009",911,"1,030","1,239","1,368","1,471","1,515","1,564"
50m2以上100m2未満／面積（m2）,"97,313","55,320","73,757","66,375","75,645","89,085","98,888","105,129","109,070","112,553"
100m2以上150m2未満／件数（件）,666,444,614,515,547,582,743,810,736,790
100m2以上150m2未満／面積（m2）,"81,026","54,222","75,342","63,117","66,995","71,118","90,133","97,679","89,079","96,774"
150m2以上200m2未満／件数（件）,320,213,300,316,281,399,400,449,469,498
150m2以上200m2未満／面積（m2）,"55,585","36,649","51,692","54,611","49,030","68,976","68,741","77,328","80,618","86,019"
200m2以上300m2未満／件数（件）,362,229,296,315,290,346,345,378,382,421
200m2以上300m2未満／面積（m2）,"87,478","55,528","71,950","76,731","70,923","84,194","83,869","91,517","92,442","101,632"
300m2以上500m2未満／件数（件）,271,204,261,259,232,248,225,273,262,275
300m2以上500m2未満／面積（m2）,"102,864","76,530","99,358","99,805","87,604","93,111","85,847","103,530","98,747","103,352"
500m2以上1000m2未満／件数（件）,143,107,130,128,98,130,129,111,106,112
500m2以上1000m2未満／面積（m2）,"97,318","76,859","90,304","89,118","67,366","87,291","89,240","77,493","72,948","76,982"
1000m2以上2000m2未満／件数（件）,55,47,63,47,47,45,34,37,35,37
1000m2以上2000m2未満／面積（m2）,"79,941","66,057","90,251","61,733","61,319","61,414","47,490","50,062","50,486","49,174"
2000m2以上5000m2未満／件数（件）,31,11,28,21,9,16,15,13,14,13
2000m2以上5000m2未満／面積（m2）,"94,588","28,966","83,839","65,959","24,451","44,625","38,121","42,848","38,606","33,849"
5000m2以上10000m2未満／件数（件）,16,2,6,10,2,5,3,3,4,1
5000m2以上10000m2未満／面積（m2）,"98,585","13,611","37,299","65,181","14,500","34,538","20,855","20,048","32,808","5,713"
10000m2以上／件数（件）,11,7,40,7,1,3,3,2,2,1
10000m2以上／面積（m2）,"254,474","190,030","544,436","139,556","14,987","38,707","42,366","30,210","33,691","14,988"
合計／件数（件）,"4,869","3,139","4,301","3,807","4,078","5,214","5,408","5,536","5,770","6,065"
合計／面積（m2）,"1,088,912","678,319","1,251,127","811,083","561,401","711,896","707,010","737,171","744,591","730,522"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
