順位,標準地番号,都道府県,標準地の所在地,価　　格,変動率
1,中央－５－２２,東京都,銀座４丁目２番４,55500000,9.9
2,中央－５－４１,東京都,銀座５丁目１０３番１６,47000000,9.3
3,中央－５－２９,東京都,銀座２丁目２番１９外,40600000,9.7
4,中央－５－２３,東京都,銀座７丁目１番２外,40100000,9.6
5,千代田－５－２,東京都,丸の内２丁目２番１外,35700000,2.3
6,新宿－５－３５,東京都,新宿３丁目８０７番１外,34000000,12.6
7,新宿－５－２４,東京都,新宿３丁目３０番１３外,33200000,12.5
8,中央－５－２,東京都,銀座６丁目４番１３外,29100000,16.9
9,中央－５－１８,東京都,銀座４丁目１０３番１外,28100000,8.9
10,千代田－５－２１,東京都,大手町２丁目４番２外,27500000,2.6
