区名,平成25年／件数(件),平成25年／面積(m2),平成26年／件数(件),平成26年／面積(m2),平成27年／件数(件),平成27年／面積(m2),平成28年／件数(件),平成28年／面積(m2),平成29年／件数(件),平成29年／面積(m2),平成30年／件数(件),平成30年／面積(m2),平成31年／件数(件),平成31年／面積(m2),令和2年／件数(件),令和2年／面積(m2),令和3年／件数(件),令和3年／面積(m2),令和4年／件数(件),令和4年／面積(m2)
国等／千代田区,8,496,1,869,4,1629,4,283,8,643,5,1385,9,921,11,2396,14,2013,12,2202
国等／中央区,21,5059,14,1266,4,574,6,1013,1,98,3,1725,58,1522,6,471,4,133,11,31652
国等／港区,26,17581,30,4728,24,1245,90,18041,116,17663,186,28958,41,1507,212,14412,59,6090,40,2343
国等／新宿区,65,9004,69,8460,51,10372,78,9720,73,5236,38,3017,60,2938,41,1705,52,2251,42,2024
国等／文京区,16,1868,17,1745,14,3236,40,1301,25,2638,17,1030,17,2058,19,657,29,1313,15,721
国等／台東区,13,639,7,502,12,1194,17,973,5,383,12,1113,10,925,10,614,12,685,7,762
国等／墨田区,42,1409,62,2372,76,2548,71,2260,111,4062,97,3756,75,6984,85,7390,88,5038,42,1406
国等／江東区,17,882,33,4288,18,22871,33,5228,4,544,5,3750,9,776,10,4244,6,383,4,263
国等／品川区,23,12221,33,4981,48,6297,98,10001,162,12329,115,7784,148,8312,147,8345,112,23999,80,5178
国等／目黒区,54,4038,22,627,55,5037,42,2830,40,3790,46,4384,38,1928,32,2695,28,3141,24,1162
国等／大田区,58,5483,53,5489,104,6218,76,7931,41,4444,53,9508,20,2430,43,5673,41,9952,27,1685
国等／世田谷区,254,27291,240,52430,358,35282,302,38956,381,53384,337,40066,342,60733,325,34079,267,37149,224,42954
国等／渋谷区,21,1529,49,4042,40,8331,37,2041,21,2689,33,5612,14,14736,12,758,16,1399,22,1628
国等／中野区,33,10750,48,4063,121,42236,128,5725,121,10604,79,5762,101,4674,92,4347,108,22161,72,2655
国等／杉並区,56,45235,57,48875,72,72825,67,27915,19,7507,86,11840,53,29124,58,8449,71,10293,16,1309
国等／豊島区,32,8809,31,2090,42,3252,152,9947,190,12470,154,8683,141,8688,119,7033,83,5126,71,4801
国等／北区,52,18928,71,8939,84,36193,180,9810,154,24274,156,9998,116,14543,100,7539,114,4451,58,2222
国等／荒川区,74,6118,88,6966,99,5465,169,24135,159,11288,121,8958,162,9077,146,10000,134,22962,114,9739
国等／板橋区,13,14053,22,5043,53,13896,43,4482,58,8805,61,17579,62,3378,56,5818,28,2911,21,2287
国等／練馬区,351,40447,435,55803,455,54268,394,66403,223,26483,235,42810,229,34544,165,36573,154,19532,232,61456
国等／足立区,135,21278,123,16257,146,25484,113,9723,121,14049,158,51475,130,5071,185,13545,99,10908,115,12170
国等／葛飾区,296,20330,154,16672,308,15265,172,23612,234,22560,241,9193,186,8498,174,21396,132,22539,152,11404
国等／江戸川区,196,11898,222,27877,126,12978,171,7436,250,16577,248,19910,182,12524,170,11176,170,13610,181,16698
国等／合計,1856,285346,1881,284384,2314,386696,2483,289766,2517,262520,2486,298296,2203,235891,2218,209315,1821,228039,1582,218721
合計／千代田区,678,72513,764,78559,745,82679,811,70780,857,74504,797,85650,737,74991,641,54348,565,57862,556,57580
合計／中央区,1031,102972,997,93513,1428,114128,1305,104393,1205,85382,1288,88688,1117,93368,1141,72848,1054,71681,983,95600
合計／港区,1755,274274,1956,267200,1965,246872,1893,299328,1813,254556,1759,248302,1605,169290,1486,172771,1303,171288,1473,163601
合計／新宿区,2572,228632,2826,238439,2532,250700,2791,257397,2746,242783,2801,244324,2849,226277,2376,203891,2657,205486,2816,220194
