区市名,所有者数／個人(人),所有者数／法人(人),所有者数／計(人),面積／個人(千ｍ2),面積／法人(千ｍ2),面積／計(千ｍ2),所有者数構成比／個人(%),所有者数構成比／法人(%),面積構成比／個人(%),面積構成比／法人(%)
区部／千代田区,4625,3377,8002,543,2971,3514,57.8,42.2,15.4,84.6
区部／中央区,7290,4390,11680,663,2396,3059,62.4,37.6,21.7,78.3
区部／港区,12519,5485,18004,1814,6056,7871,69.5,30.5,23.1,76.9
区部／新宿区,32471,5991,38462,4612,3842,8453,84.4,15.6,54.6,45.4
区部／文京区,25870,3020,28890,3214,1762,4976,89.5,10.5,64.6,35.4
区部／台東区,21865,4859,26724,2301,1961,4262,81.8,18.2,54,46
区部／墨田区,29539,3734,33273,3758,2402,6160,88.8,11.2,61,39
区部／江東区,30224,4502,34726,3771,9179,12950,87,13,29.1,70.9
区部／品川区,41848,3999,45847,5619,6148,11767,91.3,8.7,47.8,52.2
区部／目黒区,36936,3198,40134,6016,2158,8174,92,8,73.6,26.4
区部／大田区,92756,7184,99940,15486,7694,23180,92.8,7.2,66.8,33.2
区部／世田谷区,135423,7144,142567,26068,6743,32811,95,5,79.4,20.6
区部／渋谷区,23671,4985,28656,3725,3276,7000,82.6,17.4,53.2,46.8
区部／中野区,48193,3645,51838,7394,1956,9350,93,7,79.1,20.9
区部／杉並区,96802,4703,101505,17488,3210,20698,95.4,4.6,84.5,15.5
区部／豊島区,35338,3956,39294,5097,2229,7326,89.9,10.1,69.6,30.4
区部／北区,40806,3002,43808,5843,3629,9472,93.1,6.9,61.7,38.3
区部／荒川区,24889,2348,27237,3367,1805,5171,91.4,8.6,65.1,34.9
区部／板橋区,65262,4577,69839,11480,4687,16167,93.4,6.6,71,29
区部／練馬区,125638,4600,130238,25212,3626,28838,96.5,3.5,87.4,12.6
区部／足立区,105838,5791,111629,20477,6191,26668,94.8,5.2,76.8,23.2
区部／葛飾区,74611,4087,78698,12802,3363,16165,94.8,5.2,79.2,20.8
区部／江戸川区,98462,5057,103519,17274,5044,22318,95.1,4.9,77.4,22.6
区部／区部計,1210876,103634,1314510,204023,92329,296353,92.1,7.9,68.8,31.2
市部／八王子市,124381,4442,128823,62807,27570,90376,96.6,3.4,69.5,30.5
市部／立川市,33430,1695,35125,10384,3521,13905,95.2,4.8,74.7,25.3
市部／武蔵野市,22465,1095,23560,5403,1380,6783,95.4,4.6,79.7,20.3
市部／三鷹市,33837,1161,34998,8814,1371,10185,96.7,3.3,86.5,13.5
市部／青梅市,36739,1296,38035,41290,19086,60376,96.6,3.4,68.4,31.6
市部／府中市,46170,1561,47731,11092,4050,15142,96.7,3.3,73.3,26.7
市部／昭島市,21228,839,22067,5228,2460,7688,96.2,3.8,68,32
市部／調布市,39089,1409,40498,9877,2074,11951,96.5,3.5,82.6,17.4
市部／町田市,103377,3024,106401,34315,7423,41738,97.2,2.8,82.2,17.8
市部／小金井市,24684,734,25418,5761,903,6664,97.1,2.9,86.4,13.6
市部／小平市,49832,1812,51644,10429,2692,13121,96.5,3.5,79.5,20.5
市部／日野市,42141,1207,43348,11110,3288,14399,97.2,2.8,77.2,22.8
市部／東村山市,34225,962,35187,8534,1370,9904,97.3,2.7,86.2,13.8
市部／国分寺市,27966,1023,28989,6693,1362,8055,96.5,3.5,83.1,16.9
市部／国立市,13648,663,14311,3917,849,4766,95.4,4.6,82.2,17.8
市部／福生市,10927,446,11373,3234,669,3903,96.1,3.9,82.9,17.1
市部／狛江市,18354,694,19048,3563,422,3986,96.4,3.6,89.4,10.6
市部／東大和市,18648,546,19194,5206,848,6054,97.2,2.8,86,14
市部／清瀬市,14899,350,15249,5082,805,5887,97.7,2.3,86.3,13.7
市部／東久留米市,38188,1125,39313,7159,1258,8417,97.1,2.9,85.1,14.9
市部／武蔵村山市,20015,643,20658,7162,1684,8846,96.9,3.1,81,19
市部／多摩市,41049,937,41986,6705,3456,10161,97.8,2.2,66,34
市部／稲城市,15018,533,15551,5871,3444,9315,96.6,3.4,63,37
市部／羽村市,13036,433,13469,4119,1961,6080,96.8,3.2,67.8,32.2
市部／あきる野市,28116,795,28911,30754,6841,37596,97.3,2.7,81.8,18.2
市部／西東京市,57171,3583,60754,9079,1393,10471,94.1,5.9,86.7,13.3
市部／市部計,928633,33008,961641,323588,102180,425768,96.6,3.4,76,24
区部・市部計,2139509,136642,2276151,527611,194509,722121,94,6,73.1,26.9
