区市町村名,令和2年-平成31年計／床面積(千m2),令和2年-平成31年計／増減率(%),令和2年-平成31年住宅・アパート／床面積(千m2),令和2年-平成31年住宅・アパート／増減率(%),令和2年-平成31年事務所・店舗等／床面積(千m2),令和2年-平成31年事務所・店舗等／増減率(%),令和2年-平成31年工場・倉庫／床面積(千m2),令和2年-平成31年工場・倉庫／増減率(%),令和2年-平成31年その他／床面積(千m2),令和2年-平成31年その他／増減率(%)
区部／千代田区,805,3.3,92,2.2,644,3.5,33,15,36,2.4
区部／中央区,408,1.8,105,1.4,221,1.6,-3,-0.7,85,9.3
区部／港区,141,0.4,123,0.8,21,0.1,-12,-1.6,9,0.5
区部／新宿区,102,0.4,60,0.4,19,0.2,-11,-2.7,34,2.9
区部／文京区,33,0.3,74,0.8,-17,-0.6,-22,-8.6,-2,-0.6
区部／台東区,181,1.3,116,1.3,11,0.3,-10,-2.7,65,7.8
区部／墨田区,29,0.2,59,0.6,-7,-0.3,-26,-2.8,2,0.7
区部／江東区,122,0.4,145,0.8,-14,-0.2,-10,-0.2,0,0
区部／品川区,302,1.3,289,2,33,0.5,-25,-1.4,5,0.8
区部／目黒区,28,0.2,54,0.5,-24,-1.4,-1,-0.8,-1,-0.5
区部／大田区,289,0.8,159,0.6,25,0.6,114,2.4,-9,-0.7
区部／世田谷区,246,0.6,235,0.7,4,0.1,4,0.8,3,0.8
区部／渋谷区,119,0.6,122,1,2,0,-3,-1.8,-1,-0.2
区部／中野区,102,0.7,103,0.9,2,0.1,-1,-1.2,-2,-1
区部／杉並区,100,0.4,102,0.5,2,0.1,1,0.3,-5,-1.8
区部／豊島区,79,0.5,58,0.5,17,0.4,-1,-0.6,5,0.8
区部／北区,150,1.1,144,1.2,16,1.2,-19,-2.4,10,3.3
区部／荒川区,27,0.3,59,0.8,1,0.1,-11,-2.1,-23,-8.6
区部／板橋区,120,0.5,132,0.7,-1,0,3,0.2,-15,-3.4
区部／練馬区,303,1.1,298,1.2,15,1,-1,-0.1,-9,-2.4
区部／足立区,145,0.5,165,0.7,1,0.1,-18,-0.8,-3,-0.4
区部／葛飾区,56,0.3,74,0.5,3,0.3,-12,-1.5,-9,-2.9
区部／江戸川区,120,0.5,163,0.7,-25,-1.3,0,0,-18,-4.2
区部／区部計,4009,0.8,2933,0.8,949,0.8,-32,-0.1,159,1.1
市部／八王子市,159,0.6,169,0.8,-8,-0.3,6,0.2,-8,-1.2
市部／立川市,20,0.2,33,0.5,-8,-0.4,-6,-0.8,2,0.5
市部／武蔵野市,33,0.5,20,0.4,4,0.3,12,8.7,-3,-2.1
市部／三鷹市,66,0.9,57,0.9,8,1.1,-1,-0.3,2,1.1
市部／青梅市,29,0.4,31,0.6,-2,-0.3,1,0.1,-2,-0.5
市部／府中市,97,0.8,67,0.8,-11,-0.7,43,4.2,-2,-0.3
市部／昭島市,42,0.8,49,1.3,7,1.1,-13,-1.5,0,0
市部／調布市,41,0.4,176,2.3,-7,-0.7,74,19.2,-201,-57.2
市部／町田市,138,0.7,154,1,-15,-0.8,7,0.8,-7,-0.9
市部／小金井市,48,1,40,1,3,1,0,-0.7,4,2.4
市部／小平市,59,0.8,53,0.8,2,0.3,5,1.4,-1,-1.4
市部／日野市,83,1,82,1.2,1,0.1,1,0.1,0,-0.1
市部／東村山市,87,1.5,66,1.3,4,0.9,16,5.1,1,0.8
市部／国分寺市,61,1.2,44,1,18,3.5,-1,-0.4,0,0.1
市部／国立市,20,0.6,18,0.6,3,0.9,1,0.7,-1,-0.9
市部／福生市,1,0,5,0.2,-2,-0.9,-1,-0.8,0,-0.9
市部／狛江市,31,1,30,1.1,-1,-0.6,0,0.9,1,1.6
市部／東大和市,12,0.3,26,0.9,-14,-4.3,1,0.3,-1,-1.2
市部／清瀬市,17,0.6,-1,0,-36,-20.5,-1,-1.9,55,66.2
市部／東久留米市,59,1.3,34,0.9,20,4.4,1,0.4,4,1.7
市部／武蔵村山市,22,0.7,28,1.2,1,0.2,-6,-1.1,-1,-1
市部／多摩市,67,0.9,31,0.6,24,1.6,3,1.2,10,2.4
市部／稲城市,43,1.2,35,1.1,9,2.8,-1,-0.2,0,-0.3
市部／羽村市,10,0.3,9,0.5,-1,-0.4,3,0.3,-1,-0.9
市部／あきる野市,35,0.9,26,0.8,3,1,0,-0.1,7,2.6
市部／西東京市,117,1.5,109,1.6,8,1.3,0,-0.2,0,0
市部／市部計,1398,0.8,1391,1,8,0,141,1.1,-142,-2.4
西多摩郡／瑞穂町,3,0.1,5,0.4,-4,-1.2,4,0.5,-2,-1.7
西多摩郡／日の出町,9,0.9,4,0.6,1,0.4,5,3.6,0,-0.3
西多摩郡／檜原村,0,-0.2,0,-0.3,0,-0.6,0,2.3,0,-0.5
西多摩郡／奥多摩町,-4,-1,-3,-1,0,-2.1,0,0,-1,-1.2
西多摩郡／西多摩郡計,8,0.2,5,0.2,-4,-0.7,9,0.9,-3,-1.1
多摩地域計,1406,0.7,1395,0.9,5,0,151,1.1,-146,-2.3
区部・多摩計,5415,0.8,4329,0.9,954,0.7,119,0.3,13,0.1
