区市名,平成5年（千m2）,平成10年（千m2）,平成15年（千m2）,平成18年（千m2）,平成19年（千m2）,平成20年（千m2）,平成2１年（千m2）,平成22年（千m2）,平成23年（千m2）,平成24年（千m2）,平成25年（千m2）,平成26年（千m2）,平成27年（千m2）,平成28年（千m2）,平成29年（千m2）,平成30年（千m2）
目黒区,45,37,32,32,31,26,26,26,26,26,26,26,26,26,21,21
大田区,30,30,30,26,26,26,26,26,26,23,23,23,23,23,23,19
世田谷区,1478,1258,1198,1154,1136,1101,1063,1046,1020,1003,985,969,954,911,911,876
中野区,55,39,30,28,28,27,26,26,24,24,24,23,24,24,24,18
杉並区,486,439,422,407,399,389,389,385,380,371,367,361,353,347,343,337
北区,6,6,6,6,6,5,5,4,4,3,3,3,3,3,3,3
板橋区,148,136,114,107,110,107,109,112,109,111,110,108,109,108,108,98
練馬区,2499,2352,2231,2179,2130,2098,2057,2022,2008,1990,1951,1926,1894,1871,1854,1815
足立区,412,388,402,395,391,387,385,375,369,366,355,341,334,332,332,322
葛飾区,320,317,314,305,304,304,303,302,302,296,289,288,280,269,261,261
江戸川区,449,454,449,438,424,414,401,400,392,391,385,384,381,369,369,357
区部計,5928,5457,5228,5075,4983,4883,4788,4723,4660,4604,4516,4451,4379,4282,4249,4129
八王子市,2995,2878,2730,2721,2694,2656,2625,2597,2560,2533,2509,2476,2449,2425,2388,2344
立川市,2494,2435,2381,2314,2311,2289,2272,2264,2226,2190,2160,2118,2102,2067,2032,2021
武蔵野市,335,324,319,308,308,304,299,298,293,292,290,277,278,277,266,254
三鷹市,1905,1830,1692,1637,1608,1591,1573,1548,1532,1522,1513,1467,1435,1411,1382,1359
青梅市,1743,1682,1561,1520,1505,1484,1468,1457,1464,1459,1436,1411,1373,1343,1333,1310
府中市,1318,1271,1184,1153,1140,1137,1123,1092,1075,1056,1053,1031,1017,1009,1001,985
昭島市,577,565,541,550,545,541,539,528,517,515,510,499,491,487,474,472
調布市,1713,1646,1525,1463,1434,1409,1378,1365,1347,1325,1301,1297,1269,1257,1257,1187
町田市,3238,3106,2915,2781,2729,2679,2633,2597,2558,2518,2457,2414,2369,2321,2259,2214
小金井市,864,820,775,750,744,730,714,703,679,668,663,661,660,651,628,621
小平市,2374,2258,2132,2093,2065,2031,1999,1979,1964,1920,1888,1833,1744,1729,1692,1657
日野市,1331,1306,1390,1363,1341,1330,1321,1276,1246,1231,1224,1202,1187,1166,1166,1131
東村山市,1666,1608,1534,1505,1489,1473,1456,1424,1423,1416,1407,1385,1362,1338,1338,1294
国分寺市,1504,1433,1389,1360,1348,1344,1335,1331,1328,1308,1313,1305,1297,1299,1276,1250
国立市,581,544,489,516,513,515,510,511,501,486,483,476,474,467,467,449
福生市,84,83,78,77,77,76,76,75,73,77,77,68,68,65,63,63
狛江市,483,463,418,404,393,387,382,367,358,351,342,336,332,316,312,311
東大和市,631,590,551,535,531,523,514,505,497,487,477,473,466,466,457,446
清瀬市,2118,2091,2025,1985,1955,1935,1932,1909,1894,1877,1855,1826,1797,1773,1742,1709
東久留米市,1932,1847,1748,1709,1671,1645,1640,1623,1608,1580,1560,1513,1488,1466,1444,1396
武蔵村山市,1120,1090,1056,1080,1067,1058,1045,1037,1032,1020,1019,996,988,972,945,927
多摩市,291,304,291,307,300,297,294,292,290,289,285,283,285,284,281,280
稲城市,975,1253,1186,1226,1222,1236,1237,1237,1230,1213,1188,1184,1147,1135,1123,1048
羽村市,390,385,360,366,367,366,360,352,344,339,339,335,329,326,323,320
あきる野市,446,837,804,787,773,761,752,761,739,731,718,714,711,698,685,665
西東京市,1690,1597,1497,1453,1437,1412,1388,1371,1346,1325,1296,1269,1249,1222,1182,1158
市部計,34798,34246,32571,31961,31565,31206,30866,30498,30124,29728,29366,28851,28367,27968,27514,26871
区部・市部計,40726,39703,37799,37035,36549,36090,35654,35221,34784,34332,33882,33301,32746,32250,31763,31000
