区市町村名,宅地面積A(千m2),建物延床面積B(千m2),概算容積率C＝B/A×100(%),指定平均容積率D(%),充足率E＝C/D×100(%)
区部／千代田区,3655,24949,682.6,561.8,121.5
区部／中央区,3934,23251,591,571,103.5
区部／港区,9315,37992,407.8,408.5,99.8
区部／新宿区,9879,26149,264.7,387.2,68.4
区部／文京区,5876,12746,216.9,338,64.2
区部／台東区,4535,13981,308.3,484.8,63.6
区部／墨田区,6849,13904,203,325.7,62.3
区部／江東区,14612,30960,211.9,288.3,73.5
区部／品川区,10643,23637,222.1,278.5,79.7
区部／目黒区,9121,13573,148.8,207.4,71.8
区部／大田区,24764,36582,147.7,217.1,68
区部／世田谷区,34841,38554,110.7,169.1,65.4
区部／渋谷区,8122,20520,252.6,327.8,77.1
区部／中野区,10079,13707,136,216.6,62.8
区部／杉並区,21644,23025,106.4,155.9,68.2
区部／豊島区,7801,16154,207.1,354.6,58.4
区部／北区,9559,14313,149.7,253,59.2
区部／荒川区,5382,9211,171.1,325.8,52.5
区部／板橋区,18068,23431,129.7,235.6,55
区部／練馬区,28502,27891,97.9,164.5,59.5
区部／足立区,27346,27694,101.3,242.6,41.7
区部／葛飾区,16589,17909,108,212.6,50.8
区部／江戸川区,23117,26525,114.7,234.4,49
区部／区部計,314232,516656,164.4,257.1,64
市部／八王子市,38568,27893,72.3,126.1,57.4
市部／立川市,10868,9033,83.1,165.3,50.3
市部／武蔵野市,6325,7263,114.8,165.1,69.5
市部／三鷹市,8705,7535,86.6,127.7,67.8
市部／青梅市,12670,6919,54.6,147.6,37
市部／府中市,13007,11905,91.5,158.8,57.6
市部／昭島市,7581,5490,72.4,156.8,46.2
市部／調布市,10260,9558,93.2,137.3,67.8
市部／町田市,28475,19101,67.1,116.7,57.5
市部／小金井市,5778,4797,83,126,65.9
市部／小平市,10323,7666,74.3,131.3,56.6
市部／日野市,11336,8536,75.3,132.9,56.7
市部／東村山市,7778,5904,75.9,127.4,59.6
市部／国分寺市,6424,5347,83.2,128.6,64.7
市部／国立市,4138,3393,82,158,51.9
市部／福生市,3625,2485,68.6,164.8,41.6
市部／狛江市,3450,3126,90.6,126.9,71.4
市部／東大和市,5195,3494,67.3,105.9,63.5
市部／清瀬市,3678,2716,73.8,144.8,51
市部／東久留米市,6744,4737,70.2,128.5,54.7
市部／武蔵村山市,5456,3323,60.9,113.8,53.5
市部／多摩市,8168,7334,89.8,172.3,52.1
市部／稲城市,4958,3748,75.6,118.7,63.7
市部／羽村市,5461,3180,58.2,172.2,33.8
市部／あきる野市,8372,3870,46.2,115.3,40.1
市部／西東京市,8901,7868,88.4,140.9,62.7
市部／市部計,246243,186223,75.6,135.1,56
西多摩郡／瑞穂町,5010,2416,48.2,113.2,42.6
西多摩郡／日の出町,2481,1022,41.2,117.9,34.9
西多摩郡／檜原村,427,193,45.3,,・・・
西多摩郡／奥多摩町,857,389,45.3,,・・・
西多摩郡／西多摩郡計,8774,4020,45.8,114.3,40.1
多摩地域計,255016,190243,74.6,134.5,55.5
区部・多摩計,569248,706900,124.2,198.6,62.5
