区市町村名,平成30年-平成29年計／床面積（千m2）,平成30年-平成29年計／増減率（%）,平成30年-平成29年住宅・アパート／床面積（千m2）,平成30年-平成29年住宅・アパート／増減率（%）,平成30年-平成29年事務所・店舗等／床面積（千m2）,平成30年-平成29年事務所・店舗等／増減率（%）,平成30年-平成29年工場・倉庫／床面積（千m2）,平成30年-平成29年工場・倉庫／増減率（%）,平成30年-平成29年その他／床面積（千m2）,平成30年-平成29年その他／増減率（%）
区部／千代田区,280,1.2,21,0.5,244,1.4,-2,-0.9,17,1.1
区部／中央区,335,1.5,315,4.5,-12,-0.1,-3,-0.5,34,4.0
区部／港区,377,1.0,135,0.9,224,1.2,-12,-1.5,30,1.6
区部／新宿区,238,0.9,203,1.4,6,0.1,-11,-2.5,40,3.5
区部／文京区,44,0.4,56,0.6,-12,-0.5,-6,-2.3,7,2.1
区部／台東区,56,0.4,56,0.6,11,0.3,-7,-1.9,-3,-0.4
区部／墨田区,102,0.7,99,1.0,-8,-0.4,-13,-1.3,23,9.0
区部／江東区,510,1.7,279,1.6,-52,-0.8,239,4.4,44,6.4
区部／品川区,38,0.2,81,0.6,-31,-0.5,-27,-1.5,16,2.6
区部／目黒区,128,1.0,116,1.0,7,0.4,1,0.5,4,2.3
区部／大田区,475,1.3,288,1.1,10,0.2,140,3.0,36,3.2
区部／世田谷区,282,0.7,282,0.8,11,0.4,-12,-2.3,1,0.2
区部／渋谷区,204,1.0,49,0.4,129,1.7,4,2.2,21,3.8
区部／中野区,105,0.8,89,0.8,4,0.3,-1,-1.2,14,9.7
区部／杉並区,145,0.6,159,0.8,-11,-0.7,-2,-0.7,-2,-0.6
区部／豊島区,19,0.1,25,0.2,-7,-0.2,-4,-1.8,5,0.8
区部／北区,112,0.8,95,0.8,29,2.3,-6,-0.8,-6,-1.8
区部／荒川区,55,0.6,57,0.7,2,0.3,-7,-1.4,3,1.0
区部／板橋区,147,0.6,166,0.9,5,0.3,-28,-1.6,5,1.2
区部／練馬区,232,0.9,227,0.9,5,0.3,-7,-1.4,8,2.0
区部／足立区,238,0.9,200,0.9,42,2.1,1,0.0,-4,-0.5
区部／葛飾区,125,0.7,108,0.7,5,0.4,-8,-0.9,20,7.1
区部／江戸川区,193,0.7,193,0.9,13,0.7,-15,-0.9,3,0.8
区部／区部計,4441,0.9,3299,0.9,614,0.5,213,0.8,316,2.2
市部／八王子市,199,0.7,24,0.1,131,4.4,39,1.5,5,0.8
市部／立川市,95,1.1,85,1.5,2,0.1,7,0.9,0,0.2
市部／武蔵野市,18,0.3,20,0.4,1,0.0,-2,-1.6,-1,-0.6
市部／三鷹市,28,0.4,46,0.8,-11,-1.5,-6,-1.6,-2,-1.2
市部／青梅市,-54,-0.8,41,0.8,-44,-6.9,-51,-6.0,0,-0.1
市部／府中市,115,1.0,67,0.8,51,3.3,-4,-0.3,0,0.1
市部／昭島市,41,0.8,45,1.2,-2,-0.3,-1,-0.1,0,-0.1
市部／調布市,72,0.8,34,0.4,34,3.5,-3,-0.6,6,1.9
市部／町田市,116,0.6,125,0.8,-21,-1.1,7,0.9,4,0.6
市部／小金井市,32,0.7,29,0.7,2,0.6,1,1.7,1,0.3
市部／小平市,-47,-0.6,95,1.5,8,1.2,-150,-29.1,-1,-1.3
市部／日野市,66,0.8,67,1.0,-14,-1.8,6,0.6,7,3.4
市部／東村山市,92,1.6,88,1.8,-9,-2.2,13,4.4,0,-0.2
市部／国分寺市,39,0.8,41,1.0,-21,-4.0,0,-0.3,19,23.5
市部／国立市,36,1.1,31,1.1,5,1.4,0,-0.1,1,0.4
市部／福生市,11,0.5,17,0.9,0,-0.1,-4,-2.7,-1,-2.4
市部／狛江市,57,1.9,35,1.3,22,12.6,0,-0.6,-1,-1.2
市部／東大和市,26,0.8,27,1.0,1,0.5,-2,-0.7,0,-0.1
市部／清瀬市,31,1.2,34,1.5,0,0.1,0,-0.2,-3,-3.5
市部／東久留米市,48,1.0,45,1.2,2,0.4,1,0.7,0,0.1
市部／武蔵村山市,40,1.2,43,1.9,-2,-0.6,2,0.4,-3,-2.5
市部／多摩市,55,0.8,65,1.3,-15,-1.0,1,0.3,3,0.8
市部／稲城市,61,1.7,38,1.3,4,1.3,20,8.1,-1,-1.8
市部／羽村市,15,0.5,15,0.8,-1,-0.3,2,0.2,-1,-1.8
市部／あきる野市,-4,-0.1,30,1.0,-10,-3.4,-23,-9.3,-1,-0.3
市部／西東京市,65,0.9,74,1.1,-4,-0.6,-4,-2.2,-2,-1.0
市部／市部計,1252,0.7,1262,0.9,112,0.5,-151,-1.2,30,0.5
西多摩郡／瑞穂町,17,0.7,14,1.2,0,0.2,3,0.3,-1,-0.5
西多摩郡／日の出町,7,0.7,7,1.2,1,0.4,0,0.0,-1,-1.5
西多摩郡／檜原村,0,-0.1,0,-0.1,0,1.7,0,0.0,0,-0.5
西多摩郡／奥多摩町,-3,-0.7,-1,-0.5,0,0.7,-1,-4.0,0,-0.6
西多摩郡／西多摩郡計,20,0.5,20,0.9,1,0.3,2,0.2,-2,-0.8
多摩地域計,1273,0.7,1282,0.9,113,0.5,-149,-1.1,27,0.4
区部・多摩計,5714,0.8,4581,0.9,727,0.5,64,0.2,343,1.7
