年,合計,宅地（ha）,宅地／構成比（％）,農地（ha）,農地／構成比（％）,山林（ha）,山林／構成比（％）,その他（ha）,その他／構成比（％）,,,,
昭30,67094 ,6822 ,10.2,25854 ,38.5,33823 ,50.4,595 ,0.9,,,,
昭35,67560 ,8336 ,12.3,24595 ,36.4,33888 ,50.2,741 ,1.1,,,,
昭40,67933 ,11133 ,16.4,21219 ,31.2,33785 ,49.7,1796 ,2.6,,,,
昭45,67737 ,14163 ,20.9,16892 ,24.9,30913 ,45.6,5769 ,8.5,,,,
昭50,65543 ,17771 ,27.1,12734 ,19.4,29503 ,45.0,5536 ,8.4,,,,
昭55,63148 ,19051 ,30.2,11044 ,17.5,27732 ,43.9,5321 ,8.4,,,,
昭60,61353 ,19987 ,32.6,10241 ,16.7,26195 ,42.7,4931 ,8.0,,,,
平2,60513 ,21051 ,34.8,9266 ,15.3,25171 ,41.6,5024 ,8.3,,,,
平7,59187 ,22237 ,37.6,8136 ,13.7,25081 ,42.4,3733 ,6.3,,,,
平8,59034 ,22398 ,37.9,7968 ,13.5,24979 ,42.3,3688 ,6.3,,,,
平9,58841 ,22560 ,38.4,7784 ,13.2,24788 ,42.1,3709 ,6.3,,,,
平10,58643 ,22736 ,38.8,7667 ,13.1,24617 ,42.0,3624 ,6.1,,,,
平11,58539 ,22857 ,39.0,7546 ,12.9,24553 ,42.0,3583 ,6.1,,,,
平12,58351 ,23025 ,39.5,7386 ,12.7,24400 ,41.8,3541 ,6.1,,,,
平13,58284 ,23142 ,39.7,7267 ,12.5,24360 ,41.8,3515 ,6.0,,,,
平14,58129 ,23265 ,40.0,7153 ,12.3,24203 ,41.6,3508 ,6.0,,,,
平15,57953 ,23352 ,40.3,7016 ,12.1,23986 ,41.4,3599 ,6.2,,,,
平16,57747 ,23580 ,40.8,6903 ,12.0,23711 ,41.1,3553 ,6.2,,,,
平17,57601 ,23770 ,41.3,6796 ,11.8,23557 ,40.9,3478 ,6.0,,,,
平18,57479 ,23973 ,41.7,6666 ,11.6,21965 ,38.2,4875 ,8.5,,,,
平19,57369 ,24146 ,42.1,6533 ,11.4,21879 ,38.1,4811 ,8.4,,,,
平20,57109 ,24323 ,42.6,6438 ,11.3,21591 ,37.8,4757 ,8.3,,,,
平21,56972 ,24443 ,42.9,6346 ,11.1,20978 ,36.8,5206 ,9.2,,,,
平22,56908 ,24531 ,43.1,6279 ,11.0,20929 ,36.8,5169 ,9.1,,,,
平23,56863 ,24628 ,43.3,6199 ,10.9,20897 ,36.8,5139 ,9.0,,,,
平24,56776 ,24719 ,43.5,6114 ,10.8,20816 ,36.7,5127 ,9.0,,,,
平25,56714 ,24806 ,43.7,6040 ,10.6,20809 ,36.7,5059 ,8.9,,,,
平26,56683 ,24904 ,43.9,5956 ,10.5,20759 ,36.6,5064 ,8.9,,,,
平27,56595 ,25015 ,44.2,5873 ,10.4,20665 ,36.5,5042 ,8.9,,,,
平28,56418 ,25115 ,44.5,5790 ,10.3,20531 ,36.4,4981 ,8.8,,,,
平29,56317 ,25217 ,44.7,5701 ,10.1,20441 ,36.2,4958 ,8.8,,,,
