区市町村名,合計／令和2年(千m2),合計／平成31年(千m2),合計／令和2年-平成31年(千m2),住宅地区／令和2年(千m2),住宅地区／平成31年(千m2),住宅地区／令和2年-平成31年(千m2),商業地区／令和2年(千m2),商業地区／平成31年(千m2),商業地区／令和2年-平成31年(千m2),工業地区／令和2年(千m2),工業地区／平成31年(千m2),工業地区／令和2年-平成31年(千m2),その他／令和2年(千m2),その他／平成31年(千m2),その他／令和2年-平成31年(千m2)
区部／千代田区,3655,3652,4,495,488,7,3161,3164,-3,0,0,0,0,0,0
区部／中央区,3934,3935,-1,1340,1340,0,2479,2481,-1,115,115,0,0,0,0
区部／港区,9315,9323,-7,6084,6099,-15,3019,3011,8,213,213,0,0,0,0
区部／新宿区,9879,9888,-9,8590,8599,-9,1197,1197,0,91,91,0,0,0,0
区部／文京区,5876,5880,-4,5092,5095,-3,734,735,-1,50,50,0,0,0,0
区部／台東区,4535,4536,-1,2035,2036,-1,2499,2499,0,0,0,0,0,0,0
区部／墨田区,6849,6849,1,5211,5211,0,461,459,1,1178,1178,0,0,0,0
区部／江東区,14612,14952,-340,10042,10068,-26,711,685,26,3859,4199,-339,0,0,0
区部／品川区,10643,11519,-876,9369,9373,-5,799,799,0,475,1346,-871,0,0,0
区部／目黒区,9121,9128,-7,8790,8796,-7,331,331,0,0,0,0,0,0,0
区部／大田区,24764,25029,-266,22406,22412,-6,315,315,0,2043,2302,-259,0,0,0
区部／世田谷区,34841,34836,6,34622,34620,3,219,216,3,0,0,0,0,0,0
区部／渋谷区,8122,8118,4,6855,6855,0,1267,1263,4,0,0,0,0,0,0
区部／中野区,10079,10076,2,9903,9899,4,176,177,-1,0,0,0,0,0,0
区部／杉並区,21644,21626,18,21461,21443,18,183,183,0,0,0,0,0,0,0
区部／豊島区,7801,7796,5,6855,6849,5,946,946,0,0,0,0,0,0,0
区部／北区,9559,9562,-3,8741,8765,-24,204,203,0,615,594,21,0,0,0
区部／荒川区,5382,5391,-9,4505,4514,-9,160,160,0,717,717,0,0,0,0
区部／板橋区,18068,18065,3,16590,16586,3,157,158,0,1321,1321,0,0,0,0
区部／練馬区,28502,28470,31,28431,28400,31,71,71,0,0,0,0,0,0,0
区部／足立区,27346,27335,10,25075,25065,10,355,354,0,1916,1915,0,0,0,0
区部／葛飾区,16589,16588,2,15629,15627,2,410,410,0,550,550,0,0,0,0
区部／江戸川区,23117,23334,-217,21933,21935,-2,340,338,1,844,1061,-217,0,0,0
区部計,314232,315885,-1653,280052,280077,-25,20195,20157,38,13985,15651,-1666,0,0,0
市部／八王子市,38568,38413,155,31978,31852,127,596,594,2,1509,1467,42,4484,4500,-16
市部／立川市,10868,10833,35,9061,9026,35,710,710,0,1097,1097,0,0,0,0
市部／武蔵野市,6325,6318,7,5535,5528,7,613,613,0,177,177,0,0,0,0
市部／三鷹市,8705,8672,32,8091,8059,32,310,310,1,296,296,0,7,7,0
市部／青梅市,12670,12629,41,10204,10163,41,183,183,0,1207,1207,0,1076,1076,0
市部／府中市,13007,12972,35,10633,10602,31,299,299,0,2075,2071,4,0,0,0
市部／昭島市,7581,7629,-48,5915,5910,5,511,511,0,1155,1208,-53,0,0,0
市部／調布市,10260,10225,35,9714,9683,31,302,297,4,245,245,0,0,1,-1
市部／町田市,28475,28365,110,26512,26398,113,684,681,2,579,578,0,700,707,-6
市部／小金井市,5778,5753,25,5584,5574,10,188,173,15,6,6,0,0,0,0
市部／小平市,10323,10302,21,9369,9348,21,256,256,0,698,698,0,0,0,0
市部／日野市,11336,11290,46,9407,9364,43,115,115,0,1814,1811,3,0,0,0
市部／東村山市,7778,7747,31,7127,7099,28,191,191,0,460,457,3,0,0,0
市部／国分寺市,6424,6411,13,6059,6046,13,125,125,0,241,241,0,0,0,0
市部／国立市,4138,4136,2,3759,3756,3,175,176,-1,204,203,1,1,1,0
市部／福生市,3625,3622,3,3325,3322,3,185,186,0,115,115,0,0,0,0
市部／狛江市,3450,3438,13,3174,3160,15,167,170,-2,108,108,0,0,0,0
市部／東大和市,5195,5182,14,4834,4821,13,149,149,0,213,212,1,0,0,0
市部／清瀬市,3678,3635,43,3464,3424,40,125,123,1,88,88,0,1,0,1
市部／東久留米市,6744,6730,13,6214,6201,13,263,263,0,212,212,0,55,55,0
市部／武蔵村山市,5456,5450,6,4345,4329,16,338,338,0,773,782,-9,0,0,0
市部／多摩市,8168,8132,35,6997,6962,35,1170,1170,0,0,0,0,0,0,0
市部／稲城市,4958,4910,49,4660,4609,50,179,179,0,105,105,0,15,16,-2
市部／羽村市,5461,5444,17,3562,3547,15,189,188,1,1701,1701,0,8,8,0
市部／あきる野市,8372,8343,29,7008,6980,28,108,109,0,394,394,-1,862,860,2
市部／西東京市,8901,8878,23,8477,8453,24,260,260,0,164,164,0,0,0,0
市部計,246243,245459,784,215007,214215,792,8390,8368,22,15635,15645,-9,7210,7231,-21
西多摩郡／瑞穂町,5010,4978,32,2413,2400,14,128,128,0,1900,1881,19,569,569,0
西多摩郡／日の出町,2481,2476,5,1356,1351,5,110,110,0,189,189,0,825,826,0
西多摩郡／檜原村,427,428,-1,0,0,0,0,0,0,0,0,0,427,428,-1
西多摩郡／奥多摩町,857,863,-6,128,130,-2,0,0,0,0,0,0,729,733,-4
西多摩郡計,8774,8744,30,3897,3881,17,238,238,0,2089,2070,19,2550,2555,-5
多摩地域計,255016,254203,813,218904,218096,809,8628,8606,22,17724,17715,10,9760,9786,-27
区部･多摩計,569248,570088,-840,498956,498173,784,28823,28764,59,31709,33366,-1656,9760,9786,-27
