区市町村名,宅地計／個人(千m2),宅地計／法人(千m2),宅地計／合計(千m2),住宅地区／個人(千m2),住宅地区／法人(千m2),住宅地区／合計(千m2),商業地区／個人(千m2),商業地区／法人(千m2),商業地区／合計(千m2),工業地区／個人(千m2),工業地区／法人(千m2),工業地区／合計(千m2),その他の宅地／個人(千m2),その他の宅地／法人(千m2),その他の宅地／合計(千m2)
千代田区,1095,2558,3652,233,249,482,862,2309,3171,0,0,0,0,0,0
中央区,1561,2376,3938,779,581,1360,773,1703,2476,9,92,101,0,0,0
港区,3936,5374,9309,3113,2971,6084,808,2209,3017,15,194,209,0,0,0
新宿区,6353,3517,9870,5975,2692,8667,373,824,1196,5,2,7,0,0,0
文京区,4184,1690,5873,3834,1278,5112,314,400,714,35,11,46,0,0,0
台東区,2853,1681,4534,1485,550,2034,1368,1132,2500,0,0,0,0,0,0
墨田区,4717,2129,6845,4140,1474,5614,211,263,474,366,391,758,0,0,0
江東区,6442,8499,14941,6183,4231,10415,126,658,784,133,3610,3743,0,0,0
品川区,7496,4023,11520,7139,2221,9360,290,505,795,68,1297,1365,0,0,0
目黒区,7105,2009,9114,6956,1841,8797,149,168,317,0,0,0,0,0,0
大田区,18084,6934,25018,17883,4533,22416,142,173,315,58,2228,2286,0,0,0
世田谷区,29083,5983,35066,28941,5895,34836,142,88,230,0,0,0,0,0,0
渋谷区,5225,2899,8124,4873,1983,6856,352,916,1267,0,0,0,0,0,0
中野区,8409,1663,10072,8318,1578,9896,91,85,176,0,0,0,0,0,0
杉並区,18825,2823,21648,18709,2764,21473,116,59,175,0,0,0,0,0,0
豊島区,5972,1822,7794,5552,1325,6877,419,498,917,0,0,0,0,0,0
北区,6813,2736,9549,6562,2260,8821,114,88,203,137,388,525,0,0,0
荒川区,4069,1305,5374,3582,920,4502,98,63,161,388,323,711,0,0,0
板橋区,13702,4369,18071,13479,3119,16599,60,92,152,163,1158,1320,0,0,0
練馬区,25380,3148,28528,25333,3124,28457,47,24,71,0,0,0,0,0,0
足立区,21931,5412,27343,21253,4256,25510,189,163,352,490,992,1482,0,0,0
葛飾区,13720,2853,16573,13258,2387,15646,217,164,381,245,301,546,0,0,0
江戸川区,18554,4770,23325,18281,3621,21902,209,132,341,65,1017,1082,0,0,0
区部計,235509,80571,316080,225862,55852,281715,7470,12715,20185,2177,12004,14181,0,0,0
八王子市,31035,7600,38635,28058,4072,32130,217,379,596,23,1456,1479,2737,1693,4430
立川市,7875,3017,10893,7663,1428,9091,211,493,704,1,1096,1097,0,0,0
武蔵野市,5110,1220,6330,4782,790,5572,321,260,581,7,171,177,0,0,0
三鷹市,7307,1395,8702,7077,1012,8089,193,119,311,30,265,295,7,0,7
青梅市,10482,2217,12699,9294,953,10247,44,138,182,207,989,1196,937,137,1073
府中市,9874,3162,13036,9265,1394,10659,222,76,298,387,1693,2080,0,0,0
昭島市,5210,2479,7689,5074,861,5935,49,490,539,86,1128,1215,0,0,0
調布市,8491,1812,10303,8191,1558,9749,231,90,322,69,164,233,0,0,0
町田市,24236,4305,28540,23225,3369,26594,324,344,667,193,386,579,494,207,700
小金井市,5122,656,5778,4986,597,5583,136,52,188,0,6,6,0,0,0
小平市,8571,1752,10323,8336,1033,9369,159,97,256,76,622,698,0,0,0
日野市,8875,2495,11370,8487,970,9457,50,57,107,335,1469,1804,2,0,2
東村山市,6847,949,7796,6459,688,7147,133,57,190,254,204,459,0,0,0
国分寺市,5322,1136,6458,5272,821,6093,50,75,125,0,241,241,0,0,0
国立市,3386,753,4139,3157,558,3716,133,42,175,95,152,247,1,0,1
福生市,3103,533,3635,2921,414,3335,137,48,185,44,71,115,0,0,0
狛江市,3008,342,3350,2900,275,3174,108,68,176,0,0,0,0,0,0
東大和市,4490,727,5217,4407,447,4855,55,93,149,27,186,213,0,0,0
清瀬市,3107,601,3707,3011,486,3498,73,51,124,21,64,84,1,0,1
東久留米市,5619,1147,6766,5396,781,6177,138,183,321,39,174,212,46,10,56
武蔵村山市,4601,886,5487,4123,248,4371,163,174,337,313,465,778,0,0,0
多摩市,6003,2194,8197,5795,1231,7027,208,963,1170,0,0,0,0,0,0
稲城市,4007,1034,5041,3977,766,4743,9,170,179,11,93,105,10,5,15
羽村市,3609,1858,5467,3282,287,3569,164,26,189,156,1545,1701,8,0,8
あきる野市,7504,888,8392,6692,346,7038,64,35,99,82,312,394,667,195,862
西東京市,7803,1131,8934,7599,910,8509,193,71,264,11,149,160,0,0,0
市部計,200595,46292,246887,189432,26295,215727,3787,4650,8437,2468,13101,15569,4909,2246,7155
瑞穂町,3632,1405,5037,2275,106,2381,148,210,358,707,1025,1732,502,64,566
日の出町,2005,481,2486,1255,105,1360,96,14,110,48,141,189,605,221,827
檜原村,400,18,418,0,0,0,0,0,0,0,0,0,400,18,418
奥多磨町,762,78,841,96,31,128,0,0,0,0,0,0,666,47,713
西多摩郡計,6799,1983,8782,3627,242,3869,244,224,468,755,1166,1921,2174,350,2524
多摩地域計,207395,48275,255669,193058,26537,219595,4031,4874,8905,3223,14268,17490,7083,2597,9679
区部・多摩計,442904,128846,571750,418921,82389,501310,11501,17588,29089,5400,26272,31672,7083,2597,9679
