区分,個人／所有者数（人）,個人／構成比（％）,個人／面積（千m2）,個人／構成比（％）,法人／所有者数（人）,法人／構成比（％）,法人／面積（千m2）,法人／構成比（％）,合計／所有者数（人）,合計／構成比（％）,合計／面積（千m2）,合計／構成比（％）
千代田区／50m2未満,1224,24 ,45 ,7 ,262,8 ,9 ,0 ,1486,17 ,54 ,2 
千代田区／100m2未満,1969,39 ,142 ,24 ,642,19 ,48 ,2 ,2611,31 ,191 ,5 
千代田区／150m2未満,822,16 ,100 ,16 ,496,14 ,61 ,2 ,1318,15 ,161 ,5 
千代田区／200m2未満,401,8 ,69 ,11 ,358,10 ,62 ,2 ,759,9 ,132 ,4 
千代田区／300m2未満,318,6 ,77 ,13 ,437,13 ,107 ,4 ,755,9 ,184 ,5 
千代田区／500m2未満,222,4 ,83 ,14 ,450,13 ,175 ,6 ,672,8 ,258 ,7 
千代田区／1000m2未満,95,2 ,64 ,11 ,379,11 ,267 ,9 ,474,6 ,331 ,9 
千代田区／2000m2未満,14,0 ,18 ,3 ,192,6 ,277 ,9 ,206,2 ,295 ,8 
千代田区／5000m2未満,2,0 ,7 ,1 ,146,4 ,439 ,15 ,148,2 ,446 ,13 
千代田区／10000m2未満,0,0 ,0 ,0 ,48,1 ,321 ,11 ,48,1 ,321 ,9 
千代田区／10000m2以上,0,0 ,0 ,0 ,57,2 ,1151 ,39 ,57,1 ,1151 ,33 
千代田区／計,5067,100 ,606 ,100 ,3467,100 ,2917 ,100 ,8534,100 ,3523 ,100 
中央区／50m2未満,3298,41 ,116 ,16 ,388,9 ,13 ,1 ,3686,29 ,129 ,4 
中央区／100m2未満,2937,36 ,208 ,29 ,897,20 ,67 ,3 ,3834,30 ,275 ,9 
中央区／150m2未満,932,11 ,113 ,15 ,637,14 ,78 ,3 ,1569,12 ,191 ,6 
中央区／200m2未満,379,5 ,65 ,9 ,441,10 ,76 ,3 ,820,7 ,142 ,4 
中央区／300m2未満,332,4 ,80 ,11 ,557,12 ,136 ,6 ,889,7 ,216 ,7 
中央区／500m2未満,157,2 ,59 ,8 ,576,13 ,221 ,9 ,733,6 ,280 ,9 
中央区／1000m2未満,61,1 ,39 ,5 ,493,11 ,348 ,14 ,554,4 ,387 ,12 
中央区／2000m2未満,13,0 ,17 ,2 ,280,6 ,382 ,16 ,293,2 ,399 ,13 
中央区／5000m2未満,4,0 ,12 ,2 ,131,3 ,389 ,16 ,135,1 ,401 ,13 
中央区／10000m2未満,1,0 ,8 ,1 ,40,1 ,271 ,11 ,41,0 ,279 ,9 
中央区／10000m2以上,1,0 ,11 ,2 ,22,0 ,474 ,19 ,23,0 ,485 ,15 
中央区／計,8115,100 ,728 ,100 ,4462,100 ,2455 ,100 ,12577,100 ,3184 ,100 
港区／50m2未満,2063,16 ,75 ,4 ,319,6 ,10 ,0 ,2382,13 ,85 ,1 
港区／100m2未満,4665,35 ,340 ,18 ,741,14 ,56 ,1 ,5406,29 ,396 ,5 
港区／150m2未満,2574,19 ,314 ,16 ,655,13 ,81 ,1 ,3229,18 ,395 ,5 
港区／200m2未満,1454,11 ,250 ,13 ,522,10 ,91 ,1 ,1976,11 ,342 ,4 
港区／300m2未満,1284,10 ,310 ,16 ,631,12 ,156 ,3 ,1915,10 ,466 ,6 
港区／500m2未満,823,6 ,312 ,16 ,752,14 ,291 ,5 ,1575,9 ,602 ,8 
港区／1000m2未満,291,2 ,193 ,10 ,673,13 ,471 ,8 ,964,5 ,664 ,8 
港区／2000m2未満,66,0 ,86 ,4 ,396,8 ,555 ,9 ,462,3 ,641 ,8 
港区／5000m2未満,14,0 ,42 ,2 ,307,6 ,942 ,15 ,321,2 ,985 ,12 
港区／10000m2未満,0,0 ,0 ,0 ,122,2 ,839 ,14 ,122,1 ,839 ,10 
港区／10000m2以上,0,0 ,0 ,0 ,96,2 ,2606 ,43 ,96,1 ,2606 ,32 
港区／計,13234,100 ,1923 ,100 ,5214,100 ,6098 ,100 ,18448,100 ,8020 ,100 
新宿区／50m2未満,4722,14 ,169 ,3 ,419,8 ,12 ,0 ,5141,13 ,180 ,2 
新宿区／100m2未満,11919,36 ,869 ,18 ,840,15 ,64 ,2 ,12759,33 ,933 ,11 
新宿区／150m2未満,6381,19 ,777 ,16 ,771,14 ,95 ,3 ,7152,19 ,872 ,10 
新宿区／200m2未満,3721,11 ,643 ,13 ,540,10 ,94 ,3 ,4261,11 ,736 ,9 
新宿区／300m2未満,3229,10 ,782 ,16 ,744,14 ,181 ,5 ,3973,10 ,963 ,11 
新宿区／500m2未満,2019,6 ,755 ,16 ,822,15 ,319 ,9 ,2841,7 ,1073 ,13 
新宿区／1000m2未満,718,2 ,471 ,10 ,640,12 ,448 ,13 ,1358,4 ,920 ,11 
新宿区／2000m2未満,160,0 ,213 ,4 ,355,7 ,489 ,14 ,515,1 ,702 ,8 
新宿区／5000m2未満,39,0 ,118 ,2 ,192,4 ,585 ,16 ,231,1 ,703 ,8 
新宿区／10000m2未満,9,0 ,60 ,1 ,58,1 ,394 ,11 ,67,0 ,454 ,5 
新宿区／10000m2以上,1,0 ,11 ,0 ,46,1 ,900 ,25 ,47,0 ,911 ,11 
新宿区／計,32918,100 ,4868 ,100 ,5427,100 ,3581 ,100 ,38345,100 ,8449 ,100 
文京区／50m2未満,4541,18 ,166 ,5 ,246,9 ,7 ,0 ,4787,17 ,173 ,3 
文京区／100m2未満,9912,39 ,716 ,22 ,433,16 ,33 ,2 ,10345,36 ,749 ,15 
文京区／150m2未満,4880,19 ,593 ,18 ,401,14 ,49 ,3 ,5281,19 ,642 ,13 
文京区／200m2未満,2519,10 ,435 ,13 ,319,11 ,56 ,3 ,2838,10 ,490 ,10 
文京区／300m2未満,2054,8 ,496 ,15 ,367,13 ,90 ,5 ,2421,8 ,586 ,12 
文京区／500m2未満,1305,5 ,489 ,15 ,394,14 ,153 ,9 ,1699,6 ,642 ,13 
文京区／1000m2未満,449,2 ,290 ,9 ,322,12 ,220 ,13 ,771,3 ,510 ,10 
文京区／2000m2未満,55,0 ,71 ,2 ,176,6 ,244 ,14 ,231,1 ,315 ,6 
文京区／5000m2未満,12,0 ,33 ,1 ,89,3 ,289 ,16 ,101,0 ,321 ,6 
文京区／10000m2未満,3,0 ,18 ,1 ,24,1 ,156 ,9 ,27,0 ,174 ,3 
文京区／10000m2以上,0,0 ,0 ,0 ,18,1 ,453 ,26 ,18,0 ,453 ,9 
文京区／計,25730,100 ,3307 ,100 ,2789,100 ,1750 ,100 ,28519,100 ,5057 ,100 
台東区／50m2未満,5950,26 ,215 ,9 ,470,10 ,16 ,1 ,6420,24 ,230 ,5 
台東区／100m2未満,9084,40 ,654 ,27 ,916,20 ,69 ,4 ,10000,37 ,723 ,17 
台東区／150m2未満,3661,16 ,443 ,18 ,787,17 ,97 ,5 ,4448,16 ,540 ,12 
台東区／200m2未満,1634,7 ,281 ,11 ,546,12 ,94 ,5 ,2180,8 ,375 ,9 
台東区／300m2未満,1242,5 ,300 ,12 ,596,13 ,147 ,8 ,1838,7 ,447 ,10 
台東区／500m2未満,660,3 ,246 ,10 ,540,12 ,207 ,11 ,1200,4 ,453 ,10 
台東区／1000m2未満,292,1 ,194 ,8 ,409,9 ,283 ,15 ,701,3 ,477 ,11 
台東区／2000m2未満,52,0 ,67 ,3 ,153,3 ,214 ,11 ,205,1 ,281 ,6 
