区市町村名,平成20年度／全体(戸数),平成20年度／二次的住宅(戸数),平成20年度／賃貸用の住宅(戸数),平成20年度／売却用の住宅(戸数),平成20年度／その他の住宅(戸数),平成25年度／全体(戸数),平成25年度／二次的住宅(戸数),平成25年度／賃貸用の住宅(戸数),平成25年度／売却用の住宅(戸数),平成25年度／その他の住宅(戸数),平成30年度／全体(戸数),平成30年度／二次的住宅(戸数),平成30年度／賃貸用の住宅(戸数),平成30年度／売却用の住宅(戸数),平成30年度／その他の住宅(戸数),空き家総数Ｈ30-Ｈ25(戸数)
区部／千代田区,8380,640,6230,300,1220,4490,80,2890,660,860,4470,60,2640,50,1710,-20
区部／中央区,24230,1540,13220,270,9200,9800,1240,6040,1260,1250,12510,400,3140,530,8440,2710
区部／港区,13920,430,9800,1260,2430,17140,340,11580,1470,3760,19850,140,15640,720,3350,2710
区部／新宿区,27210,1460,17550,1440,6760,28560,330,21590,1750,4890,27920,250,23390,1650,2620,-640
区部／文京区,11580,650,6240,330,4360,12950,430,8370,1620,2530,13220,190,8720,1950,2360,270
区部／台東区,15200,130,7630,2450,4990,10900,230,7670,1160,1840,12810,620,7950,1340,2900,1910
区部／墨田区,11430,290,5460,730,4940,15570,430,10320,650,4160,16160,50,10650,870,4590,590
区部／江東区,18320,290,7890,2520,7620,20080,20,15240,4120,700,21290,290,11600,370,9030,1210
区部／品川区,24890,690,12690,6090,5420,25930,1230,18900,1580,4230,23860,270,16820,1600,5180,-2070
区部／目黒区,27720,130,21860,3720,2020,15040,220,11250,540,3030,13010,80,8960,560,3410,-2030
区部／大田区,43700,540,29620,2140,11410,61790,60,45750,10620,5360,48450,370,38060,5890,4130,-13340
区部／世田谷区,34790,60,22320,1900,10520,52600,290,30870,1750,19690,50250,1180,34680,1820,12580,-2350
区部／渋谷区,20250,190,9620,1160,9280,17320,240,13590,610,2880,16260,20,14150,1520,570,-1060
区部／中野区,17500,330,12220,380,4570,28920,220,23920,990,3790,25820,310,20680,650,4180,-3100
区部／杉並区,32690,890,22270,910,8620,35690,560,26680,900,7560,29660,260,20530,970,7900,-6030
区部／豊島区,21680,600,16680,680,3730,30370,360,25450,840,3720,27350,180,24330,940,1900,-3020
区部／北区,19110,40,12290,710,6080,20470,90,14480,860,5040,22280,120,9200,570,12380,1810
区部／荒川区,13770,30,10080,3240,410,10900,100,7250,800,2750,14070,140,5440,310,8180,3170
区部／板橋区,32330,430,21370,1620,8900,34810,400,26920,1970,5520,36640,570,28310,890,6870,1830
区部／練馬区,33280,600,23860,1470,7350,36150,390,26830,1430,7500,36430,370,28790,3780,3490,280
区部／足立区,38730,790,28800,3270,5870,35150,290,24980,1910,7970,39660,130,27910,830,10790,4510
区部／葛飾区,24130,380,15670,1390,6680,24960,130,19020,1530,4270,28020,150,20400,690,6780,3060
区部／江戸川区,29920,210,21290,1520,6900,37730,350,25710,1710,9960,32980,120,25270,2580,5010,-4750
区部／区部計,544800,11300,354700,39500,139300,587300,8000,425300,40700,113200,572970,6270,407260,31080,128350,-14350
市部／八王子市,27960,240,20280,2420,5020,28980,260,21350,1520,5850,35170,300,25680,950,8240,6190
市部／立川市,8780,380,6090,870,1430,9010,40,6980,430,1550,11090,120,8940,570,1450,2080
市部／武蔵野市,6820,40,5330,180,1260,11670,360,8920,390,1990,9080,360,6930,260,1530,-2590
市部／三鷹市,11920,80,6890,450,4510,10860,40,7840,1270,1720,10730,20,8210,350,2160,-130
市部／青梅市,6160,460,2880,160,2660,7610,170,4830,1300,1300,6900,190,4130,610,1970,-710
市部／府中市,13190,680,7170,860,4490,15460,170,13010,670,1600,15030,120,10780,860,3280,-430
市部／昭島市,4820,210,3390,140,1070,6330,70,4320,450,1490,7530,0,6440,210,880,1200
市部／調布市,12010,290,7410,450,3870,14720,100,12100,690,1830,12690,80,9060,1070,2480,-2030
市部／町田市,16120,560,12030,2460,1060,17360,340,13630,950,2440,20010,130,14830,1130,3920,2650
市部／小金井市,5820,330,4540,360,580,7610,60,6100,200,1250,6940,40,5370,450,1070,-670
市部／小平市,10070,60,7730,740,1560,10830,140,8090,440,2150,12960,30,10490,210,2230,2130
市部／日野市,10170,60,7040,1360,1710,11520,40,9070,860,1550,9760,40,7690,500,1530,-1760
市部／東村山市,7150,100,4540,750,1760,7110,180,4740,430,1760,7090,70,5240,370,1420,-20
市部／国分寺市,6080,100,4530,320,1130,8450,170,6890,130,1250,6970,100,4720,200,1950,-1480
市部／国立市,4950,230,3510,220,980,5300,50,4150,190,920,5950,0,4910,160,870,650
市部／福生市,4400,60,3270,200,870,3790,40,3000,50,700,3410,20,2490,60,840,-380
市部／狛江市,4160,10,3200,80,870,5130,60,4370,100,600,4190,20,3270,90,820,-940
市部／東大和市,3840,60,2270,230,1280,4650,120,3690,190,650,3780,90,2500,140,1040,-870
市部／清瀬市,3330,120,2270,100,830,3620,10,2670,230,720,3710,130,2690,180,710,90
市部／東久留米市,5810,30,3040,160,2580,5040,70,3570,1290,110,6050,40,3810,270,1940,1010
市部／武蔵村山市,3900,70,3130,50,650,3480,170,2370,130,800,3650,30,2490,80,1060,170
市部／多摩市,5370,70,3570,120,1600,7080,270,5590,730,490,7900,30,6360,460,1050,820
市部／稲城市,2760,20,2080,180,480,3320,40,2630,210,440,3570,10,2720,120,730,250
市部／羽村市,2800,230,1880,80,610,3080,100,2540,60,370,3010,30,2180,410,390,-70
市部／あきる野市,3220,120,1950,190,960,3520,200,2030,170,1120,3520,110,2100,120,1190,0
市部／西東京市,8590,150,5070,570,2810,9010,160,6960,250,1640,8690,110,6050,450,2080,-320
市部／市部計,200200,4800,135100,13700,46600,224600,3500,171500,13400,36300,229380,2220,170080,10280,46830,4840
合計,745000,16100,489800,53200,185900,811900,11500,596800,54100,149500,802350,8490,577340,41360,175180,-9510
