区分,個人／所有者数(人),個人／構成比(%),個人／面積(千m2),個人／構成比(%),法人／所有者数(人),法人／構成比(%),法人／面積(千m2),法人／構成比(%),合計／所有者数(人),合計／構成比(%),合計／面積(千m2),合計／構成比(%)
千代田区／50m2未満,1213,25,44,8,277,8,9,0,1490,18,53,2
千代田区／100m2未満,1925,39,139,24,675,20,51,2,2600,31,190,5
千代田区／150m2未満,810,16,98,17,530,16,65,2,1340,16,163,5
千代田区／200m2未満,380,8,66,11,363,11,63,2,743,9,129,4
千代田区／300m2未満,294,6,72,12,416,12,102,3,710,9,174,5
千代田区／500m2未満,211,4,79,14,416,12,160,5,627,8,239,7
千代田区／1000m2未満,94,2,62,11,331,10,231,8,425,5,293,8
千代田区／2000m2未満,11,0,14,2,201,6,287,10,212,3,301,9
千代田区／5000m2未満,2,0,7,1,119,3,351,12,121,1,359,10
千代田区／10000m2未満,0,0,0,0,43,1,306,10,43,1,306,9
千代田区／10000m2以上,0,0,0,0,40,1,1326,45,40,0,1326,38
千代田区／計,4940,100,581,100,3411,100,2952,100,8351,100,3533,100
中央区／50m2未満,3130,40,111,16,433,10,14,1,3563,29,126,4
中央区／100m2未満,2867,37,203,29,990,22,74,3,3857,31,277,9
中央区／150m2未満,933,12,113,16,699,16,85,4,1632,13,198,6
中央区／200m2未満,353,5,61,9,464,10,80,3,817,7,141,5
中央区／300m2未満,308,4,74,10,570,13,139,6,878,7,212,7
中央区／500m2未満,138,2,52,7,543,12,206,9,681,6,258,8
中央区／1000m2未満,61,1,39,5,409,9,289,12,470,4,328,11
中央区／2000m2未満,10,0,13,2,197,4,269,11,207,2,282,9
中央区／5000m2未満,3,0,8,1,100,2,299,12,103,1,307,10
中央区／10000m2未満,0,0,0,0,37,1,255,11,37,0,255,8
中央区／10000m2以上,3,0,34,5,30,1,699,29,33,0,733,24
中央区／計,7806,100,707,100,4472,100,2409,100,12278,100,3116,100
港区／50m2未満,2027,15,74,4,377,7,11,0,2404,13,85,1
港区／100m2未満,4705,36,343,18,844,16,64,1,5549,30,407,5
港区／150m2未満,2592,20,316,17,762,14,94,2,3354,18,410,5
港区／200m2未満,1437,11,247,13,597,11,104,2,2034,11,352,4
港区／300m2未満,1224,9,295,16,697,13,172,3,1921,10,467,6
港区／500m2未満,779,6,294,16,761,14,295,5,1540,8,588,7
港区／1000m2未満,274,2,184,10,640,12,451,7,914,5,636,8
港区／2000m2未満,68,1,89,5,337,6,469,8,405,2,557,7
港区／5000m2未満,11,0,34,2,225,4,686,11,236,1,721,9
港区／10000m2未満,0,0,0,0,99,2,695,11,99,1,695,9
港区／10000m2以上,0,0,0,0,83,2,3100,50,83,0,3100,39
港区／計,13117,100,1876,100,5422,100,6141,100,18539,100,8017,100
新宿区／50m2未満,4783,15,172,4,502,9,14,0,5285,14,186,2
新宿区／100m2未満,12217,37,890,19,971,17,74,2,13188,34,964,11
新宿区／150m2未満,6367,19,775,16,866,15,107,3,7233,19,882,10
新宿区／200m2未満,3696,11,638,13,619,11,107,3,4315,11,745,9
新宿区／300m2未満,3096,9,749,16,792,14,193,5,3888,10,942,11
新宿区／500m2未満,1933,6,722,15,803,14,308,8,2736,7,1030,12
新宿区／1000m2未満,681,2,448,9,600,11,417,11,1281,3,865,10
新宿区／2000m2未満,133,0,176,4,298,5,410,11,431,1,586,7
新宿区／5000m2未満,38,0,114,2,166,3,495,13,204,1,609,7
新宿区／10000m2未満,9,0,62,1,46,1,317,8,55,0,379,4
新宿区／10000m2以上,1,0,11,0,42,1,1333,35,43,0,1344,16
新宿区／計,32954,100,4757,100,5705,100,3775,100,38659,100,8531,100
文京区／50m2未満,4665,18,171,5,290,10,9,0,4955,17,180,4
文京区／100m2未満,10196,39,735,22,492,17,37,2,10688,37,773,15
文京区／150m2未満,4872,19,592,18,445,15,55,3,5317,18,646,13
文京区／200m2未満,2480,10,428,13,361,12,63,4,2841,10,491,10
文京区／300m2未満,2023,8,488,15,400,14,98,6,2423,8,586,12
文京区／500m2未満,1238,5,464,14,399,14,153,9,1637,6,617,12
文京区／1000m2未満,409,2,265,8,273,9,186,11,682,2,451,9
文京区／2000m2未満,61,0,80,2,151,5,209,12,212,1,289,6
文京区／5000m2未満,10,0,27,1,85,3,264,15,95,0,292,6
文京区／10000m2未満,3,0,18,1,24,1,157,9,27,0,175,3
文京区／10000m2以上,0,0,0,0,18,1,528,30,18,0,528,11
文京区／計,25957,100,3269,100,2938,100,1758,100,28895,100,5027,100
台東区／50m2未満,5978,27,217,9,519,11,17,1,6497,24,234,5
台東区／100m2未満,9230,41,663,28,1057,22,80,4,10287,38,743,17
台東区／150m2未満,3625,16,439,18,851,18,104,5,4476,16,543,13
台東区／200m2未満,1589,7,273,11,556,12,96,5,2145,8,369,9
台東区／300m2未満,1164,5,280,12,611,13,149,8,1775,7,429,10
台東区／500m2未満,587,3,218,9,518,11,200,10,1105,4,418,10
台東区／1000m2未満,259,1,172,7,359,8,250,13,618,2,422,10
台東区／2000m2未満,53,0,71,3,146,3,205,11,199,1,276,6
台東区／5000m2未満,14,0,36,1,63,1,187,10,77,0,223,5
台東区／10000m2未満,2,0,14,1,18,0,122,6,20,0,136,3
台東区／10000m2以上,1,0,11,0,13,0,505,26,14,0,516,12
台東区／計,22502,100,2393,100,4711,100,1917,100,27213,100,4309,100
墨田区／50m2未満,6343,21,237,6,256,7,8,0,6599,20,245,4
墨田区／100m2未満,12608,42,898,23,569,16,44,2,13177,40,942,15
墨田区／150m2未満,4750,16,575,15,561,16,70,3,5311,16,645,10
墨田区／200m2未満,2295,8,394,10,410,12,71,3,2705,8,465,7
墨田区／300m2未満,1769,6,427,11,474,14,117,5,2243,7,544,9
