年(昭和・平成・令和),東京都／件数(件),東京都／指数,東京都／全国比(%),東京圏／件数(千件),東京圏／指数,東京圏／全国比(%),全国／件数(千件),全国／指数
55,137572,100,5.3,517,100,19.9,2598,100
56,133282,97,5.3,489,95,19.5,2509,97
57,135168,98,5.6,473,91,19.6,2414,93
58,136831,99,6.1,451,87,19.9,2261,87
59,141593,103,6.4,453,88,20.4,2224,86
60,141205,103,6.6,441,85,20.7,2132,82
61,153183,111,7.1,484,94,22.5,2151,83
62,140120,102,6.2,519,100,22.8,2272,87
63,92592,67,4.3,398,77,18.7,2132,82
元,101296,74,4.5,418,81,18.5,2258,87
2,97870,71,4.4,409,79,18.6,2205,85
3,79792,58,4,333,64,16.6,2004,77
4,72381,53,4,311,60,17.1,1818,70
5,78254,57,4.4,316,61,17.8,1773,68
6,88711,64,4.8,347,67,18.9,1837,71
7,109377,80,5.9,376,73,20.4,1847,71
8,124769,91,6.4,418,81,21.3,1957,75
9,126760,92,6.9,406,79,22,1847,71
10,130549,95,7.7,381,74,22.3,1705,66
11,141773,103,8.3,412,80,24,1718,66
12,159499,116,9.4,436,84,25.6,1700,65
13,154635,112,9.4,434,84,26.4,1644,63
14,156256,114,9.8,433,84,27,1600,62
15,170568,124,10.6,455,88,28.3,1608,62
16,175258,127,10.9,465,90,29,1601,62
17,173073,126,11,469,91,29.7,1580,61
18,164755,120,10.7,466,90,30.1,1547,60
19,149171,108,10.4,430,83,29.8,1440,55
20,121103,88,9.4,362,70,28,1294,50
21,120069,87,10.2,343,66,29.1,1179,45
22,114780,83,9.9,330,64,28.6,1154,44
23,114983,84,10.1,326,63,28.7,1136,44
24,127978,93,10.6,356,69,29.6,1204,46
25,136259,99,10.6,371,72,29,1281,49
26,132300,96,10.5,359,69,28.5,1257,48
27,139867,102,10.9,378,73,29.4,1287,50
28,136993,100,10.6,371,72,28.7,1291,50
29,140156,102,10.6,381,73,28.9,1317,51
30,136896,100,10.5,375,72,28.7,1307,50
31,136511,99,10.4,374,72,28.5,1310,50
2,126136,92,9.9,362,70,28.4,1275,49
3,127159,92,9.5,377,73,28.3,1334,51
