区市町村名　/　用途：平成　,住宅地：22年,住宅地：23年,住宅地：24年,住宅地：25年,住宅地：26年,住宅地：27年,住宅地：28年,住宅地：29年,住宅地：30年,商業地：22年,商業地：23年,商業地：24年,商業地：25年,商業地：26年,商業地：27年,商業地：28年,商業地：29年,商業地：30年,全用途（林地を含む。）：22年,全用途（林地を含む。）：23年,全用途（林地を含む。）：24年,全用途（林地を含む。）：25年,全用途（林地を含む。）：26年,全用途（林地を含む。）：27年,全用途（林地を含む。）：28年,全用途（林地を含む。）：29年,全用途（林地を含む。）：30年
千代田区,-13.5,-0.4,-1,0,6,6.3,9.4,7.5,3.3,-15.9,-3.6,-2.9,-0.5,4.2,5.7,7.4,7.1,6.6,-15.5,-3.2,-2.7,-0.4,4.5,5.8,7.7,7.1,6.2
中央区,-12.2,3.5,-0.7,0,8.7,6.4,9.7,6.2,2.2,-17.3,-3.8,-2.8,-0.4,4.7,7.2,9.6,9.8,8.4,-16.4,-2.7,-2.5,-0.3,5.4,7.1,9.6,9.2,7.5
港区,-8.7,-2,-0.9,0.1,5.9,6,6.3,5.2,5.3,-14.2,-5,-3.6,-0.8,4.4,5.6,7.6,6.7,6.7,-12.3,-4,-2.7,-0.5,4.8,5.7,7.2,6.2,6.2
新宿区,-8.1,-1.1,-0.9,-0.4,2.8,3.2,3.4,3,4,-10.3,-3.2,-2,-1,3.4,4,5.2,5.1,6.1,-9.4,-2.4,-1.5,-0.7,3.2,3.7,4.6,4.3,5.3
文京区,-8.5,-2.9,-1.2,-0.1,2.1,2.5,3.5,4.1,5.5,-9.7,-3.9,-1.9,-0.2,3,3.9,5.3,5.8,6.3,-9.1,-3.5,-1.6,-0.2,2.6,3.3,4.6,5,5.9
台東区,-8.7,-2.9,-1.6,-0.2,1.8,2,2.7,3.6,4.9,-9.4,-3.6,-2.9,-0.1,2,2.2,3.8,5.7,7.3,-9.4,-3.5,-2.7,-0.1,2,2.2,3.6,5.5,7
墨田区,-6.4,-1.4,-1.9,-0.4,1.4,1.5,2.1,2.5,3.9,-7,-1.3,-1,0.4,2.3,2,2.6,3.3,5.1,-6.7,-1.4,-1.4,0,2,1.8,2.4,2.9,4.5
江東区,-4.3,-1.1,-1.5,-0.1,2.5,2.3,2.6,3,4.1,-6.8,-2,-2.1,-0.3,2.7,2.4,2.6,3.2,6,-5.5,-1.5,-1.8,-0.2,2.5,2.3,2.6,3.1,4.7
品川区,-8.3,-1.4,-0.8,0,2,4.2,4.3,3.5,5.5,-8.9,-2.1,-1.5,-0.1,2.1,4.3,4.8,4.6,6.7,-8.5,-1.9,-1.1,0,2.1,4.3,4.6,4.1,6
目黒区,-8.5,-1.5,-1,0,2.5,2.9,6.9,4.5,3.8,-8.4,-2.7,-1.6,0.1,2.6,2.7,6.4,4.7,4.5,-8.4,-1.9,-1.2,0,2.6,2.8,6.7,4.6,4
大田区,-7.2,-1.9,-1,-0.4,1.7,1.8,2.9,2.7,2.6,-5.7,-2.8,-1.4,-0.5,1.5,1.9,3.4,3,3.2,-6.3,-2.2,-1.1,-0.4,1.7,1.9,3.3,2.9,2.9
世田谷区,-7,-1.4,-1.3,-0.3,1.4,1.5,2.7,3,3.9,-7.6,-3.5,-1.7,-0.2,1.4,1.9,3.3,4.5,6.4,-7.2,-1.9,-1.4,-0.3,1.4,1.6,2.9,3.3,4.5
渋谷区,-9.4,-1.6,-1.5,-0.2,2.8,2.6,3.4,3.5,4.2,-12.3,-6.1,-3.4,-0.7,3.4,4.6,7.6,8.7,9.2,-10.9,-4.3,-2.6,-0.5,3.2,3.9,5.9,6.3,7
中野区,-8.9,-0.9,-0.7,-0.4,1.8,1.6,2.1,2.9,3.6,-8.9,-1.5,-2.1,-0.9,1.9,1.9,3.4,5.3,6.4,-8.9,-1.2,-1.3,-0.6,1.9,1.8,2.8,4,4.9
杉並区,-7.7,-0.2,-0.7,-0.1,1.7,2,2.7,3.1,3.2,-7.5,-0.5,-0.8,-0.1,1.6,2.8,4.4,6.1,6.9,-7.6,-0.3,-0.7,-0.1,1.6,2.3,3.2,3.9,4.2
豊島区,-7.1,-1.7,-1.3,-0.2,2.2,2.5,3.5,3.6,5.2,-7.7,-1.4,-2.1,-0.4,3.2,3.5,4.9,5.5,6.7,-7.5,-1.5,-1.8,-0.3,2.8,3.1,4.3,4.7,6.1
北区,-4.4,-1.7,-0.7,-0.1,1.1,1.3,2.4,3.5,5.6,-7.4,-2.4,-0.9,-0.2,1.2,1.4,2.6,3.9,6.7,-5.8,-2,-0.8,-0.1,1.1,1.3,2.5,3.7,6.1
荒川区,-6.1,-2.5,-1,-0.1,1,1.3,2.5,3.9,6.1,-6.5,-2.4,-1.1,-0.1,1.4,1.6,3,4.6,6.7,-5.6,-2.4,-1,-0.1,1.2,1.4,2.8,4.2,6.3
板橋区,-5.9,-1.6,-1.3,-0.5,1,1.1,2,2.8,4.1,-6.8,-2,-1.7,-0.5,1,1.3,2.3,3.8,5.3,-6.1,-1.7,-1.4,-0.5,1,1.1,2.1,3.1,4.4
練馬区,-5.1,-0.7,-0.6,0,1.9,1.2,1.5,1.8,2.8,-5.4,-0.8,-0.9,-0.1,2,0.9,2.1,4.5,4.7,-5.1,-0.7,-0.6,0,1.9,1.1,1.6,2.2,3.1
