区名,平成10年中（千m2）,平成11年中（千m2）,平成12年中（千m2）,平成13年中（千m2）,平成14年中（千m2）,平成15年中（千m2）,平成16年中（千m2）,平成17年中（千m2）,平成18年中（千m2）,平成19年中（千m2）,平成20年中（千m2）,平成21年中（千m2）,平成22年中（千m2）,平成23年中（千m2）,平成24年中（千m2）,平成25年中（千m2）,平成26年中（千m2）,平成27年中（千m2）,平成28年中（千m2）,平成29年中（千m2）,昭60.1.1～平30.1.1（千m2）
千代田区,5,-16,7,14,28,25,10,-17,-3,29,32,6,-8,7,2,-3,27,1,8,2,276
中央区,-6,-13,2,4,-50,1,2,-8,1,18,3,-8,0,-2,0,1,123,-1,-33,-32,-500
港区,0,190,63,3,91,156,30,53,31,24,-10,-9,-4,45,-3,11,-23,-9,63,33,540
新宿区,-4,3,5,2,42,1,0,-3,2,-33,41,-4,7,29,1,2,41,5,7,17,-985
文京区,4,-210,7,8,-44,1,5,-19,9,2,20,0,0,-142,3,-1,8,7,1,-79,-370
台東区,-1,-5,-1,4,-65,4,-1,-46,4,9,5,1,0,-1,-1,1,0,2,0,0,-1209
墨田区,-2,-17,1,2,-11,0,0,31,1,-2,2,9,-1,-26,-1,0,28,0,0,1,-552
江東区,4,-224,4,1,-211,45,20,-15,40,131,161,-12,12,9,25,2,-10,0,43,7,-248
品川区,1,50,-1,1,69,6,1,1,3,-4,-1,2,-4,28,0,6,7,0,7,-4,-794
目黒区,0,-1,-1,2,-3,19,-1,21,8,0,9,-1,-1,-17,-1,1,-9,0,-1,1,-331
大田区,1,-2,1,0,-13,-4,-7,-4,0,-1,-105,1,-4,-46,2,-2,-3,0,0,-7,-1523
世田谷区,1,-7,-1,4,44,0,0,-2,-2,-2,17,0,0,-5,0,0,-1,1,-1,31,-917
渋谷区,6,-25,35,1,47,3,5,126,0,-22,47,-2,1,0,0,0,0,0,3,13,307
中野区,2,-180,0,0,-6,3,0,0,0,2,1,0,0,-1,-1,1,1,0,0,29,-789
杉並区,2,-48,0,-5,-24,1,0,-20,0,-3,-37,1,1,-55,0,0,-2,0,0,0,-1017
豊島区,-2,-53,0,1,-1,3,1,-19,3,-19,9,1,0,35,4,3,0,1,0,3,-461
北区,-1,77,0,0,-21,1,1,3,-2,0,1,0,-1,-45,1,0,0,1,0,-10,-953
荒川区,4,1,1,-1,-91,5,-1,24,1,0,-8,0,0,-13,1,0,0,0,0,10,-632
板橋区,-1,-2,-1,0,26,1,0,0,0,-1,0,-1,0,-1,1,0,-1,1,1,0,-708
練馬区,-5,-582,0,-1,0,0,1,-1,0,1,-3,0,0,22,0,1,-1,2,0,5,-802
足立区,2,490,3,1,-323,2,10,-3,1,-6,-31,0,0,24,1,0,14,0,0,-5,-203
葛飾区,-5,-46,0,-3,-114,0,-3,-104,6,3,-67,-2,0,-69,-1,0,-20,0,-1,-39,-453
江戸川区,0,3,-2,-5,-14,0,2,-23,1,-3,-38,-1,0,-95,2,-1,-64,0,0,-12,-8
区部計,5,-616,124,32,-643,275,73,-26,103,124,49,-20,-3,-317,34,21,118,9,96,-34,-12332
