区市名,平成5年(千m2),平成10年(千m2),平成15年(千m2),平成20年(千m2),平成2１年(千m2),平成22年(千m2),平成23年(千m2),平成24年(千m2),平成25年(千m2),平成26年(千m2),平成27年(千m2),平成28年(千m2),平成29年(千m2),平成30年(千m2),平成31年(千m2),令和2年(千m2),令和3年(千m2)
目黒区,45,37,32,26,26,26,26,26,26,26,26,26,21,21,20,20,20
大田区,30,30,30,26,26,26,26,23,23,23,23,23,23,19,19,20,20
世田谷区,1478,1258,1198,1101,1063,1046,1020,1003,985,969,954,911,911,876,861,849,839
中野区,55,39,30,27,26,26,24,24,24,23,24,24,24,18,19,14,14
杉並区,486,439,422,389,389,385,380,371,367,361,353,347,343,337,329,315,316
北区,6,6,6,5,5,4,4,3,3,3,3,3,3,3,3,3,3
板橋区,148,136,114,107,109,112,109,111,110,108,109,108,108,98,96,96,91
練馬区,2499,2352,2231,2098,2057,2022,2008,1990,1951,1926,1894,1871,1854,1815,1787,1778,1755
足立区,412,388,402,387,385,375,369,366,355,341,334,332,332,322,313,302,295
葛飾区,320,317,314,304,303,302,302,296,289,288,280,269,261,261,262,258,252
江戸川区,449,454,449,414,401,400,392,391,385,384,381,369,369,357,357,356,352
区部計,5928,5457,5228,4883,4788,4723,4660,4604,4516,4451,4379,4282,4249,4129,4066,4011,3956
八王子市,2995,2878,2730,2656,2625,2597,2560,2533,2509,2476,2449,2425,2388,2344,2307,2269,2231
立川市,2494,2435,2381,2289,2272,2264,2226,2190,2160,2118,2102,2067,2032,2021,1999,1981,1979
武蔵野市,335,324,319,304,299,298,293,292,290,277,278,277,266,254,249,245,244
三鷹市,1905,1830,1692,1591,1573,1548,1532,1522,1513,1467,1435,1411,1382,1359,1338,1323,1318
青梅市,1743,1682,1561,1484,1468,1457,1464,1459,1436,1411,1373,1343,1333,1310,1306,1293,1279
府中市,1318,1271,1184,1137,1123,1092,1075,1056,1053,1031,1017,1009,1001,985,976,956,946
昭島市,577,565,541,541,539,528,517,515,510,499,491,487,474,472,468,468,467
調布市,1713,1646,1525,1409,1378,1365,1347,1325,1301,1297,1269,1257,1257,1187,1174,1156,1127
町田市,3238,3106,2915,2679,2633,2597,2558,2518,2457,2414,2369,2321,2259,2214,2173,2127,2083
小金井市,864,820,775,730,714,703,679,668,663,661,660,651,628,621,609,589,581
小平市,2374,2258,2132,2031,1999,1979,1964,1920,1888,1833,1744,1729,1692,1657,1625,1615,1587
日野市,1331,1306,1390,1330,1321,1276,1246,1231,1224,1202,1187,1166,1166,1131,1113,1096,1078
東村山市,1666,1608,1534,1473,1456,1424,1423,1416,1407,1385,1362,1338,1338,1294,1269,1235,1212
国分寺市,1504,1433,1389,1344,1335,1331,1328,1308,1313,1305,1297,1299,1276,1250,1226,1224,1200
国立市,581,544,489,515,510,511,501,486,483,476,474,467,467,449,449,448,442
福生市,84,83,78,76,76,75,73,77,77,68,68,65,63,63,66,66,66
狛江市,483,463,418,387,382,367,358,351,342,336,332,316,312,311,303,300,296
東大和市,631,590,551,523,514,505,497,487,477,473,466,466,457,446,441,430,415
清瀬市,2118,2091,2025,1935,1932,1909,1894,1877,1855,1826,1797,1773,1742,1709,1694,1666,1641
東久留米市,1932,1847,1748,1645,1640,1623,1608,1580,1560,1513,1488,1466,1444,1396,1362,1339,1326
武蔵村山市,1120,1090,1056,1058,1045,1037,1032,1020,1019,996,988,972,945,927,904,882,875
多摩市,291,304,291,297,294,292,290,289,285,283,285,284,281,280,281,273,268
稲城市,975,1253,1186,1236,1237,1237,1230,1213,1188,1184,1147,1135,1123,1048,1049,1039,1036
羽村市,390,385,360,366,360,352,344,339,339,335,329,326,323,320,317,311,306
あきる野市,446,837,804,761,752,761,739,731,718,714,711,698,685,665,752,747,670
西東京市,1690,1597,1497,1412,1388,1371,1346,1325,1296,1269,1249,1222,1182,1158,1135,1120,1096
市部計,34798,34246,32571,31206,30866,30498,30124,29728,29366,28851,28367,27968,27514,26871,26584,26194,25767
区部・市部計,40726,39703,37799,36090,35654,35221,34784,34332,33882,33301,32746,32249,31764,30999,30650,30205,29724
