区市町村名,合計面積(千m2),住宅・アパート／面積(千m2),住宅・アパート／構成比(%),事務所・店舗等／面積(千m2),事務所・店舗等／構成比(%),事務所・店舗等／事務所・銀行／面積(千m2),事務所・店舗等／事務所・銀行／構成比(%),工場・倉庫／面積(千m2),工場・倉庫／構成比(%),その他／面積(千m2),その他／構成比(%)
区部／千代田区,24949,4199,16.8,18941,75.9,18013,72.2,256,1,1553,6.2
区部／中央区,23251,7651,32.9,14149,60.9,12453,53.6,451,1.9,999,4.3
区部／港区,37992,15520,40.9,19805,52.1,18431,48.5,732,1.9,1935,5.1
区部／新宿区,26149,15003,57.4,9524,36.4,7449,28.5,404,1.5,1218,4.7
区部／文京区,12746,9559,75,2609,20.5,2220,17.4,232,1.8,347,2.7
区部／台東区,13981,9373,67,3348,23.9,2614,18.7,371,2.7,889,6.4
区部／墨田区,13904,10620,76.4,2084,15,1331,9.6,908,6.5,291,2.1
区部／江東区,30960,18113,58.5,6435,20.8,5175,16.7,5642,18.2,770,2.5
区部／品川区,23637,15054,63.7,6243,26.4,5559,23.5,1716,7.3,624,2.6
区部／目黒区,13573,11549,85.1,1666,12.3,1296,9.5,158,1.2,200,1.5
区部／大田区,36582,26117,71.4,4176,11.4,3190,8.7,4938,13.5,1351,3.7
区部／世田谷区,38554,35026,90.9,2638,6.8,1504,3.9,499,1.3,390,1
区部／渋谷区,20520,12041,58.7,7707,37.6,6056,29.5,188,0.9,585,2.8
区部／中野区,13707,12109,88.3,1347,9.8,1046,7.6,102,0.7,148,1.1
区部／杉並区,23025,21007,91.2,1431,6.2,876,3.8,310,1.3,277,1.2
区部／豊島区,16154,11405,70.6,3945,24.4,2540,15.7,201,1.2,603,3.7
区部／北区,14313,11931,83.4,1305,9.1,826,5.8,777,5.4,300,2.1
区部／荒川区,9211,7817,84.9,675,7.3,514,5.6,480,5.2,239,2.6
区部／板橋区,23431,19579,83.6,1643,7,951,4.1,1786,7.6,423,1.8
区部／練馬区,27891,25440,91.2,1564,5.6,726,2.6,521,1.9,365,1.3
区部／足立区,27694,22672,81.9,2068,7.5,820,3,2238,8.1,715,2.6
区部／葛飾区,17909,15562,86.9,1230,6.9,530,3,829,4.6,287,1.6
区部／江戸川区,26525,22580,85.1,1849,7,967,3.6,1693,6.4,402,1.5
区部／区部計,516656,359930,69.7,116382,22.5,95086,18.4,25433,4.9,14911,2.9
市部／八王子市,27893,21327,76.5,3263,11.7,1609,5.8,2626,9.4,677,2.4
市部／立川市,9033,6090,67.4,1857,20.6,978,10.8,765,8.5,321,3.6
市部／武蔵野市,7263,5600,77.1,1397,19.2,669,9.2,145,2,121,1.7
市部／三鷹市,7535,6312,83.8,710,9.4,421,5.6,354,4.7,159,2.1
市部／青梅市,6919,5125,74.1,589,8.5,241,3.5,846,12.2,358,5.2
市部／府中市,11905,8629,72.5,1601,13.5,1006,8.4,1061,8.9,615,5.2
市部／昭島市,5490,3775,68.8,642,11.7,292,5.3,898,16.4,175,3.2
市部／調布市,9558,7936,83,1012,10.6,547,5.7,460,4.8,151,1.6
市部／町田市,19101,15665,82,1881,9.8,766,4,814,4.3,741,3.9
市部／小金井市,4797,4263,88.9,341,7.1,122,2.5,29,0.6,164,3.4
市部／小平市,7666,6549,85.4,685,8.9,378,4.9,370,4.8,62,0.8
市部／日野市,8536,6674,78.2,762,8.9,470,5.5,899,10.5,201,2.4
市部／東村山市,5904,5012,84.9,394,6.7,186,3.1,332,5.6,166,2.8
市部／国分寺市,5347,4545,85,541,10.1,239,4.5,161,3,100,1.9
市部／国立市,3393,2745,80.9,334,9.9,179,5.3,176,5.2,138,4.1
市部／福生市,2485,2037,82,249,10,83,3.3,144,5.8,55,2.2
市部／狛江市,3126,2827,90.4,200,6.4,97,3.1,44,1.4,56,1.8
市部／東大和市,3494,2875,82.3,312,8.9,107,3.1,223,6.4,84,2.4
市部／清瀬市,2716,2377,87.5,141,5.2,43,1.6,59,2.2,139,5.1
市部／東久留米市,4737,3827,80.8,476,10.1,129,2.7,187,3.9,247,5.2
市部／武蔵村山市,3323,2314,69.6,374,11.2,85,2.6,538,16.2,97,2.9
市部／多摩市,7334,5198,70.9,1482,20.2,834,11.4,247,3.4,409,5.6
市部／稲城市,3748,3071,82,338,9,123,3.3,260,6.9,78,2.1
市部／羽村市,3180,1997,62.8,324,10.2,173,5.5,803,25.3,55,1.7
市部／あきる野市,3870,3106,80.2,267,6.9,85,2.2,226,5.8,272,7
市部／西東京市,7868,6839,86.9,648,8.2,263,3.3,185,2.4,196,2.5
市部／市部計,186223,146714,78.8,20819,11.2,10128,5.4,12852,6.9,5838,3.1
西多摩郡／瑞穂町,2416,1160,48,296,12.3,,,842,34.8,118,4.9
西多摩郡／日の出町,1022,631,61.7,152,14.9,,,150,14.7,89,8.7
西多摩郡／檜原村,193,143,73.9,7,3.5,,,14,7.3,30,15.3
西多摩郡／奥多摩町,389,296,76.3,17,4.3,,,28,7.2,48,12.3
西多摩郡／西多摩郡計,4020,2230,55.5,472,11.7,,,1033,25.7,285,7.1
多摩地域計,190243,148944,78.3,21291,11.2,10128,5.3,13886,7.3,6123,3.2
島しょ／大島町,557,414,74.3,44,7.9,,,26,4.7,73,13
島しょ／利島村,22,14,62.3,1,6.3,,,5,22.3,2,9.1
島しょ／新島村,273,201,73.6,26,9.6,,,26,9.4,20,7.4
島しょ／神津島村,151,102,67.6,7,4.8,,,19,12.9,22,14.8
島しょ／三宅村,219,150,68.5,15,6.9,,,27,12.2,27,12.4
島しょ／御蔵島村,12,9,72.1,0,3.7,,,2,16.1,1,8.1
島しょ／八丈町,557,394,70.7,50,8.9,,,55,9.9,59,10.6
島しょ／青ヶ島村,11,6,57.2,2,15.2,,,3,24.6,0,3
島しょ／小笠原村,76,40,53.3,14,18.9,,,8,10.8,13,17.1
島しょ／島しょ計,1879,1330,70.8,160,8.5,,,171,9.1,217,11.6
合計,708779,510205,72,137833,19.4,105213,14.8,39490,5.6,21251,3
