区分,投資的経費Ａ（億円）,投資的経費Ａうち用地費Ｂ（億円）,用地費の割合・Ｂ／Ａ（％）
昭和62年,6812,2022,29.7
昭和63年,10311,4170,40.4
平成元年,14396,5645,39.2
平成２年,17833,7277,40.8
平成３年,19241,7927,41.2
平成４年,19993,7986,39.9
平成５年,19398,7109,36.6
平成６年,17603,3747,21.3
平成７年,16771,2789,16.6
平成８年,15252,2613,17.1
平成９年,11768,1883,16
平成１０年,10588,1734,16.4
平成１１年,9074,1641,18.1
平成１２年,7260,1273,17.5
平成１３年,7147,1324,18.5
平成１４年,6236,1627,26.1
平成１５年,6265,1527,24.4
平成１６年,5721,1246,21.8
平成１７年,6231,1159,18.6
平成１８年,6473,1270,19.6
平成１９年,6908,1555,22.5
平成２０年,7319,1572,21.5
平成２１年,7771,1606,20.7
平成２２年,8137,1444,17.7
平成２３年,8404,1385,16.5
平成２４年,8507,1433,16.8
平成２５年,8663,1631,18.8
平成２６年,9187,1735,18.9
平成２７年,10174,1876,18.4
平成２８年,10960,2019,18.4
平成２９年,10736,1551,14.4
平成３０年,11121,1726,15.5
