区分,平成25年,平成26年,平成27年,平成28年,平成29年,平成30年,平成31年,令和2年,令和3年,令和4年
50m2未満／件数(件),1117,1063,1386,1453,1518,1619,1405,1362,1096,950
50m2未満／面積(m2),17987,17433,23212,25129,26642,27812,23486,24616,19121,16383
50m2以上100m2未満／件数(件),301,319,383,504,468,414,414,382,344,290
50m2以上100m2未満／面積(m2),21503,22490,27115,36388,33776,29161,29140,27253,24356,20612
100m2以上150m2未満／件数(件),171,177,161,197,205,202,141,175,141,115
100m2以上150m2未満／面積(m2),20730,21147,19217,23502,24669,24213,16849,20952,17111,14084
150m2以上200m2未満／件数(件),71,76,90,85,88,68,71,91,70,57
150m2以上200m2未満／面積(m2),12283,13304,15572,14444,15283,11771,12081,15771,11921,9790
200m2以上300m2未満／件数(件),70,71,69,76,117,54,64,88,64,61
200m2以上300m2未満／面積(m2),16551,17268,16663,18247,28105,12905,15726,21301,15247,15083
300m2以上500m2未満／件数(件),44,65,95,53,54,49,33,47,39,48
300m2以上500m2未満／面積(m2),16118,24760,36410,20185,19949,18425,13290,17839,14331,17993
500m2以上1000m2未満／件数(件),40,64,61,69,35,50,47,51,33,33
500m2以上1000m2未満／面積(m2),28580,44445,44129,50480,25441,35903,33108,35415,23351,23799
1000m2以上2000m2未満／件数(件),22,29,36,32,17,18,14,16,18,17
1000m2以上2000m2未満／面積(m2),29429,36597,48991,44325,22992,26045,19820,24307,25337,21896
2000m2以上5000m2未満／件数(件),12,10,24,11,12,5,7,5,11,6
2000m2以上5000m2未満／面積(m2),37350,30398,70118,34072,36093,15750,18787,12735,28380,19542
5000m2以上10000m2未満／件数(件),5,6,7,2,2,4,7,1,3,1
5000m2以上10000m2未満／面積(m2),32050,44632,50584,11084,17071,35069,53604,9126,17027,5286
10000m2以上／件数(件),3,1,2,1,1,3,0,0,2,4
10000m2以上／面積(m2),52765,11910,34685,11910,12499,61242,0,0,31857,54253
合計／件数(件),1856,1881,2314,2483,2517,2486,2203,2218,1821,1582
合計／面積(m2),285346,284384,386696,289766,262520,298296,235891,209315,228039,218721
