摘要,全地目／所有者数(人),全地目／構成比(%),全地目／面積(千m2),全地目／構成比(%),宅地／所有者数(人),宅地／構成比(%),宅地／面積(千m2),宅地／構成比(%)
区部／2000m2未満,1193041,99.3,172605,83.8,1190510,99.4,171009,85
区部／2000m2以上,8387,0.7,33401,16.2,7617,0.6,30067,15
区部／計,1201428,100,206006,100,1198127,100,201076,100
市部／2000m2未満,897760,98,180896,55.8,862415,99,165452,82.8
市部／2000m2以上,18720,2,143049,44.2,8284,1,34426,17.2
市部／計,916480,100,323944,100,870699,100,199878,100
区市計／2000m2未満,2090801,98.7,353501,66.7,2052925,99.2,336461,83.9
区市計／2000m2以上,27107,1.3,176449,33.3,15901,0.8,64494,16.1
区市計／計,2117908,100,529950,100,2068826,100,400954,100
