区分,地域,事業費a（億円),用地費ｂ（億円),ｂ／ａ(％),買収面積(千m2),１m2単価(万円)
昭和58年,区部,381.3,186.4,48.9,44.1,42.3
昭和58年,多摩,129.3,70.3,54.4,48.3,14.6
昭和58年,島しょ,22.4,0.8,3.6,20.2,0.4
昭和58年,計,533,257.5,48.3,112.6,22.9
昭和59年,区　部,408.8,229.7,56.2,52.4,43.8
昭和59年,多　摩,149.7,83.5,55.8,61.4,13.6
昭和59年,島しょ,24.4,1,4.1,25,0.4
昭和59年,計,582.9,314.2,53.9,138.8,22.6
昭和60年,区　部,516.6,294.5,57,59.5,49.5
昭和60年,多　摩,164,97.8,59.6,81.1,12.1
昭和60年,島しょ,28.2,0.7,2.5,18.2,0.4
昭和60年,計,708.8,393.1,55.5,158.8,24.8
昭和61年,区　部,656.6,394.9,60.1,27.3,144.7
昭和61年,多　摩,209.1,129.3,61.8,69.4,18.6
昭和61年,島しょ,41.5,3.2,7.7,26.6,1.2
昭和61年,計,907.2,527.4,58.1,123.3,42.8
昭和62年,区部,1052.2,732.2,69.6,45.7,160.2
昭和62年,多摩,252.8,155.9,61.7,65.5,23.8
昭和62年,島しょ,48.3,4.7,9.7,82,0.6
昭和62年,計,1353.3,892.9,66,193.2,46.2
昭和63年,区　部,1454.3,1168.2,80.3,47.4,246.5
昭和63年,多　摩,434.1,314.6,72.5,80.1,39.3
昭和63年,島しょ,57.4,2.4,4.2,80.3,0.3
昭和63年,計,1945.7,1485.2,76.3,207.8,71.5
平成元年,区部,2146.8,1759.4,82,59.2,297.2
平成元年,多摩,621.6,495.4,79.7,132.5,37.4
平成元年,島しょ,62.8,1.8,2.9,58.5,0.3
平成元年,計,2831.2,2256.6,79.7,250.2,90.2
平成2年,区　部,2982.1,2383.7,79.9,60.2,395.8
平成2年,多　摩,715,547.3,76.5,128,42.8
平成2年,島しょ,55.2,2.1,3.8,36.4,0.6
平成2年,計,3752.3,2933.1,78.2,224.6,130.6
平成3年,区　部,3831.2,3063.2,80,76.4,400.9
平成3年,多　摩,934.9,680.1,72.7,131,51.9
平成3年,島しょ,50.8,2.3,4.5,50.7,0.5
平成3年,計,4816.9,3745.6,77.8,258.1,145.1
平成4年,区部,4333.9,3316.8,76.5,90.3,367.3
平成4年,多摩,1036.5,671.4,64.8,141.8,47.3
平成4年,島しょ,47.9,2,4.2,31.8,0.6
平成4年,計,5418.3,3990.2,73.6,263.9,151.2
平成5年,区　部,3660.9,2791.3,76.2,84.6,329.9
平成5年,多　摩,846.2,533.9,63.1,122,43.8
平成5年,島しょ,58.9,3.4,5.8,59.9,0.6
平成5年,計,4566,3328.6,72.9,266.5,124.9
平成6年,区　部,2284.2,1612.9,70.6,68.9,234.1
平成6年,多　摩,789,415.7,52.7,100.6,41.3
平成6年,島しょ,60.8,3,4.9,46.6,0.6
平成6年,計,3134,2031.6,64.8,216.1,94
平成7年,区部,2178.1,1525.8,70.1,96.6,157.9
平成7年,多摩,833.7,340.4,40.8,126.9,26.8
平成7年,島しょ,54.5,2.2,4,34.8,0.6
平成7年,計,3066.3,1868.4,60.9,258.3,72.3
平成8年,区部,1300.6,760.5,58.5,79.7,95.5
平成8年,多摩,1008.2,378.4,37.5,151.4,25
平成8年,島しょ,52.3,2.2,4.2,23.2,0.9
平成8年,計,2361.1,1141.1,48.3,254.3,44.9
平成9年,区部,743.9,419.9,56.4,52.3,80.3
平成9年,多摩,703.3,165,23.6,61,27
平成9年,島しょ,47.6,1.9,4,27.8,0.7
平成9年,計,1494.8,586.8,39.3,141.1,41.6
平成10年,区部,807.1,488.5,60.5,71.5,68.3
平成10年,多摩,608.4,278.2,45.7,87.2,31.9
平成10年,島しょ,42.1,2.8,6.7,26.1,1.1
平成10年,計,1457.6,769.5,52.8,184.8,41.6
平成11年,区部,696.1,403,57.9,74.4,54.2
平成11年,多摩,398.4,226.9,57,103.4,21.9
平成11年,島しょ,293,2,0.7,14.7,1.4
平成11年,計,1387.5,631.9,45.5,192.5,32.8
平成12年,区部,611.6,212.5,34.7,40.5,52.5
平成12年,多摩,336.8,171.3,50.9,99.5,17.2
平成12年,島しょ,26.5,1.1,4.2,7.8,1.4
平成12年,計,974.9,384.9,39.5,147.8,26
平成13年,区部,485.1,225.8,46.5,30.4,74.3
平成13年,多摩,332.4,170.9,51.4,66,25.9
平成13年,島しょ,16.9,0.8,4.7,3.3,2.4
平成13年,計,834.4,397.5,47.6,99.7,39.9
平成14年,区部,503.8,192,38.1,65.2,29.4
平成14年,多摩,452.2,192.2,42.5,121.2,15.9
平成14年,島しょ,15.9,0.7,4.4,4.8,1.5
平成14年,計,971.9,384.9,39.6,191.2,20.1
平成15年,区部,512.2,297.4,58.1,51.5,57.7
平成15年,多摩,493.5,303.9,61.6,111.6,27.2
平成15年,島しょ,10.9,1,9.2,13.3,0.8
平成15年,計,1016.6,602.3,59.2,176.4,34.1
平成16年,区部,462.8,113.8,24.6,18,63.2
平成16年,多摩,269.1,106,39.4,63.3,16.7
平成16年,島しょ,19.2,1.1,5.7,6.1,1.8
平成16年,計,751.1,220.9,29.4,87.4,25.3
平成17年,区部,552.2,99.7,18.1,15.5,64.3
平成17年,多摩,253,94.4,37.3,94.6,10
平成17年,島しょ,19.2,1.6,8.3,13.2,1.2
平成17年,計,824.4,195.7,23.7,123.3,15.9
平成18年,区部,354.7,140.4,39.6,23,61
平成18年,多摩,308.2,118,38.3,73.4,16.1
平成18年,島しょ,22.4,1.4,6.3,7.5,1.9
平成18年,計,685.3,259.8,37.9,103.9,25
平成19年,区部,472.9,292.6,61.9,42.2,69.3
平成19年,多摩,337.4,153.9,45.6,61.1,25.2
平成19年,島しょ,6.8,0.3,4.4,2.4,1.3
平成19年,計,817.1,446.8,54.7,105.7,42.3
平成20年,区部,673.5,402.7,59.8,49.5,81.4
平成20年,多摩,377.9,158.4,41.9,55.8,28.4
平成20年,島しょ,6.7,23,343.3,6.7,34.3
平成20年,計,1058.1,584.1,55.2,112,52.2
平成21年,区部,586.8,344.3,58.7,46.6,73.9
平成21年,多摩,339.9,147.7,43.5,60.4,24.5
平成21年,島しょ,4.5,0.1,2.2,3.5,0.3
平成21年,計,931.2,492.1,52.8,110.5,44.5
平成22年,区部,414.7,191.2,46.1,20.4,93.7
平成22年,多摩,233.7,69.9,29.9,24.9,28.1
平成22年,島しょ,19.8,0.5,2.5,2.2,2.3
平成22年,計,668.2,261.6,39.1,47.5,55.1
平成23年,区部,445.6,187.8,42.1,27.1,69.3
平成23年,多摩,334.1,136.4,40.8,58.5,23.3
平成23年,島しょ,20.7,0.7,3.4,3.2,2.2
平成23年,計,800.4,324.9,40.6,88.8,36.6
平成24年,区部,510,279.8,54.9,26.3,106.4
平成24年,多摩,296.9,116.4,39.2,51.4,22.6
平成24年,島しょ,10.3,0.8,7.7,3.6,2.2
平成24年,計,817.2,397,48.6,81.3,48.8
